<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-33191905440488           4          4
4-33393905420357           3          3
4-33191905440484           4          4
4-79334599990              3          3
4-13603399047              4          1
4-8390542333864            3          3
4-33191434760008           4          0
4-33393353870058           3          3
4-447782000232             3          3
4-8633830430003            3          3
4-8639895530000            3          0
4-4548133311               4          4
4-8638804330000            3          3
4-937033075028             3          3
4-639380009034             3          3
4-324750004360404          3          0
4-8634709420000            3          3
4-884485000001103          4          0
4-973550930007             3          3
4-33191905440189           4          4
4-8613544540000            4          4
4-839066539762             3          3
4-8635905380000            3          3
4-67583000320              3          3
4-436760382229             3          3
4-917020075020             5          5
4-639380009037             3          0
4-37874033306              3          0
4-254733000490             3          3
4-550029302207             3          0
4-8633400060000            3          3
4-8635023040000            3          3
4-3339332420033            3          3
4-39039326942              3          3
4-8633443759               3          3
4-863958467000             3          3
4-358508771140             4          4
4-79772539033              3          3
4-8390542333860            3          3
4-39039326957              3          0
4-96475209003935           3          3
4-550332302065             3          0
4-33393346070624           3          0
4-48603000060              3          0
4-863595800000             3          3
4-79367494306              3          3
4-79367494309              3          3
4-79367494250              3          3
4-34644996730              4          1
4-8634778740000            3          3
4-33393905420356           3          3
4-493700600363             3          3
4-79232530304              3          3
4-8633830230000            3          3
4-79384790006              3          3
4-8390542332862            3          3
4-33393905420366           3          3
4-34054729390              3          3
4-59899999963              3          3
4-33393905420385           3          3
4-863309057603             3          3
4-33393905420383           3          3
4-37069899885              3          3
4-33393346070625           3          3
4-79367494374              3          3
4-53395599366              3          3
4-959790000057             3          3
4-4367603036000            3          3
4-8633532340000            3          3
4-34054729336              3          3
4-436677700303             3          0
4-34054729238              3          3

TOTNSUB
1691532

TOTNSUBA
1593286

NSUBPR
0

NSUBXP
0

NSUBPXOU
1691532

NSUBSGS
1092542

NSUBGS
0

END

