<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250914 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
6-691700600127             6          3
4-85290384006              3          3
4-882470000001001         20         14
4-33191491720343           10          7
4-48881109012           1655       1449
4-71111200111101              11          7
4-447953700233             8          8
4-33191393490260          18         13
4-447802002330            28         15
4-331914917201610           10          10
4-491760003009            12          9
4-8813334113000            8          3
4-491900600145             9          9
4-353857000880             11          6
4-491700800138             8          8
4-447802002262             5          5
4-447955700255             5          5
4-33191393490332          32         27
4-372561000103              10          6
4-447488200125            31         28
4-201079968207             7          7
4-436760172100            43         17
4-41794992105            180          0
6-667782000228             6          6
4-33609009917             32         22
4-491760003033            47         36
6-667782000116             6          2
6-38161067                 6          6
4-550027102006             5          0
4-201079968202             7          4
6-905590000201             6          3
4-33191346560173          16         10
4-491900600113             9          6
4-96139960265             19         14
4-35699418500             30         17
4-447953700208            16         11
4-352021100056            32         25
4-40770000027             12         12
6-68602003062              6          3
4-33191491720147           7          7
4-19703769833             57         21
4-91910921231047             10          7
4-447782000246             5          2
4-33689002871             24         16
4-33609009910             42         31
4-40770000029             13         10
4-966575486140            31         25
4-393358815162            13          8
4-33191393490271           8          4
4-33191222400020         273        209
4-919816001268             9          3
4-254722500122             10          10
4-447804004463             4          4
6-33695000380              6          6
4-66925012505              5          5
4-50971460011              5          5
4-4540699830              13          9
4-33609009913             29         19
4-249912090007            16          9
4-33191393490266          18         14
4-212602790326            87         65
4-4257902650               5          0
4-491700800117             8          8
4-905590000433             4          1
4-33191243840013          44         37
4-33191356940085         207         84
4-201059988078             8          5
4-491700600306            18         11
4-33191393490323          18         14
4-19703769842             79         47
4-905590000434             4          4
4-33191491720342           8          5
4-447802002746             11          7
4-447953700444             4          4
4-19703769808             37         21
4-447953700219            19         14
4-58268000904              5          5
4-8614796380000            4          4
4-33191417880087          29         21
4-3311114111720167           11          11
4-447488200126            33         27
4-331911514420010          9          6
6-352061000230             6          2
6-355680200025             6          6
6-33191685010106           6          3
4-13603399653             12          2
4-33191485010395           8          4
4-423949903074             3          3
4-33191393490276          16         12
4-254722500117             11          5
4-8618516404541            4          0
4-8638405330000            3          3
4-4790000950              12         12
4-8613436940000            9          5
4-491760003014            14         10
4-97477920100             30         21
4-46707000303              4          4
4-36363848772              3          3
4-336330000099433          3          3
4-34642200027             16         12
4-447802002737            12         12
4-33191393490265          12          6
4-491700600104             5          5
6-33191685010107           6          3
4-5519120120520            5          5
4-491700600303            13         13
4-393358815112            16         13
6-691700600108             6          6
6-12606692638              6          1
4-491760003021             7          3
4-491700600305             10          10
4-4792001159               8          5
4-33191487010086           7          3
4-905329346000            28         24
4-352091000110             8          8
4-8637875370000            3          3
4-39039326956              3          0
4-298249070                3          3
4-861556508448             4          4
4-440733087404             4          4
4-48881109082              5          2
6-667953700220             6          6
4-324750007320408          8          8
4-491760007052             5          1
4-659180009009             5          1
4-35699994012              9          6
4-3319120120439            7          3
6-3319120120666            6          3
4-4111700600110             11          8
4-33191393490331          43         35
4-33191393490218          17         12
4-884485000001104          4          0
4-94785000060              5          5
4-3339320320473            3          3
4-62816081125              9          2
4-16473840081             60         45
4-46731260001              10          10
4-905590000273             3          3
4-919851029100             5          2
4-254922500118             9          4
4-6281127162              12          7
4-40770000025             13          9
4-639380008993             3          0
4-353830000250            25         22
4-33609009911             36         23
4-491760003014            14         14
6-691700600166             6          3
4-79262004640             17         14
4-6391100009004             10          3
4-959790000058             5          2
6-691700600150             6          3
4-917021075029             5          2
6-691700600106             6          3
4-659180009006             5          0
4-4792001162              15         12
4-447953700231             8          5
4-639180009007             4          4
4-863476740000             3          3
4-33191393490251          14         10
4-37456100400              4          0
4-447784000445             4          0
4-8633747433000            3          3
4-491960003011             9          6
4-33191393490281          16         12
6-16363868769              6          3
4-447953700202            15         12
4-5519120120411            5          5
4-55191905420195           5          1
4-4792001180               8          5
4-4111760003002             11          8
4-33191393490249          16         13
4-33393905420283           3          3
4-324752004055602         52         41
4-882285000003333          3          3
4-8634773950000            3          3
4-331111346560153           11          11
4-31824000285              8          8
4-55191546070740           5          2
4-33191485010082           9          5
4-48603000065              3          0
4-861958457000             5          5
4-33191346560152          14          9
4-11733601111110              11          7
4-34642200028              11          7
4-639180009019             7          0
4-449953900254             9          9
4-491760003013             7          4
6-66707000300              6          6
4-33191546560159          15         11
4-33191491720341           7          7
4-46707000400             12         12
6-68881109132              6          6
4-939434399243             3          0
4-37069899882              3          3
6-691700600317             6          2
4-33609009905             29         22
4-440733087404             4          4
4-19703969832             39         18
4-33191491920099           9          6
6-3319120120637            6          6
4-33191233240056          18         12
4-358508773323             3          3
4-35191346070467          35         26
4-79167494207              5          5
4-491760003008            12         12
6-8613765908000            6          2
4-33609009908             36         22
4-353830000043             3          0
4-333934239050004          3          3
4-33609009904             36         29
4-3859814009               4          1
4-491700600304            16         12
4-79167494179              4          1
4-316530860010            13          9
4-8613641130000            9          6
4-8634770870000            3          3
6-691700600102             6          6
4-8634735240000            3          3
4-491900600129             9          5
4-34054729393              3          3
4-550119104004             4          0
4-33689008525             29         25
6-60766000110              6          3
4-491780003008             8          8
4-33689008886             25         20
4-491700600159             10          5
4-33191346070478           7          1
4-919890064707             7          2
4-33191346560166          16         12
4-491760003032            57         47
4-8615083440000            4          1
4-201059988074             8          5
4-33191346560181          13          7
6-3319120120636            6          6
4-423903002027             3          3
4-551911514420006          5          2
6-66705003208              6          3
6-33689008126              6          6
4-447955700248             5          5
4-203059968086             3          0
4-491760003019             10          7
4-863304765000             3          3
4-201059968081             9          9
4-242055005047             5          5
4-491700600151             5          5
6-691700600132             6          1
4-106133441101000            10          5
4-491900600103             9          5
4-8634778640000            3          0
4-3319140140505            4          1
6-3319120120506            6          6
4-447955700227             5          2
4-9633488803               3          0
6-667802002738             6          6
4-33191491920338           9          6
4-34054729228              3          3
4-33191393490264          19         14
4-7923960097220            3          3
4-371960997063             7          4
4-491700600155            12          7
4-41794992015            112         96
4-491700600112             10          6
4-449953900223             9          9
4-201059968089             5          1
4-46705003403              4          1
4-447973700277             7          4
4-34047259038              3          3
4-9921960096490            9          6
4-92300030596              3          3
4-447953700211            17         10
4-33191243810048           8          4
6-667782000117             6          3
4-491700800114             8          8
4-393358840745650          4          4
4-22670900007             47         39
4-438990041202            38         25
4-331914206080026         13         13
4-79126515252              5          5
4-659180009008             5          1
4-324770007321214          7          7
4-79367494378              3          3
4-861476742000             5          2
4-4111700600156             11          7
4-8190544114853            4          4
4-33191346560162           9          4
4-79367494223              3          3
4-939847097353             3          3
4-19703769809            119         31
4-33191348580180           8          5
4-79167494406              4          4
4-4367603034000            4          4
4-863562647000             3          3
4-8390542334872            3          3
4-33191491720169          12          7
4-491700600174             7          7
4-491760003016             10          7
4-33393687770038           3          3
4-447488200557             5          5
4-447784000431             4          1
4-33191485010414           8          5
4-46708000000             17         14
4-13603399694             70         20
4-4471153700230             11          8
4-33609009907             31         24
4-8637844940000            3          3
4-79167494449              4          4
4-639170000358            12          4
4-316240002106              10          10
4-331111346070455           11          2
6-256722500116             6          3
4-491760003017            13         13
4-8613334262000           12          8
4-447953700226             10          10
4-79126515151              5          5
4-491760003015            14         10
4-1166510248400             11          11
4-919897050310             4          4
4-79167494208              5          5
4-33393355690035           3          0
4-971550930009            78         65
4-393205800014            18         10
4-393533000027            14         11
