<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250920 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617341450000            3          1
4-48601000297              4          2
4-33191226760011         193        161
4-213661009500           897        723
4-34642200026              8          5
4-14174000022            564        487
4-212661000772           111         89
4-202059968072             2          2
4-33695000399            288        187
4-4366401100              42         28
4-212699790097            53         41
4-33191224620624         589        460
4-447953795221            32         28
4-46705004207              4          4
4-33191316540124        2893       1629
4-33191224620625         673        534
4-14054739343              3          1
4-393205800010           160        116
4-33191237670035          81         59
4-33191237690039         530        392
4-331912237600175        135        101
4-33191491720335          12         10
4-212663990030           185        115
4-3319120120510            7          5
4-33191316540258          39         29
4-19703769822             25         17
4-447953700225             9          9
4-32495000620            105         94
4-34622993899            107         83
4-491700600312             6          6
4-331912237600173        140        108
4-33191443850019         110         84
4-46707990051             97         25
4-33660005100            422        281
4-33689002869            117        101
4-905329326000            40         32
4-33689002871             71         62
4-34609190447             44         32
4-491700700311             7          7
4-33689002877             47         42
4-331912237600174        130        100
4-491700600116             9          7
4-447953700201            19         15
4-32495000630             85         71
4-48881100010             42         16
4-33191225070198         448        356
4-33191407220043          22         17
4-33191346070638           3          1
4-33689002868            132        110
4-919894000048            12          6
4-33689102876             91         75
4-47479499110              4          4
4-331912348030038        149        112
4-33191491820108           8          6
4-393358999737           103         67
4-33689008255            194        157
4-33689002863            102         82
4-24054729356              2          2
4-46708000984            456        399
4-417949983007008          6          4
4-8614755400000            3          3
4-33689002862             97         83
4-32495005650             42         17
4-33191393490277          15         11
4-491760003010            12          9
4-352621100057            60         34
4-883130000011000        632        231
4-19703769825             47         33
4-19703769823             23         13
4-33789002901             37         33
4-4419120120524            4          2
4-33191224660015          48         37
4-33191346560155          13          8
4-33191591720345          15         11
4-491860003022            18         16
4-491700600126           371        266
4-19703769838             12          4
4-919839001358             3          3
4-491700700115             7          5
4-33191491720158           7          5
4-906690000227             6          4
4-38267200069              2          2
4-41765900130            197        176
4-33689002902            128        101
4-13603399695             58         15
4-19703769834             13          4
4-19703769810            120         29
4-8625905320000            2          2
4-33689002861            119        105
4-3311014101720132           10          10
4-33689002904             98         75
4-32495000610            115        103
4-79219600076             14          9
4-264722600120             6          4
4-79267494232              2          2
4-491700600107             9          7
4-33689002903             50         47
4-447488200127            31         27
4-201069968078             6          1
4-33689008891             11          8
4-393519999399           435        363
4-4640390932               6          4
4-33191416540091          14         14
4-4101760003005             10          7
4-221866600939             8          6
4-32495000640             100         89
4-917372784242             7          4
4-22222997007             69         47
4-882285000008000        263         32
4-96596909414             22         18
4-862320028020             2          0
4-491800600148             8          4
4-447802002260            43         21
4-33689008881             17         13
4-19703769829             74         50
4-32475002533            160        134
5-35988000201              5          3
4-21650000097         835123     789528
4-447953700203            20         17
4-33689002905            139        112
4-24166228882             30         26
4-393358840738034         64         52
4-491700600122             9          5
4-32486000006            182        163
4-33689002878             60         51
4-79112009904              4          4
4-966505000000           104         93
4-491700600301            16         10
4-447953700209            12          9
4-4101760003020             10          8
4-436990071205            14         14
5-201059968069             5          2
4-6281107108              27         14
4-33609009909             32         20
4-447953700215            17         14
4-79267494225              2          2
4-33191250790012           9          9
4-46808000285              8          8
4-3319120120470            6          4
4-905590000339             3          1
4-8623240940002            2          2
4-331911514420022         28         24
4-491700600121             4          2
5-557953700250             5          3
4-33191316540133           3          1
4-61411999020              4          2
4-905590000223             2          2
4-17057969230             87         67
4-393358840759819         29         22
4-33191221770046          52         38
4-21650000004             26         18
4-33689003033            850        707
4-331101485010106           10          6
4-33609009915             32         23
4-23599999952             33         26
4-13603399697             22          6
4-19703769807             24         14
4-24054729364              2          2
4-324750004055613         61         46
4-44609091004              4          4
4-8625284240000            2          0
4-33609009914             36         28
4-33191495010103           9          5
4-821196580000            23         20
4-447488200124            22         19
4-393533000028            16         14
4-447802002730             10          10
4-447802002731            15         15
4-34642200029             12          9
4-441914219050054          4          4
4-447802002267            67         43
4-33191330350019           3          1
4-417949983007012        144        123
4-491700600309             3          3
4-639170000359            16          4
4-883170000000002          7          7
4-3319130130513            3          3
4-324860006004001         91         77
4-201069968208             6          4
4-33191485010110           7          4
4-966593888389           150        104
4-324850004001309          8          6
4-33191393490273          15         12
4-919934129300            11          9
4-491760003024             9          9
4-33609009906             28         20
4-33191491720129          11          8
