<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250920 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-201059968206             4          2
4-8613466470000            3          1
4-447953700351             3          1
4-201059978078             7          5
4-3311011005420145           10          6
4-4237902727               7          4
4-19703769828             87         58
4-491700700120             7          4
4-202059968082             2          2
4-46705004205              4          2
4-861326488802             6          6
4-871851740440             7          0
4-33191393490341          30         25
4-22366700065             95         80
4-33191972770198           7          5
4-447953700215            21         17
4-491700600315             9          7
4-33191905430355           3          3
4-19703769806             29         19
4-31624000284              10          8
4-34609092030             24         17
4-905590000229             2          2
5-15057259012              5          5
4-2348050001018           16         13
4-33191393490257          22         16
4-33191491720170          12         12
5-38269099120              5          5
4-32495000300              2          2
5-591700600308             5          5
4-437770182220             7          4
4-33191351930065          50         38
4-33191351910061          19         17
4-33609009902             40         29
4-447953700207            14         12
4-331911514420005          7          4
4-33191346660164           6          6
4-447953700216            12         10
4-36309489900             15         15
4-31653099532             90         57
4-447954700219             4          4
4-649180009011             4          1
4-919935070110             7          3
4-48881109032            129        109
4-3319130130517            3          3
4-48601000070              4          4
4-33689008472             70         61
4-393533000029            13         11
4-33191491820338           8          6
4-3319130130515            3          3
4-4792001161              15         15
4-44191241880011           4          2
4-491770003007             7          5
4-33191353870031          11          7
4-491760003019             9          5
4-3319130130447            3          3
4-33191236720149          45         34
4-491700600300            12         12
5-8615002310000            5          5
4-33609009901             38         29
4-739180008988             7          1
4-48881109142             20         17
4-79942611192             22         19
4-8290542224852            2          2
5-35796967005              5          5
5-33191553850196           5          5
4-33191221770048          50         36
5-12085978680              5          3
4-447802002747            13         13
4-8613505310000            3          1
4-33191491720142           6          6
4-862565262000             2          2
4-33689002872             30         20
4-447953700215            15         11
4-33191227900042          49         43
4-48882209072              2          2
4-989110014                4          4
4-33191221770047          58         41
4-447782000222             4          1
4-488811010002              10          6
4-33191393490258          21         19
4-301059968071             3          1
4-491700600157             4          4
4-550022102003             9          6
4-491700600144             4          2
4-40744009900             22         14
4-48881119112             11          8
4-905590000226             4          4
5-591700600127             5          3
4-85290284006              2          2
4-882470000001001         19         14
4-33191491720343           9          7
4-48881109012           1654       1449
4-71011200101001              10          7
4-447953700233             7          7
4-33191393490260          17         13
4-447802002330            27         15
4-33191491720169           9          9
4-491760003009            11          9
4-8713334113000            7          3
4-491800600145             8          8
4-353857000880             10          6
4-491700700137             7          7
4-447802002262             4          4
4-447954700254             4          4
4-33191393490332          31         27
4-37256100093              9          6
4-447488200125            30         28
4-201069968207             6          6
4-436760172100            42         17
4-41794992105            179          0
5-557782000228             5          5
4-33609009917             31         22
4-491760003033            46         36
5-557782000116             5          2
5-38161067                 5          5
4-550027102006             4          0
4-201069968202             6          4
5-905590000201             5          3
4-33191346560173          15         10
4-491800600113             8          6
4-96139960265             18         14
4-35699418500             29         17
4-447953700208            15         11
4-352021100056            31         25
4-40770000027             11         11
5-58602003052              5          3
4-33191491720146           6          6
4-19703769833             56         21
4-919992123947             9          7
4-447782000246             4          2
4-33689002871             23         16
4-33609009910             41         31
4-40770000029             12         10
4-966575486140            30         25
4-393358815162            12          8
4-33191393490271           7          4
4-33191222400020         272        209
4-919816001268             8          3
4-254722500122             9          9
4-447803003363             3          3
5-33695000380              5          5
4-66924012504              4          4
4-40971460011              4          4
4-4540699830              12          9
4-33609009913             28         19
4-249912090007            15          9
4-33191393490266          17         14
4-212602790326            86         65
4-4247902650               4          0
4-491700700117             7          7
4-905590000333             3          1
4-33191243840013          43         37
4-33191356940085         206         84
4-201059978077             7          5
4-491700600306            17         11
4-33191393490323          17         14
4-19703769842             78         47
4-905590000334             3          3
4-33191491720342           7          5
4-447802002746             10          7
4-447953700343             3          3
4-19703769808             36         21
4-447953700218            18         14
4-48268000904              4          4
4-8614796380000            3          3
4-33191417880087          28         21
4-3311014101720167           10          10
4-447488200126            32         27
4-331911514420010          8          6
5-352061000230             5          2
5-355680200025             5          5
5-33191585010105           5          3
4-13603399653             11          2
4-33191485010395           7          4
4-422949902074             2          2
4-33191393490276          15         12
4-254722500117             10          5
4-8618516404531            3          0
4-8628405220000            2          2
4-4790000950              11         11
4-8613436840000            8          5
4-491760003014            13         10
4-97477920100             29         21
4-46707000303              3          3
4-26363848772              2          2
4-336220000099423          2          2
4-34642200027             15         12
4-447802002737            11         11
4-33191393490265          11          6
4-491700600104             4          4
5-33191585010107           5          3
4-4419120120520            4          4
4-491700600303            12         12
4-393358815112            15         13
5-591700600108             5          5
5-12505592538              5          1
4-491760003021             6          3
4-491700600305             9          9
4-4792001159               7          5
4-33191486010086           6          3
4-905329346000            27         24
4-352091000110             7          7
4-8627875270000            2          2
4-29039326956              2          0
4-298249070                2          2
4-861556508438             3          3
4-430733087403             3          3
4-48881109082              4          2
5-557953700220             5          5
4-324750007320407          7          7
4-491760007042             4          1
4-649180009009             4          1
4-35688894012              8          6
4-3319120120439            6          3
5-3319120120555            5          3
4-4101700600110             10          8
4-33191393490331          42         35
4-33191393490218          16         12
4-883385000001104          3          0
4-94785000060              4          4
4-3329220220472            2          2
4-62816081125              8          2
4-16473840081             59         45
4-46731260001              9          9
4-905590000272             2          2
4-919841029100             4          2
4-254822500118             8          4
4-6281117162              11          7
4-40770000025             12          9
4-639280008992             2          0
4-353830000250            24         22
4-33609009911             35         23
4-491760003013            13         13
5-591700600156             5          3
4-79262004640             16         14
4-639190009004             9          3
4-959790000058             4          2
5-591700600150             5          3
4-917021075029             4          2
5-591700600106             5          3
4-649180009006             4          0
4-4792001162              14         12
4-447953700231             7          5
4-639180009007             3          3
4-862476740000             2          2
4-33191393490251          13         10
4-37356100300              3          0
4-447783000335             3          0
4-8623747432000            2          2
4-491860003011             8          6
4-33191393490281          15         12
5-16363858769              5          3
4-447953700202            14         12
4-4419120120411            4          4
4-44191905420195           4          1
4-4792001170               7          5
4-4101760003002             10          8
4-33191393490249          15         13
4-33292905420283           2          2
4-324751004055602         51         41
4-882285000002222          2          2
4-8624773950000            2          2
4-331101346560153           10          10
4-31724000285              7          7
4-44191446070740           4          2
4-33191485010082           8          5
4-48602000065              2          0
4-861958457000             4          4
4-33191346560152          13          9
4-10733601101010              10          7
4-34642200028              10          7
4-639180009019             6          0
4-448953800254             8          8
4-491760003013             6          4
5-56707000300              5          5
4-33191446560149          14         11
4-33191491720341           6          6
4-46707000400             11         11
5-58881109132              5          5
4-929434399242             2          0
4-37069899882              2          2
5-591700600317             5          2
4-33609009905             28         22
4-430733087404             3          3
4-19703869832             38         18
4-33191491820099           8          6
5-3319120120537            5          5
4-33191233240056          17         12
4-358508772222             2          2
4-34191346070467          34         26
4-79167494207              4          4
4-491760003008            11         11
5-8613755908000            5          2
4-33609009908             35         22
4-353830000042             2          0
4-332924229050004          2          2
4-33609009904             35         29
4-3859813009               3          1
4-491700600304            15         12
4-79167494179              3          1
4-316530860010            12          9
4-8613641130000            8          6
4-8624770870000            2          2
5-591700600102             5          5
4-8624725240000            2          2
4-491800600129             8          5
4-24054729292              2          2
4-550119103004             3          0
4-33689008525             28         25
5-50766000110              5          3
4-491770003007             7          7
4-33689008886             24         20
4-491700600159             9          5
4-33191346070468           6          1
4-919890064606             6          2
4-33191346560156          15         12
4-491760003032            56         47
4-8615083430000            3          1
4-201059978074             7          5
4-33191346560181          12          7
5-3319120120536            5          5
4-422903002027             2          2
4-441911514420006          4          2
5-56705003208              5          3
5-33689008126              5          5
4-447954700248             4          4
4-202059968086             2          0
4-491760003019             9          7
4-862304765000             2          2
4-201059968081             8          8
4-242055005047             4          4
4-491700600141             4          4
5-591700600132             5          1
4-9613344191000            9          5
4-491800600103             8          5
4-8624778640000            2          0
4-3319130130505            3          1
5-3319120120506            5          5
4-447954700227             4          2
4-9623488802               2          0
5-557802002738             5          5
4-33191491820338           8          6
4-24054729228              2          2
4-33191393490264          18         14
4-7922960097220            2          2
4-361960996063             6          4
4-491700600155            11          7
4-41794992015            111         96
4-491700600112             9          6
4-448953800223             8          8
4-201059968089             4          1
4-46705003303              3          1
4-447963700266             6          4
4-24047259028              2          2
4-8921960096490            8          6
4-92300020596              2          2
4-447953700211            16         10
4-33191243810047           7          4
5-557782000117             5          3
4-491700700114             7          7
4-393358840745650          3          3
4-22670900007             46         39
4-437990041202            37         25
4-331914206080026         12         12
4-79126414242              4          4
4-649180009008             4          1
4-324760007321214          6          6
4-79267494278              2          2
4-861476742000             4          2
4-4101700600156             10          7
4-8190543114853            3          3
4-33191346560162           8          4
4-79267494223              2          2
4-929847097353             2          2
4-19703769809            118         31
4-33191347570170           7          5
4-79167494306              3          3
4-4367603034000            3          3
4-862562647000             2          2
4-8290542224872            2          2
4-33191491720169          11          7
4-491700600164             6          6
4-491760003016             9          7
4-33292687770028           2          2
4-447488200547             4          4
4-447783000331             3          1
4-33191485010414           7          5
4-46708000000             16         14
4-13603399694             69         20
4-4471053700230             10          8
4-33609009907             30         24
4-8627844940000            2          2
4-79167494339              3          3
4-639170000358            11          4
4-31624000296              9          9
4-331101346070455           10          2
5-255722500116             5          3
4-491760003017            12         12
4-8613334262000           11          8
4-447953700226             9          9
4-79126414141              4          4
4-491760003015            13         10
4-1066510248400             10          10
4-919897050310             3          3
4-79167494208              4          4
4-33292355690025           2          0
4-971550930009            77         65
4-393205800014            17         10
4-393533000027            13         11
4-48881109062            310        257
5-393358911006             5          5
4-491700600101             3          3
4-63816081134              3          3
4-37229899920              2          0
4-4467604044000            4          4
4-79184790016              6          3
4-458402001004             4          4
4-8628450500000            2          0
4-491700600316             6          6
4-639180008986             3          1
4-331913390134031          3          3
4-331911514420007         29         21
4-447954700244             4          4
5-905590000272             5          3
4-883230000008205          2          2
4-33609009916             35         29
4-344950170030             3          3
4-3319127820097            7          7
4-24047259037              2          0
4-97339600962              9          9
4-46707000233            103         90
4-79267494275              2          2
4-324750007315415          9          7
4-33191317540275           7          3
4-447782002260             2          2
4-491700700111             7          5
4-491700600136             6          4
4-44191905420457           4          2
4-447953700204            22         18
4-33191346070451          12          7
5-861562611000             5          5
5-591700600128             5          2
4-79639742254              2          2
4-447803003736             3          1
4-9595930073               3          3
4-882285000001110          4          0
4-862320028020             2          2
4-33191491720143          11         11
4-79267494228              2          2
4-66924010450              4          1
4-79167494224              4          4
4-79267494273              2          2
4-33110141017201410           10          7
4-447963700222             6          4
4-79167494188              3          3
5-79112009905              5          5
4-33292905420285           2          0
4-31624000281              6          6
4-29037029905              2          2
4-8614741040000            4          4
4-33660005220              2          2
4-46707000276              10          6
4-31650000057              3          3
4-8623564840000            2          2
4-994550000205             4          1
5-79167595201              5          3
4-3311014101720174           10          10
4-491700700170             7          5
4-994550000336             3          0
4-491700600407             4          4
4-33191311930001           3          3
4-24054729334              2          2
5-3319120120552            5          3
4-101108410005532             10          5
4-739170000337             7          2
4-8628362240000            2          2
4-9477000338               2          0
4-351960995063             3          3
4-3726098027               6          6
4-33191491720171           9          6
4-3648900088               6          4
5-919850011921             5          3
4-436990071206            11         11
4-33191690360067           6          6
5-591700600151             5          5
5-201059968073             5          3
4-905590000232             2          2
4-447953700333             3          3
4-33191905430193           3          1
4-48602003040             12         12
4-447953700212            14         12
4-8623452420000            2          2
4-48601000068              4          4
4-21650000050              4          4
4-254722500119             9          7
4-351960995064             8          5
4-33689008888             17         12
4-56982999055              4          1
4-821080010585             10          7
4-491700700138             7          7
4-8625224930000            2          2
4-436760183333             3          0
4-639180009001             3          0
4-639170000369            14          4
4-919893581560             3          3
4-829066529778             2          2
4-8623436470000            2          0
4-22085978686              2          2
4-79014951192              4          4
4-33292326540267           2          2
4-33292229970027           2          2
4-201059968205             4          2
4-48881109022             29         22
5-33191591720130           5          5
4-8613441763               3          3
4-38641003602              6          3
4-331919687700003          6          6
4-447782000248             2          0
4-639280008992             2          2
4-66923026504              2          2
4-8613773450000            3          3
4-16145000212              4          2
4-77050000030              2          0
4-33191495010109           9          1
4-48601000067              3          0
4-29039326968              2          0
4-639280009005             2          0
4-12085978677              4          4
4-861476741000             3          3
4-3735509930               3          3
4-441914746910002          4          4
4-4237902670              76          1
4-79184790003              6          4
4-33689008063              3          1
4-331912290195042          9          6
4-3319120120613            6          6
4-33191491720141           9          7
4-13603399696             20          1
4-3103533000026             10          6
5-557953700229             5          5
5-56705003205              5          5
4-447559499030           285        257
4-77050000026              4          4
4-33292326540366           2          0
4-21650000098         829176     783715
4-33191491820124           8          8
4-212661000746            36         29
4-862854922000             2          2
4-14054739331              3          3
4-8629826540000            2          2
4-48601000071              4          4
4-33191306940031          15         10
5-3319120120509            5          3
4-44191245950040           4          2
4-24054729342              2          0
4-33292905420292           2          2
4-33689008256            196        158
4-447953700210            15         11
5-12505592551              5          3
4-905590000245             4          2
4-862960342474             2          2
4-368447981200             6          6
5-6281107165               5          2
4-8190542119851            8          6
4-927026075020             2          0
4-31624000282              10          8
4-919895000041             7          4
4-491760003004             9          6
4-491700600133            12          9
4-14054729454              4          4
5-591700600118             5          5
4-447953700339             3          3
4-447783000343             3          3
4-79016481192             19         16
4-905590000338             3          3
4-254822500121             8          6
4-22404492443              2          2
4-32475002529              2          2
4-3319120120434            8          8
4-22899999865              8          5
4-33689002900             28         20
4-862958464000             2          2
4-447953700331             3          3
4-79333900343              3          3
5-591700600155             5          2
4-8623460450000            2          2
4-97455589703              2          2
4-882285000001112          4          0
4-48601000063              3          3
4-79267494228              2          2
4-861300013103             3          0
4-201059968084             4          1
4-447782000114             4          4
5-591700600109             5          3
4-24047259009              2          2
4-32653099570              2          0
4-446760182221             4          4
4-331913290197028         13         13
4-447953700206            16         14
4-66924014522              4          1
4-447803003361             3          3
4-358508771123             7          7
4-33292905420294           2          2
4-916289015348             8          5
4-79267494202              2          2
4-919021019361             9          6
4-19049426986              4          4
4-919845287078             7          5
4-84900200                 2          2
4-8614426440000            4          4
5-3319120120550            5          5
4-8290542226874            2          2
4-905590000303             3          3
4-79167494337              3          3
4-33609009912             39         31
4-447782000222             2          0
4-62826082422              2          2
4-3348030004555            3          1
4-33609009903             27         15
4-491760003003             9          9
4-19703769843             52         28
4-8613467430000            3          3
4-44191491720125           4          4
4-38977000370              3          3
5-995700010120             5          1
4-393358840763002          2          0
4-331913636930007          3          3
4-37492000965              2          2
4-447954700258             4          2
4-4528233326               2          2
4-79012275192              7          7
4-46707000274              2          2
4-447954700247             4          4
5-591700600157             5          3
4-48601000064              3          3
4-649180009010             4          1
4-639180009003             3          1
5-358502001001             5          2
4-8618516404534            3          1
4-861851340000             3          3
4-639180008994             3          1
4-33191485010109           8          8
4-3329260260029            2          2
5-861395810000             5          5
4-261440010207             4          0
4-919810051031            13         10
4-79267494207              2          2
4-33110136700040            10          10
5-58602003051              5          2
4-905590000336             3          1
4-19039326900              9          4
4-13404493436              3          1
4-46706003206              6          4
4-8624735630000            2          2
5-882285000001100          5          0
4-79167494331              3          3
5-218919121253             5          5
4-33110131034100278           10          10
4-491770003001             7          5
4-301059968077             3          1
4-66933011551              3          1
5-79167595220              5          5
4-8615100740000            3          0
4-862565485002             2          0
4-30971460009              3          3
4-386910930                6          4
4-79639742252              2          2
4-2348020004557            2          2
4-917011075039             3          1
4-79167494186              3          3
4-447782000222             2          0
4-79267494284              2          2
4-447783000344             3          0
4-4528233322               2          2
5-639180008987             5          2
4-8615837670000            3          3
4-919815053740             7          5
4-331101485010102           10          6
4-447797707075             3          0
4-79267494226              2          2
4-30971460010              3          3
4-64377435103              3          3
4-33292443850294           2          2
4-989220006                2          2
4-3735098036               3          1
4-919898092806             6          3
4-79639742252              2          2
4-862856834003             2          2
4-649180008990             4          2
4-201069968070             6          4
4-862564642000             2          2
4-2694000115              11          7
4-430733087401             3          0
4-33191443850195           3          3
4-8618516404533            3          0
4-79270009045              9          9
4-13085978679              3          1
4-237694000000             2          2
5-79289900080              5          3
4-33191446560172          14         10
4-861854918000             3          1
4-79167494305              3          3
4-33191491720344          11          9
4-14054739331              3          0
4-8290542226882            2          2
4-3319130130508            3          3
4-66923024503              2          2
5-3319120120555            5          5
4-93792020202              2          0
4-882285000002202          2          0
4-491700600144             4          2
4-24054729344              2          0
4-639180009003             3          0
4-447953700256             2          2
4-24044559263              2          2
4-862565484925             2          2
4-24054729209              2          2
4-3859822020               2          2
4-33191962770199           6          4
4-8613759610000            3          3
4-46707000410              4          1
4-33191316540398           3          3
4-8628422280000            2          2
4-447782000226             2          0
4-66924014502              4          4
4-8290542224880            2          2
4-30971460017              3          1
4-3319160160030            6          4
4-66933016534              3          3
4-3319130130441            3          3
4-244920002208             2          2
4-447953700359             3          3
4-8613870840000            6          6
4-649180009020             4          1
5-591700600158             5          3
4-8628472670000            2          2
4-40770000028              7          5
4-22890600000              2          2
4-492700600320             2          0
4-883385000001109          3          0
4-79267494203              2          2
4-331911514430008          3          3
4-4367603033000            3          1
4-8629882390000            2          2
4-491860003023             8          6
4-829066529770             2          2
4-3319120120447            7          5
5-31625000287              5          5
4-491700600414             4          2
4-861300013103             3          3
4-358447981103             3          3
4-431903003035             3          3
4-13603399657              3          3
4-447782000243             2          2
4-61415011015              3          0
4-491700600141             9          9
4-13603399656              8          5
4-30971460018              6          4
4-436760282232             2          2
4-201059978084             7          7
4-33292326540240           2          2
4-447783000111             3          1
5-33191316550327           5          3
4-97444810271              4          2
4-420733087400             2          0
4-447783000345             3          0
4-8624756540000            2          0
4-8190543119853            3          3
4-46835488100              8          5
4-446760182225             4          1
5-56705003201              5          3
4-48602000066              2          0
4-905590000334             3          3
4-639180009018             3          0
4-33191316540164           3          3
4-649180009015             4          1
4-905590000333             3          1
4-639180008985             3          0
4-862854896000             2          2
4-4419120120511            4          4
4-862325477802             2          2
4-639180009013             3          1
4-447954700218             4          2
4-862325477829             2          2
4-491700600149             3          3
4-862958454000             2          2
4-905590000237             2          2
4-447783000114             3          1
4-79022322292              2          2
5-201059968201             5          3
4-448802002832             8          8
4-3859822022               2          0
4-491700600135             3          3
4-31624000283              6          4
4-79539480193              3          0
5-37068599230              5          3
4-447802002748             6          6
4-201059968204             4          4
4-5692600207               2          0
4-436990071396             3          3
5-3319120120558            5          5
4-26363848770              2          2
4-862866200057             2          0
4-929823000277             2          2
4-452061000240             4          2
4-318939999930             3          3
4-8624796920000            2          0
4-33292326540334           2          0
5-591700600123             5          5
4-8628526404527            2          0
4-27822022225              2          2
4-24047259029              2          2
4-33191485010437           3          3
4-358508771133             3          1
4-46723900020              2          2
4-13404493443              3          3
4-8623460340000            2          2
4-353061000330             3          3
4-491700600414             4          2
4-550023202005             2          2
4-8613531740000            3          1
4-3319130130531            3          3
4-883385000001101          3          1
4-971550930006             3          3
4-8627842050000            2          2
4-491700600154             4          2
4-882285000002206          2          0
4-447803003364             3          3
4-29039326946              2          2
4-8624735730000            2          2
4-9779800000054            2          2
4-24054729322              2          2
4-13404493440              3          3
4-47129201245              4          2
4-862326404000             2          0
4-447953700213             9          5
4-4528232000               2          2
4-3329227820090            2          2
4-447783000333             3          3
5-557953700228             5          2
4-2203005292               2          2
4-929823000692             2          2
4-639280009026             2          2
4-491700600130             3          3
4-8613479640000            3          3
4-4538133318               3          3
4-8628482650000            2          2
4-8623822340000            2          2
5-557782000227             5          2
4-447783000334             3          1
4-447797707076             3          0
4-8623748602               2          2
4-8624796670000            2          2
4-4532307402               2          2
4-447953700224             2          2
4-905590000343             3          3
4-550202202069             2          2
4-8628402400000            2          2
4-446760182224             4          1
4-326530870020             2          2
4-447954700246             4          2
4-447954700257             4          4
4-79101499984              4          4
4-883230000008322          2          2
4-201059968079             4          2
4-332922547700002          2          0
4-451924400026             4          1
4-862300020203             2          2
5-639180009000             5          0
4-33292374950022           2          2
4-66924011541              4          2
4-393358840745822          2          0
4-447953700353             3          3
4-8628526404523            2          0
4-4528233327               2          2
4-202059968075             2          0
4-447953700246             2          2
4-68987209999              2          0
4-33191491730131           3          3
4-447953700335             3          3
4-861476743000             6          2
4-8615654940               4          4
4-351960995065             3          3
4-491700600124             4          2
4-8290542222850            2          2
4-8624778420000            2          2
4-79202906865              4          2
4-447783000115             3          1
4-96558859633              3          3
4-861475810000             4          4
4-4467604045000            4          4
4-447953700341             3          3
4-24047259008              2          2
4-929954000200             2          2
4-905590000241             4          4
4-491700600137             3          0
4-447963700247             6          6
5-591700600152             5          3
4-352062000250             2          2
4-96394107400              3          1
4-861334704000             3          3
4-447781003015             3          1
4-33292326540297           2          2
4-2348020004620            2          2
4-25377890008              2          2
4-862320025322             2          0
4-33689008252              2          2
4-63816081137              3          1
4-8628526404520            2          0
4-33292905420246           2          2
4-447953700245             2          2
4-447782000242             2          0
4-8625765840000            2          2
4-301059968087             3          1
4-491700600119             4          4
4-201059968204             4          2
4-46705003202              2          0
5-536760182222             5          2
4-491700600152             4          4
5-33191591720339           5          5
4-48881109193              3          3
4-240556000420             2          2
4-30972460022              2          0
4-33292255750069           2          2
4-29039326992              2          2
4-883230000008322          2          0
4-38640006170              6          4
4-29039326993              2          2
4-8623745906000            2          0
4-79202399982              2          2
4-862564450908             2          2
4-48881109153              3          1
4-24054729324              2          2
4-590690880202             2          2
4-23603399764              2          2
4-8625202240000            2          2
4-37069950000              3          3
4-447782000240             4          4
4-8628455040000            2          2
4-447953700338             3          1
4-447782000118             6          6
4-24054729229              2          2
4-79267494242              2          2
4-862854924000             2          2
4-3329227820220            2          2
4-29039326966              2          2
4-8624784620000            2          0
4-447953700234             2          2
4-639280008993             2          0
4-8628400240000            2          2
4-96475309003135           3          3
4-37069899882              2          2
4-3735509961               3          0
4-79267494232              2          2
4-38263200302              2          2
4-491700600140             3          3
4-79188399993              3          1
4-79267494272              2          2
4-66942500006              2          2
4-8628488420000            2          2
4-48601000063              3          3
4-393358999734             2          2
4-66923025506              2          0
4-29039326984              2          0
4-492700600239             2          2
4-447782000244             4          4
4-42451000026              4          4
4-22085978676              2          2
4-33292905420288           2          0
4-862320028000             2          0
4-33689008722              2          2
4-8190543113861            3          1
4-882285000002208          2          0
4-29039326974              2          0
4-29039326982              2          2
4-24054729227              2          0
4-66923026503              2          2
4-861854916000             3          1
4-8625232420000            2          2
4-332922626920022          2          2
4-8628472840000            2          2
4-447953700243             2          2
4-550101103093             3          1
4-54079000020              2          2
4-639280009022             2          0
4-929026786493             2          2
4-491700600105             3          3
4-447954700249             4          2
4-359898000226             2          2
4-24054729325              2          2
4-862852640474             2          0
4-436990071395             3          3
4-447782000119             4          4
4-436760282228             2          2
4-387630000070             2          2
4-550229202007             2          2
4-38268000903              2          2
4-24054729222              2          2
4-905590000238             2          2
4-436760282230             2          0
4-24054729346              2          2
4-861300085100             3          3
4-882285000002226          2          0
4-252922299999             2          0
4-24054729205              2          2
4-436760183333             3          1
4-8628883420000            2          0
4-79247992088              2          2
4-8623782970000            2          0
4-252972200250             2          2
4-33191905430388           3          3
4-33292905420257           2          2
4-33191905430384           3          3
4-79224599990              2          2
4-13603399047              3          1
4-8290542223864            2          2
4-33191333760008           3          0
4-33292353870058           2          2
4-447782000232             2          2
4-8623820420003            2          2
4-8629895530000            2          0
4-4538133311               3          3
4-8628804230000            2          2
4-927022075028             2          2
4-639280009024             2          2
4-324750004260404          2          0
4-8624709420000            2          2
4-883385000001103          3          0
4-972550930007             2          2
4-33191905430189           3          3
4-8613534540000            3          3
4-829066529762             2          2
4-8625905380000            2          2
4-67582000220              2          2
4-436760282229             2          2
