<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20251003 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617041450000            0          1
4-48601000297              1          2
4-33191226760011         190        161
4-213661009500           894        723
4-34642200026              5          5
4-14174000022            561        487
4-212661000772           108         89
4-201059968072             1          1
4-33695000399            285        187
4-4366401100              39         28
4-212699790097            50         41
4-33191224620624         586        460
4-447953795221            29         28
4-46705001207              1          1
4-33191316540124        2890       1629
4-33191224620625         670        534
4-14054709040              0          1
4-393205800010           157        116
4-33191237670035          78         59
4-33191237690039         527        392
4-331912237600175        132        101
4-33191491720335          9         10
4-212663990030           182        115
4-3319120120510            4          5
4-33191316540258          36         29
4-19703769822             22         17
4-447953700225             6          6
4-32495000620            102         94
4-34622993899            104         83
4-491700600312             3          3
4-331912237600173        137        108
4-33191443850019         107         84
4-46707990051             94         25
4-33660005100            419        281
4-33689002869            114        101
4-905329326000            37         32
4-33689002868             68         62
4-34609190447             41         32
4-491700400311             4          4
4-33689002877             44         42
4-331912237600174        127        100
4-491700600116             6          7
4-447953700201            16         15
4-32495000630             82         71
4-48881100010             39         16
4-33191225070198         445        356
4-33191407220043          19         17
4-33191346070608           0          1
4-33689002868            129        110
4-919894000048            9          6
4-33688802876             88         75
4-17179499110              1          1
4-331912348030038        146        112
4-33191491520105           5          6
4-393358999737           100         67
4-33689008255            191        157
4-33689002863            99         82
4-14054729356              1          1
4-46708000984            453        399
4-417949983007008          3          4
4-8614755400000            0          0
4-33689002862             94         83
4-32495005650             39         17
4-33191393490277          12         11
4-491760003010            9          9
4-352621100057            57         34
4-883130000011000        629        231
4-19703769825             44         33
4-19703769823             20         13
4-33489002901             34         33
4-1119120120524            1          2
4-33191224660015          45         37
4-33191346560155          10          8
4-33191291720345          12         11
4-491560003022            15         16
4-491700600126           368        266
4-19703769838             9          4
4-919809001358             0          0
4-491700400115             4          5
4-33191491720158           4          5
4-903390000227             3          4
4-38267100069              1          1
4-41765900130            194        176
4-33689002902            125        101
4-13603399695             55         15
4-19703769834             10          4
4-19703769810            117         29
4-8615905320000            1          1
4-33689002861            116        105
4-33171471720132           7          7
4-33689002904             95         75
4-32495000610            112        103
4-79219600076             11          9
4-234722300120             3          4
4-79167494131              1          1
4-491700600107             6          7
4-33689002903             47         47
4-447488200127            28         27
4-201039968078             3          1
4-33689008891             8          8
4-393519999399           432        363
4-4340390932               3          4
4-33191116540091          11         11
4-471760003005             7          7
4-221566600939             5          6
4-32495000640             97         89
4-914342784242             4          4
4-22222997007             66         47
4-882285000008000        260         32
4-96596909414             19         18
4-861320018020             1          0
4-491500600148             5          4
4-447802002260            40         21
4-33689008881             14         13
4-19703769829             71         50
4-32475002533            157        134
2-35988000201              2          3
4-21650000097         835120     789528
4-447953700203            17         17
4-33689002905            136        112
4-24166228882             27         26
4-393358840738034         61         52
4-491700600122             6          5
4-32486000006            179        163
4-33689002878             57         51
4-79112009901              1          1
4-966505000000           101         93
4-491700600301            13         10
4-447953700209            9          9
4-471760003020             7          8
4-436990071205            11         11
2-201059968069             2          2
4-6281107108              24         14
4-33609009909             29         20
4-447953700215            14         14
4-79167494115              1          1
4-33191250760012           6          6
4-46505000255              5          5
4-3319120120470            3          4
4-905590000039             0          1
4-8613240940001            1          1
4-331911514420022         25         24
4-491700600121             1          2
2-227953700220             2          3
4-33191316540103           0          1
4-61411999020              1          2
4-905590000223             1          1
4-17057969230             84         67
4-393358840759819         26         22
4-33191221770046          49         38
4-21650000004             23         18
4-33689003033            847        707
4-33171485010106           7          6
4-33609009915             29         23
4-23599999952             30         26
4-13603399697             19          6
4-19703769807             21         14
4-14054729364              1          1
4-324750004055583         58         46
4-14609091004              1          1
4-8615184140000            1          0
4-33609009914             33         28
4-33191465010103           6          5
4-821196580000            20         20
4-447488200124            19         19
4-393533000028            13         14
4-447802002730             7          7
4-447802002731            12         12
4-34642200029             9          9
4-111914219050051          1          1
4-447802002267            64         43
4-33191030050019           0          1
4-417949983007012        141        123
4-491700600309             0          0
4-639170000359            13          4
4-883170000000002          4          4
4-3319100100510            0          0
4-324860006004001         88         77
4-201039968208             3          4
4-33191485010110           4          4
4-966593888389           147        104
4-324550004001309          5          6
4-33191393490273          12         12
4-919934129300            8          9
4-491760003024             6          6
4-33609009906             25         20
4-33191491720129          8          8
4-201059968206             1          2
4-8613466470000            0          1
4-447953700051             0          1
4-201059948048             4          5
4-33171705420145           7          6
4-4237902424               4          4
4-19703769828             84         58
4-491700400120             4          4
4-201059968082             1          1
4-46705001205              1          2
4-861323488802             3          3
4-841851440440             4          0
4-33191393490341          27         25
4-22366700065             92         80
4-33191942770198           4          5
4-447953700185            18         17
4-491700600315             6          7
4-33191905400355           0          0
4-19703769806             26         19
4-31624000284              7          8
4-34609092030             21         17
4-905590000229             1          1
2-12027259012              2          2
4-2348050001018           13         13
4-33191393490257          19         16
4-33191491720170          9         9
2-38269099120              2          2
4-32495000300              1          1
2-291700600308             2          2
4-434740182220             4          4
4-33191351930065          47         38
4-33191351910061          16         17
4-33609009902             37         29
4-447953700207            11         12
4-331911514420005          4          4
4-33191346360134           3          3
4-447953700216            9         10
4-36309489900             12         12
4-31653099532             87         57
4-447951700219             1          1
4-619180009011             1          1
4-919935040110             4          3
4-48881109032            126        109
4-3319100100517            0          0
4-48601000070              1          1
4-33689008472             67         61
4-393533000029            10         11
4-33191491520335           5          6
4-3319100100515            0          0
4-4792001161              12         12
4-11191211880011           1          2
4-491740003007             4          5
4-33191353870031          8          7
4-491760003016             6          5
4-3319100100447            0          0
4-33191236720149          42         34
4-491700600300            9         9
2-8615002310000            2          2
4-33609009901             35         29
4-439180008988             4          1
4-48881109142             17         17
4-79942611192             19         19
4-8190542114852            1          1
2-35796967002              2          2
2-33191223850196           2          2
4-33191221770048          47         36
2-12085978680              2          3
4-447802002747            10         10
4-8613505310000            0          1
4-33191491720142           3          3
4-861565161000             1          1
4-33689002872             27         20
4-447953700212            12         11
4-33191227900042          46         43
4-48881109072              1          1
4-989110014                1          1
4-33191221770047          55         41
4-447782000222             1          1
4-48881107002              7          6
4-33191393490258          18         19
4-001059968071             0          1
4-491700600157             1          1
4-550022102003             6          6
4-491700600114             1          2
4-40744009900             19         14
4-488818982             8          8
4-905590000226             1          1
2-291700600127             2          3
4-85290184006              1          1
4-882470000001001         16         14
4-33191491720343           6          7
4-48881109012           1651       1449
4-77112007701              7          7
4-447953700233             4          4
4-33191393490260          14         13
4-447802002330            24         15
4-33191491720166           6          6
4-491760003009            8          9
4-8413334113000            4          3
4-491500600145             5          5
4-353857000880             7          6
4-491700400134             4          4
4-447802002262             1          1
4-447951700251             1          1
4-33191393490332          28         27
4-37256100063              6          6
4-447488200125            27         28
4-201039968207             3          3
4-436760172100            39         17
4-41794992105            176          0
2-227782000228             2          2
4-33609009917             28         22
4-491760003033            43         36
2-227782000116             2          2
2-38161067                 2          2
4-550027102006             1          0
4-201039968202             3          4
2-905590000201             2          3
4-33191346560173          12         10
4-491500600113             5          6
4-96139960265             15         14
4-35699418500             26         17
4-447953700208            12         11
4-352021100056            28         25
4-40770000027             8         8
2-28602003022              2          3
4-33191491720143           3          3
4-19703769833             53         21
4-919692123647             6          7
4-447782000246             1          2
4-33689002871             20         16
4-33609009910             38         31
4-40770000029             9         10
4-966575486140            27         25
4-393358815162            9          8
4-33191393490271           4          4
4-33191222400020         269        209
4-919816001268             5          3
4-254722500122             6          6
4-447800000063             0          0
2-33695000380              2          2
4-66921012501              1          1
4-10971460011              1          1
4-4540699830              9          9
4-33609009913             25         19
4-249912090007            12          9
4-33191393490266          14         14
4-212602790326            83         65
4-4217902650               1          0
4-491700400117             4          4
4-905590000033             0          1
4-33191243840013          40         37
4-33191356940085         203         84
4-201059948074             4          5
4-491700600306            14         11
4-33191393490323          14         14
4-19703769842             75         47
4-905590000034             0          0
4-33191491720342           4          5
4-447802002746             7          7
4-447953700040             0          0
4-19703769808             33         21
4-447953700215            15         14
4-18268000904              1          1
4-8614796380000            0          0
4-33191417880087          25         21
4-33171471720167           7          7
4-447488200126            29         27
4-331911514420010          5          6
2-352061000230             2          2
2-355680200025             2          2
2-33191285010102           2          3
4-13603399653             8          2
4-33191485010395           4          4
4-421949901074             1          1
4-33191393490276          12         12
4-254722500117             7          5
4-8618516404501            0          0
4-8618405110000            1          1
4-4790000950              8         8
4-8613436540000            5          5
4-491760003014            10         10
4-97477920100             26         21
4-46707000303              0          0
4-16363848772              1          1
4-336110000099413          1          1
4-34642200027             12         12
4-447802002737            8         8
4-33191393490265          8          6
4-491700600104             1          1
2-33191285010107           2          3
4-1119120120520            1          1
4-491700600303            9         9
4-393358815112            12         13
2-291700600108             2          2
2-12202292238              2          1
4-491760003021             3          3
4-491700600305             6          6
4-4792001159               4          5
4-33191483010086           3          3
4-905329346000            24         24
4-352091000110             4          4
4-8617875170000            1          1
4-19039326956              1          0
4-298249070                1          1
4-861556508408             0          0
4-400733087400             0          0
4-48881109082              1          2
2-227953700220             2          2
