<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250923 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-8617141450000            1          1
4-48601000297              2          2
4-33191226760011         191        161
4-213661009500           895        723
4-34642200026              6          5
4-14174000022            562        487
4-212661000772           109         89
4-200059968072             0          0
4-33695000399            286        187
4-4366401100              40         28
4-212699790097            51         41
4-33191224620624         587        460
4-447953795221            30         28
4-46705002207              2          2
4-33191316540124        2891       1629
4-33191224620625         671        534
4-14054719141              1          1
4-393205800010           158        116
4-33191237670035          79         59
4-33191237690039         528        392
4-331912237600175        133        101
4-33191491720335          10         10
4-212663990030           183        115
4-3319120120510            5          5
4-33191316540258          37         29
4-19703769822             23         17
4-447953700225             7          7
4-32495000620            103         94
4-34622993899            105         83
4-491700600312             4          4
4-331912237600173        138        108
4-33191443850019         108         84
4-46707990051             95         25
4-33660005100            420        281
4-33689002869            115        101
4-905329326000            38         32
4-33689002869             69         62
4-34609190447             42         32
4-491700500311             5          5
4-33689002877             45         42
4-331912237600174        128        100
4-491700600116             7          7
4-447953700201            17         15
4-32495000630             83         71
4-48881100010             40         16
4-33191225070198         446        356
4-33191407220043          20         17
4-33191346070618           1          1
4-33689002868            130        110
4-919894000048            10          6
4-33688902876             89         75
4-27279499110              2          2
4-331912348030038        147        112
4-33191491620106           6          6
4-393358999737           101         67
4-33689008255            192        157
4-33689002863            100         82
4-04054729356              0          0
4-46708000984            454        399
4-417949983007008          4          4
4-8614755400000            1          1
4-33689002862             95         83
4-32495005650             40         17
4-33191393490277          13         11
4-491760003010            10          9
4-352621100057            58         34
4-883130000011000        630        231
4-19703769825             45         33
4-19703769823             21         13
4-33589002901             35         33
4-2219120120524            2          2
4-33191224660015          46         37
4-33191346560155          11          8
4-33191391720345          13         11
4-491660003022            16         16
4-491700600126           369        266
4-19703769838             10          4
4-919819001358             1          1
4-491700500115             5          5
4-33191491720158           5          5
4-904490000227             4          4
4-38267000069              0          0
4-41765900130            195        176
4-33689002902            126        101
4-13603399695             56         15
4-19703769834             11          4
4-19703769810            118         29
4-8605905320000            0          0
4-33689002861            117        105
4-33181481720132           8          8
4-33689002904             96         75
4-32495000610            113        103
4-79219600076             12          9
4-244722400120             4          4
4-79067494030              0          0
4-491700600107             7          7
4-33689002903             48         47
4-447488200127            29         27
4-201049968078             4          1
4-33689008891             9          8
4-393519999399           433        363
4-4440390932               4          4
4-33191216540091          12         12
4-481760003005             8          7
4-221666600939             6          6
4-32495000640             98         89
4-915352784242             5          4
4-22222997007             67         47
4-882285000008000        261         32
4-96596909414             20         18
4-860320008020             0          0
4-491600600148             6          4
4-447802002260            41         21
4-33689008881             15         13
4-19703769829             72         50
4-32475002533            158        134
3-35988000201              3          3
4-21650000097         835121     789528
4-447953700203            18         17
4-33689002905            137        112
4-24166228882             28         26
4-393358840738034         62         52
4-491700600122             7          5
4-32486000006            180        163
4-33689002878             58         51
4-79112009902              2          2
4-966505000000           102         93
4-491700600301            14         10
4-447953700209            10          9
4-481760003020             8          8
4-436990071205            12         12
3-201059968069             3          2
4-6281107108              25         14
4-33609009909             30         20
4-447953700215            15         14
4-79067494005              0          0
4-33191250770012           7          7
4-46606000265              6          6
4-3319120120470            4          4
4-905590000139             1          1
4-8603240940000            0          0
4-331911514420022         26         24
4-491700600121             2          2
3-337953700230             3          3
4-33191316540113           1          1
4-61411999020              2          2
4-905590000223             0          0
4-17057969230             85         67
4-393358840759819         27         22
4-33191221770046          50         38
4-21650000004             24         18
4-33689003033            848        707
4-33181485010106           8          6
4-33609009915             30         23
4-23599999952             31         26
4-13603399697             20          6
4-19703769807             22         14
4-04054729364              0          0
4-324750004055593         59         46
4-24609091004              2          2
4-8605084040000            0          0
4-33609009914             34         28
4-33191475010103           7          5
4-821196580000            21         20
4-447488200124            20         19
4-393533000028            14         14
4-447802002730             8          8
4-447802002731            13         13
4-34642200029             10          9
4-221914219050052          2          2
4-447802002267            65         43
4-33191130150019           1          1
4-417949983007012        142        123
4-491700600309             1          1
4-639170000359            14          4
4-883170000000002          5          5
4-3319110110511            1          1
4-324860006004001         89         77
4-201049968208             4          4
4-33191485010110           5          4
4-966593888389           148        104
4-324650004001309          6          6
4-33191393490273          13         12
4-919934129300            9          9
4-491760003024             7          7
4-33609009906             26         20
4-33191491720129          9          8
4-201059968206             2          2
4-8613466470000            1          1
4-447953700151             1          1
4-201059958058             5          5
4-33181805420145           8          6
4-4237902525               5          4
4-19703769828             85         58
4-491700500120             5          4
4-200059968082             0          0
4-46705002205              2          2
4-861324488802             4          4
4-851851540440             5          0
4-33191393490341          28         25
4-22366700065             93         80
4-33191952770198           5          5
4-447953700195            19         17
4-491700600315             7          7
4-33191905410355           1          1
4-19703769806             27         19
4-31624000284              8          8
4-34609092030             22         17
4-905590000229             0          0
3-13037259012              3          3
4-2348050001018           14         13
4-33191393490257          20         16
4-33191491720170          10         10
3-38269099120              3          3
4-32495000300              0          0
3-391700600308             3          3
4-435750182220             5          4
4-33191351930065          48         38
4-33191351910061          17         17
4-33609009902             38         29
4-447953700207            12         12
4-331911514420005          5          4
