<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 20250923 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-33191346460144           4          4
4-447953700216            10         10
4-36309489900             13         13
4-31653099532             88         57
4-447952700219             2          2
4-629180009011             2          1
4-919935050110             5          3
4-48881109032            127        109
4-3319110110517            1          1
4-48601000070              2          2
4-33689008472             68         61
4-393533000029            11         11
4-33191491620336           6          6
4-3319110110515            1          1
4-4792001161              13         13
4-22191221880011           2          2
4-491750003007             5          5
4-33191353870031          9          7
4-491760003017             7          5
4-3319110110447            1          1
4-33191236720149          43         34
4-491700600300            10         10
3-8615002310000            3          3
4-33609009901             36         29
4-539180008988             5          1
4-48881109142             18         17
4-79942611192             20         19
4-8090542004852            0          0
3-35796967003              3          3
3-33191333850196           3          3
4-33191221770048          48         36
3-12085978680              3          3
4-447802002747            11         11
4-8613505310000            1          1
4-33191491720142           4          4
4-860565060000             0          0
4-33689002872             28         20
4-447953700213            13         11
4-33191227900042          47         43
4-48880009072              0          0
4-989110014                2          2
4-33191221770047          56         41
4-447782000222             2          1
4-48881108002              8          6
4-33191393490258          19         19
4-101059968071             1          1
4-491700600157             2          2
4-550022102003             7          6
4-491700600124             2          2
4-40744009900             20         14
4-488819992             9          8
4-905590000226             2          2
3-391700600127             3          3
4-85290084006              0          0
4-882470000001001         17         14
4-33191491720343           7          7
4-48881109012           1652       1449
4-78112008801              8          7
4-447953700233             5          5
4-33191393490260          15         13
4-447802002330            25         15
4-33191491720167           7          7
4-491760003009            9          9
4-8513334113000            5          3
4-491600600145             6          6
4-353857000880             8          6
4-491700500135             5          5
4-447802002262             2          2
4-447952700252             2          2
4-33191393490332          29         27
4-37256100073              7          6
4-447488200125            28         28
4-201049968207             4          4
4-436760172100            40         17
4-41794992105            177          0
3-337782000228             3          3
4-33609009917             29         22
4-491760003033            44         36
3-337782000116             3          2
3-38161067                 3          3
4-550027102006             2          0
4-201049968202             4          4
3-905590000201             3          3
4-33191346560173          13         10
4-491600600113             6          6
4-96139960265             16         14
4-35699418500             27         17
4-447953700208            13         11
4-352021100056            29         25
4-40770000027             9         9
3-38602003032              3          3
4-33191491720144           4          4
4-19703769833             54         21
4-919792123747             7          7
4-447782000246             2          2
4-33689002871             21         16
4-33609009910             39         31
4-40770000029             10         10
4-966575486140            28         25
4-393358815162            10          8
4-33191393490271           5          4
4-33191222400020         270        209
4-919816001268             6          3
4-254722500122             7          7
4-447801001163             1          1
3-33695000380              3          3
4-66922012502              2          2
4-20971460011              2          2
4-4540699830              10          9
4-33609009913             26         19
4-249912090007            13          9
4-33191393490266          15         14
4-212602790326            84         65
4-4227902650               2          0
4-491700500117             5          5
4-905590000133             1          1
4-33191243840013          41         37
4-33191356940085         204         84
4-201059958075             5          5
4-491700600306            15         11
4-33191393490323          15         14
4-19703769842             76         47
4-905590000134             1          1
4-33191491720342           5          5
4-447802002746             8          7
4-447953700141             1          1
4-19703769808             34         21
4-447953700216            16         14
4-28268000904              2          2
4-8614796380000            1          1
4-33191417880087          26         21
4-33181481720167           8          8
4-447488200126            30         27
4-331911514420010          6          6
3-352061000230             3          2
3-355680200025             3          3
3-33191385010103           3          3
4-13603399653             9          2
4-33191485010395           5          4
4-420949900074             0          0
4-33191393490276          13         12
4-254722500117             8          5
4-8618516404511            1          0
4-8608405000000            0          0
4-4790000950              9         9
4-8613436640000            6          5
4-491760003014            11         10
4-97477920100             27         21
4-46707000303              1          1
4-06363848772              0          0
4-336000000099403          0          0
4-34642200027             13         12
4-447802002737            9         9
4-33191393490265          9          6
4-491700600104             2          2
3-33191385010107           3          3
4-2219120120520            2          2
4-491700600303            10         10
4-393358815112            13         13
3-391700600108             3          3
3-12303392338              3          1
4-491760003021             4          3
4-491700600305             7          7
4-4792001159               5          5
4-33191484010086           4          3
4-905329346000            25         24
4-352091000110             5          5
4-8607875070000            0          0
4-09039326956              0          0
4-298249070                0          0
4-861556508418             1          1
4-410733087401             1          1
4-48881109082              2          2
3-337953700220             3          3
4-324750007320405          5          5
4-491760007022             2          1
4-629180009009             2          1
4-35666694012              6          6
4-3319120120439            4          3
3-3319120120333            3          3
4-481700600110             8          8
4-33191393490331          40         35
4-33191393490218          14         12
4-881185000001104          1          0
4-94785000060              2          2
4-3309020020470            0          0
4-62816081125              6          2
4-16473840081             57         45
4-46731260001              7          7
4-905590000270             0          0
4-919821029100             2          2
4-254622500118             6          4
4-628197162              9          7
4-40770000025             10          9
4-639080008990             0          0
4-353830000250            22         22
4-33609009911             33         23
4-491760003011            11         11
3-391700600136             3          3
4-79262004640             14         14
4-639170009004             7          3
4-959790000058             2          2
3-391700600150             3          3
4-917021075029             2          2
3-391700600106             3          3
4-629180009006             2          0
4-4792001162              12         12
4-447953700231             5          5
4-639180009007             1          1
4-860476740000             0          0
4-33191393490251          11         10
4-37156100100              1          0
4-447781000115             1          0
4-8603747430000            0          0
4-491660003011             6          6
4-33191393490281          13         12
3-16363838769              3          3
4-447953700202            12         12
4-2219120120411            2          2
4-22191905420195           2          1
4-4792001150               5          5
4-481760003002             8          8
4-33191393490249          13         13
4-33090905420283           0          0
4-324749004055602         49         41
4-882285000000000          0          0
4-8604773950000            0          0
4-33181346560153           8          8
4-31524000285              5          5
4-22191246070740           2          2
4-33191485010082           6          5
4-48600000065              0          0
4-861958457000             2          2
4-33191346560152          11          9
4-87336018810              8          7
4-34642200028              8          7
4-639180009019             4          0
4-446953600254             6          6
4-491760003013             4          4
3-36707000300              3          3
4-33191246560129          12         11
4-33191491720341           4          4
4-46707000400             9         9
3-38881109132              3          3
4-909434399240             0          0
4-37069899882              0          0
3-391700600317             3          2
4-33609009905             26         22
4-410733087404             1          1
4-19703669832             36         18
4-33191491620099           6          6
3-3319120120337            3          3
4-33191233240056          15         12
4-358508770020             0          0
4-32191346070467          32         26
4-79167494207              2          2
4-491760003008            9         9
3-8613735908000            3          2
4-33609009908             33         22
4-353830000040             0          0
4-330904209050004          0          0
4-33609009904             33         29
4-3859811009               1          1
4-491700600304            13         12
4-79167494179              1          1
4-316530860010            10          9
4-8613641130000            6          6
4-8604770870000            0          0
3-391700600102             3          3
4-8604705240000            0          0
4-491600600129             6          5
4-04054729090              0          0
4-550119101004             1          0
4-33689008525             26         25
3-30766000110              3          3
4-491750003005             5          5
4-33689008886             22         20
4-491700600159             7          5
4-33191346070448           4          1
4-919890064404             4          2
4-33191346560136          13         12
4-491760003032            54         47
4-8615083410000            1          1
4-201059958074             5          5
4-33191346560181          10          7
3-3319120120336            3          3
4-420903002027             0          0
4-221911514420006          2          2
3-36705003208              3          3
3-33689008126              3          3
4-447952700248             2          2
4-200059968086             0          0
4-491760003019             7          7
4-860304765000             0          0
4-201059968081             6          6
4-242055005047             2          2
4-491700600121             2          2
3-391700600132             3          1
4-7613344171000            7          5
4-491600600103             6          5
4-8604778640000            0          0
4-3319110110505            1          1
3-3319120120506            3          3
4-447952700227             2          2
4-9603488800               0          0
3-337802002738             3          3
4-33191491620338           6          6
4-04054729228              0          0
4-33191393490264          16         14
4-7920960097220            0          0
4-341960994063             4          4
4-491700600155            9          7
4-41794992015            109         96
4-491700600112             7          6
4-446953600223             6          6
4-201059968089             2          1
4-46705003103              1          1
4-447943700244             4          4
4-04047259008              0          0
4-6921960096490            6          6
4-92300000596              0          0
4-447953700211            14         10
4-33191243810045           5          4
3-337782000117             3          3
4-491700500114             5          5
4-393358840745650          1          1
4-22670900007             44         39
4-435990041202            35         25
4-331914206080026         10         10
4-79126212222              2          2
4-629180009008             2          1
4-324740007321214          4          4
4-79067494078              0          0
4-861476742000             2          2
4-481700600156             8          7
4-8190541114853            1          1
4-33191346560162           6          4
4-79067494223              0          0
4-909847097353             0          0
4-19703769809            116         31
4-33191345550150           5          5
4-79167494106              1          1
4-4367603034000            1          1
4-860562647000             0          0
4-8090542004872            0          0
4-33191491720169          9          7
4-491700600144             4          4
4-491760003016             7          7
4-33090687770008           0          0
4-447488200527             2          2
4-447781000131             1          1
4-33191485010414           5          5
4-46708000000             14         14
4-13603399694             67         20
4-447853700230             8          8
4-33609009907             28         24
4-8607844940000            0          0
4-79167494119              1          1
4-639170000358            9          4
4-31624000276              7          7
4-33181346070455           8          2
3-253722500116             3          3
4-491760003017            10         10
4-8613334262000           9          8
4-447953700226             7          7
4-79126212121              2          2
4-491760003015            11         10
4-866510248400             8          8
4-919897050310             1          1
4-79167494208              2          2
4-33090355690005           0          0
4-971550930009            75         65
4-393205800014            15         10
4-393533000027            11         11
4-48881109062            308        257
3-393358911006             3          3
4-491700600101             1          1
4-61816081114              1          1
4-37029899920              0          0
4-4267602022000            2          2
4-79184790014              4          3
4-258402001004             2          2
4-8608450500000            0          0
4-491700600316             4          4
4-639180008986             1          1
4-331911190114011          1          1
4-331911514420007         27         21
4-447952700244             2          2
3-905590000272             3          3
4-883030000008205          0          0
4-33609009916             33         29
4-144950170010             1          1
4-3319127820095            5          5
4-04047259037              0          0
4-97339600762              7          7
4-46707000233            101         90
4-79067494075              0          0
4-324750007315415          7          7
4-33191315540275           5          3
4-447782000260             0          0
4-491700500111             5          5
4-491700600134             4          4
4-22191905420257           2          2
4-447953700204            20         18
4-33191346070451          10          7
3-861562611000             3          3
3-391700600128             3          2
4-79639740054              0          0
4-447801001736             1          1
4-9595930071               1          1
4-882285000001110          2          0
4-860320008000             0          0
4-33191491720143          9         9
4-79067494008              0          0
4-66922010450              2          1
4-79167494224              2          2
4-79067494073              0          0
4-33181481720148           8          7
4-447943700222             4          4
4-79167494188              1          1
3-79112009905              3          3
4-33090905420285           0          0
4-31624000281              4          4
4-09037029905              0          0
4-8614741040000            2          2
4-33660005000              0          0
4-46707000276              8          6
4-11650000057              1          1
4-8603564840000            0          0
4-994550000205             2          1
3-79167393201              3          3
4-33181481720174           8          8
4-491700500150             5          5
4-994550000116             1          0
4-491700600207             2          2
4-33191111910001           1          1
4-04054729334              0          0
3-3319120120332            3          3
4-818848005532             8          5
4-539170000337             5          2
4-8608360240000            0          0
4-9477000338               0          0
4-351960995061             1          1
4-3724098027               4          4
4-33191491720171           7          6
4-3448900088               4          4
3-919830011921             3          3
4-436990071206            9         9
4-33191490340047           4          4
3-391700600151             3          3
3-201059968073             3          3
4-905590000230             0          0
4-447953700131             1          1
4-33191905410193           1          1
4-48602003040             10         10
4-447953700212            12         12
4-8603452400000            0          0
4-48601000068              2          2
4-21650000050              2          2
4-254722500119             7          7
4-351960995064             6          5
4-33689008888             15         12
4-56982999055              2          1
4-821080010585             8          7
4-491700500138             5          5
4-8605004930000            0          0
4-436760181113             1          0
4-639180009001             1          0
4-639170000369            12          4
4-919893581560             1          1
4-809066509778             0          0
4-8603436470000            0          0
4-02085978686              0          0
4-79014951192              2          2
4-33090306540267           0          0
4-33090229970007           0          0
4-201059968205             2          2
4-48881109022             27         22
3-33191391720130           3          3
4-8613441761               1          1
4-38641003602              4          3
4-331919687700003          4          4
4-447782000248             0          0
4-639080008992             0          0
4-66923006504              0          0
4-8613771450000            1          1
4-16125000212              2          2
4-77050000030              0          0
4-33191475010107           7          1
4-48601000067              1          0
4-09039326968              0          0
4-639080009005             0          0
4-12085978677              2          2
4-861476741000             1          1
4-3715509930               1          1
4-221912726910002          2          2
4-4237902670              74          1
4-79184790003              4          4
4-33689008061              1          1
4-331912290195042          7          6
4-3319120120413            4          4
4-33191491720141           7          7
4-13603399696             18          1
4-383533000026             8          6
3-337953700229             3          3
3-36705003203              3          3
4-447559499030           283        257
4-77050000026              2          2
4-33090306540366           0          0
4-21650000098         829174     783715
4-33191491620124           6          6
4-212661000746            34         29
4-860854900000             0          0
4-14054719111              1          1
4-8609806540000            0          0
4-48601000071              2          2
4-33191306940031          13         10
3-3319120120509            3          3
4-22191245950020           2          2
4-04054729342              0          0
4-33090905420092           0          0
4-33689008256            194        158
4-447953700210            13         11
3-12303392331              3          3
4-905590000225             2          2
4-860960340474             0          0
4-348447981200             4          4
3-6281107163               3          2
4-8190542119851            6          6
4-907006075020             0          0
4-31624000282              8          8
4-919895000041             5          4
4-491760003004             7          6
4-491700600133            10          9
4-14054729252              2          2
3-391700600118             3          3
4-447953700139             1          1
4-447781000141             1          1
4-79016481192             17         16
4-905590000118             1          1
4-254622500121             6          6
4-02404492443              0          0
4-32475002529              0          0
4-3319120120434            6          6
4-22899999665              6          5
4-33689002900             26         20
4-860958464000             0          0
4-447953700111             1          1
4-79111900141              1          1
3-391700600133             3          2
4-8603460450000            0          0
4-97455589703              0          0
4-882285000001112          2          0
4-48601000061              1          1
4-79067494228              0          0
4-861300013103             1          0
4-201059968082             2          1
4-447782000112             2          2
3-391700600109             3          3
4-04047259009              0          0
4-30653099570              0          0
4-426760182221             2          2
4-331911290197028         11         11
4-447953700206            14         14
4-66922012522              2          1
4-447801001161             1          1
4-358508771123             5          5
4-33090905420094           0          0
4-916289015348             6          5
4-79067494202              0          0
4-919021019361             7          6
4-19029226986              2          2
4-919845285058             5          5
4-84900000                 0          0
4-8612426240000            2          2
3-3319120120330            3          3
4-8090542006874            0          0
4-905590000101             1          1
4-79167494117              1          1
4-33609009912             37         31
4-447782000002             0          0
4-62806080402              0          0
4-1348010004555            1          1
4-33609009903             25         15
4-491760003003             7          7
4-19703769843             50         28
4-8613467410000            1          1
4-22191491720125           2          2
4-38977000170              1          1
3-993700010120             3          1
4-393358840763002          0          0
4-331911616910007          1          1
4-37490000965              0          0
4-447952700258             2          2
4-4528033306               0          0
4-79012275192              5          5
4-46707000274              0          0
4-447952700227             2          2
3-391700600137             3          3
4-48601000064              1          1
4-629180009010             2          1
4-639180009001             1          1
3-358302001001             3          2
4-8618516404514            1          1
4-861851340000             1          1
4-639180008994             1          1
4-33191485010109           6          6
4-3309060060029            0          0
3-861395810000             3          3
4-261240010207             2          0
4-919810051031            11         10
4-79067494007              0          0
4-3318136700040            8          8
3-38602003031              3          2
4-905590000136             1          1
4-19039326900              7          4
4-11404491436              1          1
4-46704003206              4          4
4-8604735630000            0          0
3-882285000001100          3          0
4-79167494111              1          1
3-218919121253             3          3
4-33181383480278           8          8
4-491750003001             5          5
4-101059968077             1          1
4-66913011551              1          1
3-79167393220              3          3
4-8615100740000            1          0
4-860565485000             0          0
4-30971460009              1          1
4-384910930                4          4
4-79639740050              0          0
4-2348020004557            0          0
4-917011075019             1          1
4-79167494186              1          1
4-447782000220             0          0
4-79067494084              0          0
4-447781000144             1          0
4-4528033302               0          0
3-639180008987             3          2
4-8615817670000            1          1
4-919815053740             5          5
4-33181485010102           8          6
4-447797707075             1          0
4-79067494226              0          0
4-30971460010              1          1
4-64177435103              1          1
4-33090443850094           0          0
4-989000006                0          0
4-3715098016               1          1
4-919898092806             4          3
4-79639740052              0          0
4-860856834003             0          0
4-629180008990             2          2
4-201049968070             4          4
4-860564640000             0          0
4-269400095              9          7
4-410733087401             1          0
4-33191443850195           1          1
4-8618516404511            1          0
4-79270009045              7          7
4-11085978679              1          1
4-237694000000             0          0
3-79289900080              3          3
4-33191246560172          12         10
4-861854918000             1          1
4-79167494105              1          1
4-33191491720344          9          9
4-14054719311              1          0
4-8090542006880            0          0
4-3319110110508            1          1
4-66923004503              0          0
3-3319120120335            3          3
4-93790000002              0          0
4-882285000000002          0          0
4-491700600142             2          2
4-04054729344              0          0
4-639180009003             1          0
4-447953700256             0          0
4-04044559063              0          0
4-860565484905             0          0
4-04054729209              0          0
4-3859802000               0          0
4-33191962770199           4          4
4-8613759610000            1          1
4-46707000410              2          1
4-33191316540398           1          1
4-8608420080000            0          0
4-447782000226             0          0
4-66922012502              2          2
4-8090542004880            0          0
4-30971460017              1          1
4-3319160160030            4          4
4-66913016514              1          1
4-3319110110441            1          1
4-244920002008             0          0
4-447953700159             1          1
4-8613870840000            4          4
4-629180009020             2          1
3-391700600158             3          3
4-8608470670000            0          0
4-40770000028              5          5
4-22890600000              0          0
4-490700600300             0          0
4-881185000001109          1          0
4-79067494203              0          0
4-331911514410008          1          1
4-4367603031000            1          1
4-8609882390000            0          0
4-491660003023             6          6
4-809066509770             0          0
4-3319120120445            5          5
3-31623000287              3          3
4-491700600214             2          2
4-861300013101             1          1
4-358447981103             1          1
4-411903001015             1          1
4-13603399657              1          1
4-447782000243             0          0
4-61415011015              1          0
4-491700600141             7          7
4-13603399656              6          5
4-30971460018              4          4
4-436760082230             0          0
4-201059958084             5          5
4-33090306540040           0          0
4-447781000111             1          1
3-33191316530327           3          3
4-97222810271              2          2
4-420733087400             0          0
4-447781000145             1          0
4-8604756540000            0          0
4-8190541119851            1          1
4-46635486100              6          5
4-426760182225             2          1
3-36705003201              3          3
4-48600000066              0          0
4-905590000114             1          1
4-639180009018             1          0
4-33191316540164           1          1
4-629180009015             2          1
4-905590000111             1          1
4-639180008985             1          0
4-860854896000             0          0
4-2219120120511            2          2
4-860325477800             0          0
4-639180009013             1          1
4-447952700218             2          2
4-860325477829             0          0
4-491700600149             1          1
4-860958454000             0          0
4-905590000237             0          0
4-447781000114             1          1
4-79002320092              0          0
3-201059968201             3          3
4-446802002632             6          6
4-3859802000               0          0
4-491700600115             1          1
4-31624000283              4          4
4-79519480191              1          0
3-37068399230              3          3
4-447802002748             4          4
4-201059968204             2          2
4-5690600207               0          0
4-436990071196             1          1
3-3319120120338            3          3
4-06363848770              0          0
4-860866200057             0          0
4-909823000077             0          0
4-252061000240             2          2
4-118919999930             1          1
4-8604796900000            0          0
4-33090306540334           0          0
3-391700600123             3          3
4-8608506404527            0          0
4-27802022225              0          0
4-04047259009              0          0
4-33191485010437           1          1
4-358508771111             1          1
4-46723900000              0          0
4-11404491441              1          1
4-8603460340000            0          0
4-351061000110             1          1
4-491700600212             2          2
4-550023002005             0          0
4-8613511740000            1          1
4-3319110110511            1          1
4-881185000001101          1          1
4-971550930006             1          1
4-8607842050000            0          0
4-491700600152             2          2
4-882285000000006          0          0
4-447801001164             1          1
4-09039326946              0          0
4-8604735730000            0          0
4-9779800000054            0          0
4-04054729322              0          0
4-11404491440              1          1
4-27129201245              2          2
4-860326404000             0          0
4-447953700213             7          5
4-4528032000               0          0
4-3309027820090            0          0
4-447781000113             1          1
3-337953700228             3          2
4-2203005292               0          0
4-909823000690             0          0
4-639080009006             0          0
4-491700600130             1          1
4-8613479640000            1          1
4-4518133318               1          1
4-8608482650000            0          0
4-8603802340000            0          0
3-337782000227             3          2
4-447781000114             1          1
4-447797707076             1          0
4-8603748602               0          0
4-8604796670000            0          0
4-4530307400               0          0
4-447953700224             0          0
4-905590000141             1          1
4-550000002069             0          0
4-8608402400000            0          0
4-426760182224             2          1
4-306530870000             0          0
4-447952700226             2          2
4-447952700257             2          2
4-79101299982              2          2
4-883030000008320          0          0
4-201059968079             2          2
4-330902547700002          0          0
4-251922200026             2          1
4-860300020003             0          0
3-639180009000             3          0
4-33090374950020           0          0
4-66922011521              2          2
4-393358840745800          0          0
4-447953700151             1          1
4-8608506404523            0          0
4-4528033307               0          0
4-200059968075             0          0
4-447953700246             0          0
4-68987009999              0          0
4-33191491710131           1          1
4-447953700135             1          1
4-861476743000             4          2
4-8615654920               2          2
4-351960995065             1          1
4-491700600124             2          2
4-8090542002850            0          0
4-8604778400000            0          0
4-79202906865              2          2
4-447781000115             1          1
4-96558859631              1          1
4-861275810000             2          2
4-4267602025000            2          2
4-447953700141             1          1
4-04047259008              0          0
4-909954000000             0          0
4-905590000241             2          2
4-491700600137             1          0
4-447943700247             4          4
3-391700600132             3          3
4-352060000250             0          0
4-96394107400              1          1
4-861314704000             1          1
4-447781001015             1          1
4-33090306540297           0          0
4-2348020004600            0          0
4-25377890008              0          0
4-860320005302             0          0
4-33689008252              0          0
4-61816081117              1          1
4-8608506404520            0          0
4-33090905420046           0          0
4-447953700245             0          0
4-447782000240             0          0
4-8605765840000            0          0
4-101059968087             1          1
4-491700600119             2          2
4-201059968202             2          2
4-46705003202              0          0
3-336760182222             3          2
4-491700600152             2          2
3-33191391720339           3          3
4-48881109191              1          1
4-240556000400             0          0
4-30970460002              0          0
4-33090255750069           0          0
4-09039326990              0          0
4-883030000008322          0          0
4-38640006170              4          4
4-09039326993              0          0
4-8603745906000            0          0
4-79000399982              0          0
4-860564450908             0          0
4-48881109151              1          1
4-04054729304              0          0
4-590690880200             0          0
4-03603399764              0          0
4-8605002040000            0          0
4-37069950000              1          1
4-447782000220             2          2
4-8608455040000            0          0
4-447953700138             1          1
4-447782000118             4          4
4-04054729209              0          0
4-79067494042              0          0
4-860854904000             0          0
4-3309027820000            0          0
4-09039326966              0          0
4-8604784620000            0          0
4-447953700234             0          0
4-639080008993             0          0
4-8608400240000            0          0
4-96475109001135           1          1
4-37069899880              0          0
4-3715509961               1          0
4-79067494032              0          0
4-38063000300              0          0
4-491700600140             1          1
4-79188399991              1          1
4-79067494072              0          0
4-66942500006              0          0
4-8608488400000            0          0
4-48601000063              1          1
4-393358999734             0          0
4-66923005506              0          0
4-09039326984              0          0
4-490700600039             0          0
4-447782000222             2          2
4-22451000026              2          2
4-02085978676              0          0
4-33090905420088           0          0
4-860320008000             0          0
4-33689008700              0          0
4-8190541113861            1          1
4-882285000000008          0          0
4-09039326974              0          0
4-09039326982              0          0
4-04054729207              0          0
4-66923006503              0          0
4-861854916000             1          1
4-8605030400000            0          0
4-330902626920002          0          0
4-8608472840000            0          0
4-447953700243             0          0
4-550101101093             1          1
4-54079000020              0          0
4-639080009002             0          0
4-909026786493             0          0
4-491700600105             1          1
4-447952700249             2          2
4-359898000006             0          0
4-04054729325              0          0
4-860850640474             0          0
4-436990071195             1          1
4-447782000119             2          2
4-436760082228             0          0
4-387630000070             0          0
4-550009202007             0          0
4-38268000903              0          0
4-04054729200              0          0
4-905590000238             0          0
4-436760082230             0          0
4-04054729346              0          0
4-861300085100             1          1
4-882285000000006          0          0
4-250900299999             0          0
4-04054729205              0          0
4-436760181131             1          1
4-8608883400000            0          0
4-79047990088              0          0
4-8603782970000            0          0
4-250970200250             0          0
4-33191905410188           1          1
4-33090905420057           0          0
4-33191905410184           1          1
4-79004599990              0          0
4-13603399047              1          1
4-8090542003864            0          0
4-33191131760008           1          0
4-33090353870058           0          0
4-447782000232             0          0
4-8603800400003            0          0
4-8609895530000            0          0
4-4518133311               1          1
4-8608804030000            0          0
4-907000075028             0          0
4-639080009004             0          0
4-324750004060404          0          0
4-8604709420000            0          0
4-881185000001103          1          0
4-970550930007             0          0
4-33191905410189           1          1
4-8613514540000            1          1
4-809066509762             0          0
4-8605905380000            0          0
4-67580000020              0          0
4-436760082229             0          0
4-917020075020             2          2
4-639080009007             0          0
