English Name,French Name,Dial Code,ISO Alpha-2,ISO Alpha-3
Guatemala,Guatemala,502,−06:00,
Guernsey,Guernsey,"44 (1481, 7781, 7839, 7911)",+00:00,+01:00
Guinea,Guinea,224,+00:00,
Guinea-Bissau,Guinea-Bissau,245,+00:00,
Guyana,Guyana,592,−04:00,
Haiti,Haiti,509,−05:00,−04:00
Honduras,Honduras,504,−06:00,
Hong Kong,Hong Kong,852,+08:00,
Hungary,Hungary,36,+01:00,+02:00
Iceland,Iceland,354,+00:00,
ICO Global (Mobile Satellite Service),ICO Global (Mobile Satellite Service),"881 (0, 1)",,
India,India,91,+05:30,
Indonesia,Indonesia,62,+07:00to09:00,
Inmarsat SNAC,Inmarsat SNAC,870,,
International Freephone Service (UIFN),International Freephone Service (UIFN),800,,
International Networks,International Networks,"882, 883",,
International Premium Rate Service,International Premium Rate Service,979,,
International Shared Cost Service (ISCS),International Shared Cost Service (ISCS),808,,
Iran,Iran,98,+03:30,+04:30
Iraq,Iraq,964,+03:00,
Ireland,Ireland,353,+00:00,+01:00
Iridium (Mobile Satellite service),Iridium (Mobile Satellite service),"881 (6, 7)",,
Isle of Man,Isle of Man,"44 (1624, 7524, 7624, 7924)",+00:00,+01:00
Israel,Israel,972,+02:00,+03:00
Italy,Italy,39,+01:00,+02:00
Jamaica,Jamaica,"1 (658, 876)",−05:00,
Jan Mayen,Jan Mayen,47 (79),+01:00,+02:00
Japan,Japan,81,+09:00,
Jersey,Jersey,44 (1534),+00:00,+01:00
Jordan,Jordan,962,+02:00,+03:00
Kazakhstan,Kazakhstan,"7 (6, 7) (997 assigned but now abandoned)",+05:00,
Kenya,Kenya,254,+03:00,
Kiribati,Kiribati,686,+12:00to14:00,
"Korea, North","Korea, North",850,+09:00,
"Korea, South","Korea, South",82,+09:00,
Kosovo,Kosovo,383,+01:00,+02:00
Kuwait,Kuwait,965,+03:00,
Kyrgyzstan,Kyrgyzstan,996,+06:00,
Laos,Laos,856,+07:00,
Latvia,Latvia,371,+02:00,+03:00
Lebanon,Lebanon,961,+02:00,+03:00
Lesotho,Lesotho,266,+02:00,
Liberia,Liberia,231,+00:00,
Libya,Libya,218,+02:00,
Liechtenstein,Liechtenstein,423,+01:00,+02:00
Lithuania,Lithuania,370,+02:00,+03:00
Luxembourg,Luxembourg,352,+01:00,+02:00
Macau,Macau,853,+08:00,
Madagascar,Madagascar,261,+03:00,
Malawi,Malawi,265,+02:00,
Malaysia,Malaysia,60,+08:00,
Maldives,Maldives,960,+05:00,
Mali,Mali,223,+00:00,
Malta,Malta,356,+01:00,+02:00
Marshall Islands,Marshall Islands,692,+12:00,
Martinique,Martinique,596,−04:00,
Mauritania,Mauritania,222,+00:00,
Mauritius,Mauritius,230,+04:00,
Mayotte,Mayotte,"262 (269, 639)",+03:00,
Mexico,Mexico,52,−08:00to–05:00,−07:00to–05:00
"Micronesia, Federated States of","Micronesia, Federated States of",691,+10:00to11:00,
Moldova,Moldova,373,+02:00,+03:00
Monaco,Monaco,377,+01:00,+02:00
Mongolia,Mongolia,976,+07:00to08:00,
Montenegro,Montenegro,382,+01:00,+02:00
Montserrat,Montserrat,1 (664),−04:00,
Morocco,Morocco,212,+01:00,
Mozambique,Mozambique,258,+02:00,
Myanmar,Myanmar,95,+06:30,
Namibia,Namibia,264,+02:00,
Nauru,Nauru,674,+12:00,
Nepal,Nepal,977,+05:45,
Netherlands,Netherlands,31,+01:00,+02:00
Nevis,Nevis,1 (869),−04:00,
New Caledonia,New Caledonia,687,+11:00,
New Zealand,New Zealand,64,+12:00,+13:00
Nicaragua,Nicaragua,505,−06:00,
Niger,Niger,227,+01:00,
Nigeria,Nigeria,234,+01:00,
Niue,Niue,683,−11:00,
Norfolk Island,Norfolk Island,672 (3),+11:00,
North Macedonia,North Macedonia,389,+01:00,+02:00
Northern Cyprus,Northern Cyprus,90 (392),+02:00,+03:00
Northern Ireland,Northern Ireland,44 (28),+00:00,+01:00
Northern Mariana Islands,Northern Mariana Islands,1 (670),+10:00,
Norway,Norway,47,+01:00,+02:00
Oman,Oman,968,+04:00,
Pakistan,Pakistan,92,+05:00,
Palau,Palau,680,+09:00,
Palestine,Palestine,970,+02:00,+03:00
Panama,Panama,507,−05:00,
Papua New Guinea,Papua New Guinea,675,+10:00to11:00,
Paraguay,Paraguay,595,−04:00,−03:00
Peru,Peru,51,−05:00,
Philippines,Philippines,63,+08:00,
Pitcairn Islands,Pitcairn Islands,64,−08:00,
Poland,Poland,48,+01:00,+02:00
Portugal,Portugal,351,+00:00,+01:00
Puerto Rico,Puerto Rico,"1 (787, 939)",−04:00,
Qatar,Qatar,974,+03:00,
Réunion,Réunion,262,+04:00,
Romania,Romania,40,+02:00,+03:00
Russia,Russia,7,+02:00to12:00,
Rwanda,Rwanda,250,+02:00,
Saba,Saba,599 (4),−04:00,
Saint Barthélemy,Saint Barthélemy,590,−04:00,
Saint Helena,Saint Helena,290,+00:00,
Saint Kitts and Nevis,Saint Kitts and Nevis,1 (869),−04:00,
Saint Lucia,Saint Lucia,1 (758),−04:00,
Saint Martin (France),Saint Martin (France),590,−04:00,
Saint Pierre and Miquelon,Saint Pierre and Miquelon,508,−03:00,−02:00
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1 (784),−04:00,
Samoa,Samoa,685,+13:00,+14:00
San Marino,San Marino,378,+01:00,+02:00
São Tomé and Príncipe,São Tomé and Príncipe,239,+00:00,
Saudi Arabia,Saudi Arabia,966,+03:00,
Senegal,Senegal,221,+00:00,
Serbia,Serbia,381,+01:00,+02:00
Seychelles,Seychelles,248,+04:00,
Sierra Leone,Sierra Leone,232,+00:00,
Singapore,Singapore,65,+08:00,
Sint Eustatius,Sint Eustatius,599 (3),−04:00,
Sint Maarten (Netherlands),Sint Maarten (Netherlands),1 (721),−04:00,
Slovakia,Slovakia,421,+01:00,+02:00
Slovenia,Slovenia,386,+01:00,+02:00
Solomon Islands,Solomon Islands,677,+11:00,
Somalia,Somalia,252,+03:00,
South Africa,South Africa,27,+02:00,
South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,500,−02:00,
South Ossetia,South Ossetia,"7 (850, 929)",+03:00,
South Sudan,South Sudan,211,+02:00,
Spain,Spain,34,+01:00,+02:00
Sri Lanka,Sri Lanka,94,+05:30,
Sudan,Sudan,249,+02:00,
Suriname,Suriname,597,−03:00,
Svalbard,Svalbard,47 (79),+01:00,+02:00
Sweden,Sweden,46,+01:00,+02:00
Switzerland,Switzerland,41,+01:00,+02:00
Syria,Syria,963,+02:00,+03:00
Taiwan,Taiwan,886,+08:00,
Tajikistan,Tajikistan,992,+05:00,
Tanzania,Tanzania,255,+03:00,
Thailand,Thailand,66,+07:00,
Thuraya (Mobile Satellite service),Thuraya (Mobile Satellite service),882 (16),,
East Timor (Timor-Leste),East Timor (Timor-Leste),670,+09:00,
Togo,Togo,228,+00:00,
Tokelau,Tokelau,690,+13:00,
Tonga,Tonga,676,+13:00,
Transnistria,Transnistria,"373 (2, 5)",+02:00,+03:00
Trinidad and Tobago,Trinidad and Tobago,1 (868),−04:00,
Tristan da Cunha,Tristan da Cunha,290 (8),+00:00,
Tunisia,Tunisia,216,+01:00,
Turkey,Turkey,90,+03:00,
Turkmenistan,Turkmenistan,993,+05:00,
Turks and Caicos Islands,Turks and Caicos Islands,1 (649),−05:00,−04:00
Tuvalu,Tuvalu,688,+12:00,
Uganda,Uganda,256,+03:00,
Ukraine,Ukraine,380,+02:00,+03:00
United Arab Emirates,United Arab Emirates,971,+04:00,
United Kingdom,United Kingdom,44,+00:00,+01:00
United States,United States,1,−10:00to–05:00,−10:00to–04:00
Uruguay,Uruguay,598,−03:00,
US Virgin Islands,US Virgin Islands,1 (340),−04:00,
Uzbekistan,Uzbekistan,998,+05:00,
Vanuatu,Vanuatu,678,+11:00,
Vatican City State (Holy See),Vatican City State (Holy See),"39 (06698),assigned 379",+01:00,+02:00
Venezuela,Venezuela,58,−04:00,
Vietnam,Vietnam,84,+07:00,
"Wake Island, USA","Wake Island, USA",1 (808),+12:00,
Wallis and Futuna,Wallis and Futuna,681,+12:00,
Yemen,Yemen,967,+03:00,
Zambia,Zambia,260,+02:00,
Zanzibar,Zanzibar,255 (24),+03:00,
Zimbabwe,Zimbabwe,263,+02:00,
Almirante Brown Antarctic Base,Almirante Brown Antarctic Base,54,Argentina,
Amundsen–Scott South Pole Station,Amundsen–Scott South Pole Station,1,United States,
Artigas Base,Artigas Base,598,Uruguay,
Asuka Station,Asuka Station,81,Japan,
Base Presidente Eduardo Frei Montalva and Villa Las Estrellas,Base Presidente Eduardo Frei Montalva and Villa Las Estrellas,56,Chile,
Belgrano II,Belgrano II,54,Argentina,
Bellingshausen Station,Bellingshausen Station,7,Russia,
Bernardo O'Higgins Station,Bernardo O'Higgins Station,56,Chile,
Byrd Station,Byrd Station,1,United States,
Captain Arturo Prat Base,Captain Arturo Prat Base,56,Chile,
Casey Station,Casey Station,672,Australia,Can be direct dialed.
Comandante Ferraz Brazilian Antarctic Base,Comandante Ferraz Brazilian Antarctic Base,55,Brazil,
Concordia Station,Concordia Station,39  33,France Italy,
Davis Station,Davis Station,672,Australia,Can be direct dialed.
Dome Fuji Station,Dome Fuji Station,81,Japan,
Dumont d'Urville Station,Dumont d'Urville Station,33,France,
Esperanza Base,Esperanza Base,54,Argentina,
Gabriel de Castilla Spanish Antarctic Station,Gabriel de Castilla Spanish Antarctic Station,34,Spain,
Georg von Neumayer Station (replaced by Neumayer Station III),Georg von Neumayer Station (replaced by Neumayer Station III),49,Germany,
Gonzalez Videla Station,Gonzalez Videla Station,56,Chile,
Great Wall Station,Great Wall Station,86,China,
Halley Research Station,Halley Research Station,44,United Kingdom,
Henryk Arctowski Polish Antarctic Station,Henryk Arctowski Polish Antarctic Station,48,Poland,
Jang Bogo Station,Jang Bogo Station,82,South Korea,
Jinnah Antarctic Station,Jinnah Antarctic Station,92,Pakistan,
Juan Carlos I Base,Juan Carlos I Base,34,Spain,
Jubany,Jubany,54,Argentina,
King Sejong Station,King Sejong Station,82,South Korea,
Kohnen-Station,Kohnen-Station,49,Germany,
Kunlun Station,Kunlun Station,852,China,
Law-Racoviță-Negoiță Station,Law-Racoviță-Negoiță Station,40,Romania,
Leningradskaya Station,Leningradskaya Station,7,Russia,
Machu Picchu Research Station,Machu Picchu Research Station,51,Peru,
Macquarie Island Station,Macquarie Island Station,672,Australia,Can be direct dialed.
Maitri Station,Maitri Station,91,India,
Marambio Base,Marambio Base,54,Argentina,
Mario Zucchelli Station,Mario Zucchelli Station,39,Italy,
Mawson Station,Mawson Station,672,Australia,Can be direct dialed.
McMurdo Station,McMurdo Station,1,United States,Can be reached by 64 code to Scott Base (NZ).
Mendel Polar Station,Mendel Polar Station,420,Czechia,
Mirny Station,Mirny Station,7,Russia,
Mizuho Station,Mizuho Station,81,Japan,
Molodyozhnaya Station,Molodyozhnaya Station,7  375,Belarus Russia,
Neumayer Station III,Neumayer Station III,49,Germany,
Novolazarevskaya Station,Novolazarevskaya Station,7,Russia,
Orcadas Base,Orcadas Base,54,Argentina,
Palmer Station,Palmer Station,1,United States,
Princess Elisabeth Base,Princess Elisabeth Base,32,Belgium,
Professor Julio Escudero Base,Professor Julio Escudero Base,56,Chile,
Progress Station,Progress Station,7,Russia,
Rothera Research Station,Rothera Research Station,44,United Kingdom,
Russkaya Station,Russkaya Station,7,Russia,
San Martín Base,San Martín Base,54,Argentina,
SANAE IV (South African National Antarctic Expeditions),SANAE IV (South African National Antarctic Expeditions),27,South Africa,
Scott Base,Scott Base,64,New Zealand,Can be reached via 64 2409 and four digits on McMurdo exchange.
Showa Station,Showa Station,81,Japan,
Signy Research Station,Signy Research Station,44,United Kingdom,
St. Kliment Ohridski Base,St. Kliment Ohridski Base,359,Bulgaria,
Svea,Svea,46,Sweden,
Tor Station,Tor Station,47,Norway,
Troll Station,Troll Station,47,Norway,
Vernadsky Research Base,Vernadsky Research Base,380,Ukraine,
Vostok Station,Vostok Station,7,Russia,
Wasa Research Station,Wasa Research Station,46,Sweden,
Zhongshan Station,Zhongshan Station,86,China,
Kerguelen Islands,Kerguelen Islands,262,France,No permanent local switches.
Pitcairn Islands,Pitcairn Islands,64,Pitcairn Islands,On-island phone network is connected to and uses numbering from an exchange in New Zealand.
