Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
Taiwan,Taiwan Mobile 台灣大哥大,,,,,X
Taiwan,Far EasTone 遠傳電信,,,,,X
Taiwan,Line Mobile,,,,,X
Taiwan,Ibon Mobile,,,,,X
Tajikistan,Tcell,,,X,X,X
Tajikistan,Babilon-Mobile,,,X,X,X
Tajikistan,ZET Mobile,,,X,X,
Tajikistan,MegaFon,,,X,X,
Thailand,AIS or Advanced Info Service,,,X,X,X
Thailand,my by NT,,,,X,X
Thailand,NT Mobile,,,,X,X
Thailand,IEC3G Buzzme,,,,X,
Thailand,i-Kool 3G,,,,X,
Thailand,MyWorld 3G,,,,X,
Thailand,Penguin,,,,X,
Thailand,OPEN SIM i-mobile,,,,X,
Thailand,imobile-3GX,,,,X,
Thailand,168,,,,X,
Thailand,Mojo 3G,,,,X,
Thailand,Tune Talk,,,,X,
Thailand,Feels,,,,X,X
Thailand,AJ SIM,,,,X,X
Thailand,Redone  ),,,,X,X
Timor-Leste,Telemor,,,X,X,X
Timor-Leste,Timor Telecom,,,X,X,X
Timor-Leste,Telkomcel,,,X,X,X
Tonga,Digicel,,,X,,X
Tonga,TCC,,,X,X,
Tonga,Wantok,,,X,X,
Turkmenistan,TM CELL,,,X,X,X
Turkmenistan,AȘTU,,,,,
Tuvalu,TTC,,,X,,X
Uzbekistan,UCell,,,X,X,X
Uzbekistan,Beeline,,,X,X,X
Uzbekistan,Mobi.UZ,,,X,X,X
Uzbekistan,Uzmobile,,,,,
Uzbekistan,Perfectum,,,,,
Vanuatu,Vodafone Vanuatu,,,X,,
Vanuatu,Digicel,,,X,X,X
Vanuatu,AIL,,,X,,
Vanuatu,WanTok,,,,,X
Vietnam,Viettel,,,,X,X
Vietnam,Vinaphone,,,,X,X
Vietnam,MobiFone,,,,X,X
Vietnam,Vietnamobile,,,,X,
