Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
Australia,Telstra,,,,,X,TELSTRA,AUSTRALIA,505.0,72.0,50572.0,Oceania,Australia,AU,Telstra Corporation Limited,Telstra,,,TELSTRA
Australia,Telstra,,,,,X,TELSTRA,AUSTRALIA,505.0,11.0,50511.0,Oceania,Australia,AU,Telstra Corporation Ltd.,Telstra,,,TELSTRA
Australia,Telstra,,,,,X,TELSTRA,AUSTRALIA,505.0,39.0,50539.0,Oceania,Australia,AU,Telstra Corporation Ltd.,Telstra,,,TELSTRA
Australia,Vodafone AU,,,,,X,VODAFONE AU,AUSTRALIA,,,,,,,,,,,
Austria,A1,,23201,X,X,X,A1,AUSTRIA,,,,,,,,,,,
Austria,Drei,,23205,X,X,X,DREI,AUSTRIA,,,,,,,,,,,
Austria,Magenta Telekom,,23203,X,X,X,MAGENTA TELEKOM,AUSTRIA,,,,,,,,,,,
Azerbaijan,Nakhtel,,40006,X,X,X,NAKHTEL,AZERBAIJAN,,,,,,,,,,,
Azerbaijan,Nar,,40004,X,X,X,NAR,AZERBAIJAN,,,,,,,,,,,
Bahrain,Zain,,,X,X,X,ZAIN,BAHRAIN,,,,,,,,,,,
Bahrain,stc,,,X,X,X,STC,BAHRAIN,426.0,4.0,42604.0,Asia and the Middle East,Bahrain,BH,STC Bahrain,STC,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / 5G 3500,STC
Bangladesh,Citycell,,,,,,CITYCELL,BANGLADESH,470.0,5.0,47005.0,Asia and the Middle East,Bangladesh,BD,Pacific Bangladesh Telecom Limited,Citycell,,CDMA 800,CITYCELL
Bangladesh,Robi,,,X,,X,ROBI,BANGLADESH,470.0,2.0,47002.0,Asia and the Middle East,Bangladesh,BD,Axiata Bangladesh Ltd.,Robi,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 900 / LTE 1800,ROBI
Bangladesh,Teletalk,,,X,X,X,TELETALK,BANGLADESH,470.0,4.0,47004.0,Asia and the Middle East,Bangladesh,BD,Teletalk Bangladesh Limited,TeleTalk,,GSM 900 / UMTS 2100 / LTE 1800,TELETALK
Barbados,Digicel,,,X,X,X,DIGICEL,BARBADOS,342.0,750.0,342750.0,North America and the Caribbean,Barbados,BB,Digicel (Barbados) Limited,Digicel,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 700 / LTE 1900,DIGICEL
Belarus,Life,,25704,X,X,X,LIFE,BELARUS,,,,,,,,,,,
Belgium,Base/Telenet,,20620,X,X,X,BASE/TELENET,BELGIUM,,,,,,,,,,,
Belgium,DIGI,,20612,,,X,DIGI,BELGIUM,,,,,,,,,,,
Belgium,Orange,,20610,X,X,X,ORANGE,BELGIUM,,,,,,,,,,,
Belgium,Proximus,,20601,X,X,X,PROXIMUS,BELGIUM,206.0,0.0,20600.0,Europe,Belgium,BE,Belgacom Mobile,Proximus,,,PROXIMUS
Belize,Digi,,,X,X,X,DIGI,BELIZE,,,,,,,,,,,
Belize,Smart,,,,,X,SMART,BELIZE,702.0,99.0,70299.0,South and Central America,Belize,BZ,Speednet Communications Limited,SMART,,CDMA2000 850,SMART
Benin,BBcom,,,X,,,BBCOM,BENIN,616.0,4.0,61604.0,Africa,Benin,BJ,Bell Benin Communications,BBCOM,,GSM 900 / GSM 1800,BBCOM
Benin,Glo,,,X,,,GLO,BENIN,616.0,5.0,61605.0,Africa,Benin,BJ,Glo Communication Benin,Glo,,GSM 900 / GSM 1800,GLO
Benin,Libercom,,,X,,,LIBERCOM,BENIN,616.0,1.0,61601.0,Africa,Benin,BJ,Benin Telecoms Mobile,Libercom,,GSM 900 / GSM 1800 / LTE 1800 / CDMA / WiMAX,LIBERCOM
Benin,MTN,,,X,X,X,MTN,BENIN,616.0,3.0,61603.0,Africa,Benin,BJ,Spacetel Benin,MTN,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 1800,MTN
Bermuda,Digicel,,,X,X,X,DIGICEL,BERMUDA,,,,,,,,,,,
Bermuda,One,,,X,X,X,ONE,BERMUDA,350.0,0.0,35000.0,North America and the Caribbean,Bermuda,BM,Bermuda Digital Communications Ltd.,One,,GSM 1900 / UMTS 850 / LTE 700,ONE
Bhutan,B-Mobile,,,X,X,X,B-MOBILE,BHUTAN,402.0,11.0,40211.0,Asia and the Middle East,Bhutan,BT,B-Mobile / Bhutan Telecom Ltd.,B-Mobile,,GSM 900 / UMTS 850 / UMTS 2100 / LTE 1800,B-MOBILE
Bhutan,TashiCell,,,X,X,X,TASHICELL,BHUTAN,402.0,77.0,40277.0,Asia and the Middle East,Bhutan,BT,Tashi InfoComm Limited,TashiCell,,GSM 900 / GSM 1800 / UMTS 850 / LTE 700,TASHICELL
Bolivia,Entel,,,X,X,X,ENTEL,BOLIVIA,736.0,2.0,73602.0,South and Central America,Bolivia,BO,Entel SA,Entel,,GSM 850 / GSM 1900 / UMTS 850 / LTE 700,ENTEL
Bonaire,Digicel,,,X,X,X,DIGICEL,BONAIRE,,,,,,,,,,,
Bonaire,FLOW,,,X,X,X,FLOW,BONAIRE,,,,,,,,,,,
Bosnia and Herzegovina,HT ERONET,,21803,X,X,X,HT ERONET,BOSNIA AND HERZEGOVINA,,,,,,,,,,,
Bosnia and Herzegovina,haloo,,21803,X,X,X,HALOO,BOSNIA AND HERZEGOVINA,,,,,,,,,,,
Bosnia and Herzegovina,m:tel,,21805,X,X,X,M:TEL,BOSNIA AND HERZEGOVINA,,,,,,,,,,,
Botswana,Orange,,,X,X,X,ORANGE,BOTSWANA,652.0,2.0,65202.0,Africa,Botswana,BW,Orange (Botswana) Pty Limited,Orange,,GSM 900 / UMTS 2100 / LTE 1800,ORANGE
Botswana,btc,,,X,X,,BTC,BOTSWANA,,,,,,,,,,,
Bougainville,PNG dataco,,,X,X,X,PNG DATACO,BOUGAINVILLE,,,,,,,,,,,
Brazil,Algar Telecom,,,X,X,X,ALGAR TELECOM,BRAZIL,724.0,32.0,72432.0,South and Central America,Brazil,BR,Algar Telecom S.A.,Algar Telecom,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 700 / LTE 1800,ALGAR TELECOM
Brazil,Algar Telecom,,,X,X,X,ALGAR TELECOM,BRAZIL,724.0,33.0,72433.0,South and Central America,Brazil,BR,Algar Telecom S.A.,Algar Telecom,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 700 / LTE 1800,ALGAR TELECOM
Brazil,Claro,,,X,X,X,CLARO,BRAZIL,724.0,38.0,72438.0,South and Central America,Brazil,BR,Claro,Claro,,,CLARO
Brazil,Surf,,,,,X,SURF,BRAZIL,,,,,,,,,,,
British Virgin Islands,CCT,,,X,X,X,CCT,BRITISH VIRGIN ISLANDS,,,,,,,,,,,
British Virgin Islands,Digicel,,,X,X,X,DIGICEL,BRITISH VIRGIN ISLANDS,,,,,,,,,,,
British Virgin Islands,FLOW,,,X,X,X,FLOW,BRITISH VIRGIN ISLANDS,,,,,,,,,,,
Brunei,Datastream Technology Sdn Bhd,,,X,X,X,DATASTREAM TECHNOLOGY SDN BHD,BRUNEI,,,,,,,,,,,
Brunei,Progresif Cellular Sdn Bhd,,,,X,,PROGRESIF CELLULAR SDN BHD,BRUNEI,,,,,,,,,,,
Bulgaria,Vivacom,,28403,X,X,X,VIVACOM,BULGARIA,284.0,3.0,28403.0,Europe,Bulgaria,BG,BTC,Vivacom,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 900 / LTE 1800 / LTE 2100,VIVACOM
Bulgaria,Yettel,,28405,X,X,X,YETTEL,BULGARIA,,,,,,,,,,,
Burkina Faso,Telecel Faso,,,X,,,TELECEL FASO,BURKINA FASO,613.0,3.0,61303.0,Africa,Burkina Faso,BF,Telecel Faso SA,Telecel Faso,,GSM 900,TELECEL FASO
Burkina Faso,Telmob,,,X,X,,TELMOB,BURKINA FASO,613.0,1.0,61301.0,Africa,Burkina Faso,BF,Onatel,Telmob,,GSM 900 / UMTS 2100 / LTE 1800,TELMOB
Burundi,Econet Leo,,,X,X,X,ECONET LEO,BURUNDI,642.0,1.0,64201.0,Africa,Burundi,BI,Econet Wireless Burundi PLC,econet Leo,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,ECONET LEO
Burundi,Econet Leo,,,X,X,X,ECONET LEO,BURUNDI,642.0,82.0,64282.0,Africa,Burundi,BI,Econet Wireless Burundi PLC,econet Leo,,GSM 900 / GSM 1800 / UMTS 2100,ECONET LEO
Burundi,ONAMOB,,,X,,,ONAMOB,BURUNDI,,,,,,,,,,,
Cambodia,Cellcard,,,X,X,X,CELLCARD,CAMBODIA,456.0,18.0,45618.0,Asia and the Middle East,Cambodia,KH,The Royal Group,Cellcard,,GSM 900 / GSM 1800 / UMTS 2100,CELLCARD
Cambodia,Metfone,,,X,X,X,METFONE,CAMBODIA,456.0,9.0,45609.0,Asia and the Middle East,Cambodia,KH,Viettel,Metfone,,GSM 900 / GSM 1800,METFONE
Cambodia,Smart,,,X,X,X,SMART,CAMBODIA,456.0,2.0,45602.0,Asia and the Middle East,Cambodia,KH,Smart Axiata Co. Ltd,Smart,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,SMART
Cambodia,Smart,,,X,X,X,SMART,CAMBODIA,456.0,5.0,45605.0,Asia and the Middle East,Cambodia,KH,Smart Axiata Co. Ltd,Smart,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100,SMART
Cambodia,Smart,,,X,X,X,SMART,CAMBODIA,456.0,6.0,45606.0,Asia and the Middle East,Cambodia,KH,Smart Axiata Co. Ltd,Smart,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800 / LTE 2100,SMART
Cameroon,Camtel,,,X,,,CAMTEL,CAMEROON,624.0,3.0,62403.0,Africa,Cameroon,CM,Camtel,Camtel,,CDMA / LTE 1800,CAMTEL
Cameroon,MTN,,,X,,X,MTN,CAMEROON,,,,,,,,,,,
Cameroon,Orange,,,X,,X,ORANGE,CAMEROON,624.0,2.0,62402.0,Africa,Cameroon,CM,Orange Cameroun S.A.,Orange,,GSM 900 / UMTS 2100 / LTE 1800,ORANGE
Cameroon,YooMee,,,,,,YOOMEE,CAMEROON,,,,,,,,,,,
Canada,Bell,,,,X,X,BELL,CANADA,302.0,640.0,302640.0,North America and the Caribbean,Canada,CA,Bell Mobility,Bell,,CDMA 800 / CDMA 1900,BELL
Canada,Bell,,,,X,X,BELL,CANADA,302.0,690.0,302690.0,North America and the Caribbean,Canada,CA,Bell Mobility,Bell,,UMTS 850 / UMTS 1900,BELL
Canada,Rogers,,,X,X,X,ROGERS,CANADA,,,,,,,,,,,
Canada,SaskTel,,,,X,X,SASKTEL,CANADA,302.0,680.0,302680.0,North America and the Caribbean,Canada,CA,SaskTel Mobility,SaskTel,,TD-LTE 2600,SASKTEL
