Country_x,Operator_x,Brand_x,PLMN_x,tech_2g,tech_3g,tech_lte,operator_name_upper,country_upper,MCC,MNC,PLMN_y,Region,Country_y,ISO,Operator_y,Brand_y,TADIG,Bands,brand_upper
Eritrea,Eritel,,,X,,,ERITEL,ERITREA,657.0,1.0,65701.0,Africa,Eritrea,ER,Eritrea Telecommunications Services Corporation,Eritel,,GSM 900,ERITEL
Eswatini,Eswatini Mobile,,,,,X,ESWATINI MOBILE,ESWATINI,,,,,,,,,,,
Eswatini,MTN,,,X,X,X,MTN,ESWATINI,,,,,,,,,,,
Ethiopia,Ethiotelecom,,,X,X,X,ETHIOTELECOM,ETHIOPIA,,,,,,,,,,,
Ethiopia,Safaricom Telecommunications Ethiopia,,,,,,SAFARICOM TELECOMMUNICATIONS ETHIOPIA,ETHIOPIA,,,,,,,,,,,
Falkland Islands,Sure,,,X,,,SURE,FALKLAND ISLANDS,,,,,,,,,,,
Faroe Islands,Føroya Tele,,28801,X,X,X,FØROYA TELE,FAROE ISLANDS,,,,,,,,,,,
Faroe Islands,Nema,,28802,X,X,X,NEMA,FAROE ISLANDS,,,,,,,,,,,
Faroe Islands,Tosa,,28803,X,X,X,TOSA,FAROE ISLANDS,,,,,,,,,,,
Fiji,Vodafone,,,X,X,X,VODAFONE,FIJI,542.0,1.0,54201.0,Oceania,Fiji,FJ,Vodafone Fiji,Vodafone,,GSM 900 / UMTS 2100 / LTE 1800,VODAFONE
Finland,DNA,,24403 24404 24412 24413 24436 (SYV [2] ),X,X,X,DNA,FINLAND,244.0,4.0,24404.0,Europe,Finland,FI,DNA Oy,DNA,,,DNA
Finland,DNA,,24403 24404 24412 24413 24436 (SYV [2] ),X,X,X,DNA,FINLAND,244.0,13.0,24413.0,Europe,Finland,FI,DNA Oy,DNA,,GSM 900 / GSM 1800,DNA
Finland,Elisa,,24405 24406 24421,X,X,X,ELISA,FINLAND,244.0,6.0,24406.0,Europe,Finland,FI,Elisa Oyj,Elisa,,,ELISA
France,Bouygues Telecom,,20820,X,X,X,BOUYGUES TELECOM,FRANCE,,,,,,,,,,,
France,Free Mobile,,20815,X,X,X,FREE MOBILE,FRANCE,208.0,16.0,20816.0,Europe,France,FR,Iliad,Free Mobile,,UMTS 900 / UMTS 2100 / LTE 700 / LTE 1800 / LTE 2600,FREE MOBILE
France,Orange,,20801,X,X,X,ORANGE,FRANCE,208.0,2.0,20802.0,Europe,France,FR,Orange S.A.,Orange,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,ORANGE
France,Orange,,20801,X,X,X,ORANGE,FRANCE,208.0,32.0,20832.0,Europe,France,FR,Orange S.A.,Orange,,,ORANGE
France,SFR,,20810,X,X,X,SFR,FRANCE,208.0,8.0,20808.0,Europe,France,FR,Altice,SFR,,MVNO,SFR
France,SFR,,20810,X,X,X,SFR,FRANCE,208.0,9.0,20809.0,Europe,France,FR,Altice,SFR,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,SFR
France,SFR,,20810,X,X,X,SFR,FRANCE,208.0,11.0,20811.0,Europe,France,FR,Altice,SFR,,UMTS 2100,SFR
France,SFR,,20810,X,X,X,SFR,FRANCE,208.0,13.0,20813.0,Europe,France,FR,Altice,SFR,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100,SFR
France (Saint-Pierre-et-Miquelon),Globatel,,,,,,GLOBATEL,FRANCE (SAINT-PIERRE-ET-MIQUELON),,,,,,,,,,,
France (Saint-Pierre-et-Miquelon),SPM Telecom,,30801,X,,,SPM TELECOM,FRANCE (SAINT-PIERRE-ET-MIQUELON),,,,,,,,,,,
French Polynesia,VINI,,,,X,X,VINI,FRENCH POLYNESIA,,,,,,,,,,,
French Polynesia,VITI,,,,,X,VITI,FRENCH POLYNESIA,,,,,,,,,,,
French Polynesia,Vodafone,,,,,X,VODAFONE,FRENCH POLYNESIA,,,,,,,,,,,
Gabon,Moov Africa Gabon Telecom,,,X,,,MOOV AFRICA GABON TELECOM,GABON,,,,,,,,,,,
Gambia,Comium,,,X,,,COMIUM,GAMBIA,607.0,3.0,60703.0,Africa,Gambia,GM,Comium,Comium,,GSM 900 / GSM 1800,COMIUM
Gambia,Gamcel,,,X,,,GAMCEL,GAMBIA,607.0,1.0,60701.0,Africa,Gambia,GM,Gamcel,Gamcel,,GSM 900 / GSM 1800 / UMTS 2100,GAMCEL
Georgia,A-Mobile,,28988 (MCC is not listed by ITU),X,X,X,A-MOBILE,GEORGIA,,,,,,,,,,,
Georgia,Aquafon,,28967 (MCC is not listed by ITU),X,X,X,AQUAFON,GEORGIA,,,,,,,,,,,
Georgia,Cellfie,,28204,X,X,X,CELLFIE,GEORGIA,,,,,,,,,,,
Georgia,Magticom,,28202,X,X,X,MAGTICOM,GEORGIA,,,,,,,,,,,
Georgia,MegaFon,,25002,X,X,X,MEGAFON,GEORGIA,,,,,,,,,,,
Georgia,Silknet,,28201,X,X,X,SILKNET,GEORGIA,,,,,,,,,,,
Georgia,,,,,,,,GEORGIA,282.0,13.0,28213.0,Europe,Georgia,GE,Asanet Ltd,,,,
Georgia,,,,,,,,GEORGIA,282.0,12.0,28212.0,Europe,Georgia,GE,Datacomm Ltd,,,,
Georgia,,,,,,,,GEORGIA,282.0,9.0,28209.0,Europe,Georgia,GE,Gmobile,,,,
Georgia,,,,,,,,GEORGIA,282.0,6.0,28206.0,Europe,Georgia,GE,JSC Compatel,,,,
Georgia,,,,,,,,GEORGIA,282.0,11.0,28211.0,Europe,Georgia,GE,Mobilive,,,,
Georgia,,,,,,,,GEORGIA,282.0,10.0,28210.0,Europe,Georgia,GE,Premium Net International SRL,,,,
Georgia,,,,,,,,GEORGIA,282.0,13.0,28213.0,Europe,Georgia,GE,Asanet Ltd,,,,
Georgia,,,,,,,,GEORGIA,282.0,12.0,28212.0,Europe,Georgia,GE,Datacomm Ltd,,,,
Georgia,,,,,,,,GEORGIA,282.0,9.0,28209.0,Europe,Georgia,GE,Gmobile,,,,
Georgia,,,,,,,,GEORGIA,282.0,6.0,28206.0,Europe,Georgia,GE,JSC Compatel,,,,
Georgia,,,,,,,,GEORGIA,282.0,11.0,28211.0,Europe,Georgia,GE,Mobilive,,,,
Georgia,,,,,,,,GEORGIA,282.0,10.0,28210.0,Europe,Georgia,GE,Premium Net International SRL,,,,
Germany,1&1,,26223,,,X,1&1,GERMANY,,,,,,,,,,,
Germany,O 2,,26203,X,,X,O 2,GERMANY,,,,,,,,,,,
Germany,Telekom,,26201,X,,X,TELEKOM,GERMANY,262.0,6.0,26206.0,Europe,Germany,DE,Telekom Deutschland GmbH,Telekom,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 900 / LTE 1800 / LTE 2600,TELEKOM
Germany,Telekom,,26201,X,,X,TELEKOM,GERMANY,262.0,78.0,26278.0,Europe,Germany,DE,Telekom Deutschland GmbH,Telekom,,,TELEKOM
Germany,Vodafone Germany,,26202,X,,X,VODAFONE GERMANY,GERMANY,,,,,,,,,,,
Ghana,Glo,,,X,X,,GLO,GHANA,,,,,,,,,,,
Ghana,Vodafone Ghana,,,X,X,X,VODAFONE GHANA,GHANA,,,,,,,,,,,
Gibraltar,Gibtelecom,,26601,X,X,X,GIBTELECOM,GIBRALTAR,,,,,,,,,,,
Greece,COSMOTE,,"20201, 20202",X,,X,COSMOTE,GREECE,202.0,2.0,20202.0,Europe,Greece,GR,COSMOTE - Mobile Telecommunications S.A.,Cosmote,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2600,COSMOTE
Greece,NOVA,,"20209 (Q-TELECOM), 20210 (NOVA)",X,,X,NOVA,GREECE,,,,,,,,,,,
Greenland,tusass,,29001,X,X,X,TUSASS,GREENLAND,,,,,,,,,,,
Grenada,Digicel,,,X,X,X,DIGICEL,GRENADA,352.0,30.0,352030.0,North America and the Caribbean,Grenada,GD,Digicel Grenada Ltd.,Digicel,,GSM 900 / GSM 1800 / UMTS 2100 / LTE,DIGICEL
"Guadeloupe, Martinique and French Guiana (Guyane)",Digicel,,,X,X,X,DIGICEL,"GUADELOUPE, MARTINIQUE AND FRENCH GUIANA (GUYANE)",,,,,,,,,,,
"Guadeloupe, Martinique and French Guiana (Guyane)",IEC Telecom,,,X,X,X,IEC TELECOM,"GUADELOUPE, MARTINIQUE AND FRENCH GUIANA (GUYANE)",,,,,,,,,,,
"Guadeloupe, Martinique and French Guiana (Guyane)",Orange Caraïbe,,,X,X,X,ORANGE CARAÏBE,"GUADELOUPE, MARTINIQUE AND FRENCH GUIANA (GUYANE)",,,,,,,,,,,
"Guadeloupe, Martinique and French Guiana (Guyane)",Outremer Telecom,,,X,X,X,OUTREMER TELECOM,"GUADELOUPE, MARTINIQUE AND FRENCH GUIANA (GUYANE)",,,,,,,,,,,
"Guadeloupe, Martinique and French Guiana (Guyane)",SFR Caraïbe,,,X,X,X,SFR CARAÏBE,"GUADELOUPE, MARTINIQUE AND FRENCH GUIANA (GUYANE)",,,,,,,,,,,
Guam,Docomo Pacific,,,X,X,X,DOCOMO PACIFIC,GUAM,,,,,,,,,,,
Guam,GTA,,,X,X,X,GTA,GUAM,,,,,,,,,,,
Guam,IT&E and Iconnect,,,,X,X,IT&E AND ICONNECT,GUAM,,,,,,,,,,,
Guatemala,Tigo,,,X,X,X,TIGO,GUATEMALA,704.0,2.0,70402.0,South and Central America,Guatemala,GT,Millicom / Local partners,Tigo,,TDMA 800 / GSM 850 / UMTS 850 / LTE 850,TIGO
Guernsey,Airtel-Vodafone,,23403,X,X,X,AIRTEL-VODAFONE,GUERNSEY,,,,,,,,,,,
Guernsey,JT,,23450,X,X,X,JT,GUERNSEY,,,,,,,,,,,
Guernsey,Sure,,23455,X,X,X,SURE,GUERNSEY,,,,,,,,,,,
Guinea,Cellcom Guinée,,,X,X,,CELLCOM GUINÉE,GUINEA,,,,,,,,,,,
Guinea,Intercel,,,X,,,INTERCEL,GUINEA,,,,,,,,,,,
Guinea,Sotelgui,,,X,,,SOTELGUI,GUINEA,611.0,2.0,61102.0,Africa,Guinea,GN,Sotelgui Lagui,Sotelgui,,GSM 900,SOTELGUI
Guinea-Bissau,Guinetel,,,X,,,GUINETEL,GUINEA-BISSAU,632.0,1.0,63201.0,Africa,Guinea-Bissau,GW,Guinétel S.A.,Guinetel,,GSM 900 / GSM 1800,GUINETEL
Guinea-Bissau,Guinetel,,,X,,,GUINETEL,GUINEA-BISSAU,632.0,7.0,63207.0,Africa,Guinea-Bissau,GW,Guinétel S.A.,Guinetel,,GSM 900 / GSM 1800,GUINETEL
Guinea-Bissau,MTN,,,X,X,X,MTN,GUINEA-BISSAU,,,,,,,,,,,
Guinea-Bissau,Orange,,,X,,X,ORANGE,GUINEA-BISSAU,632.0,3.0,63203.0,Africa,Guinea-Bissau,GW,,Orange,,GSM 900 / GSM 1800 / UMTS 2100 / LTE,ORANGE
Guyana,gtt,,,X,,,GTT,GUYANA,,,,,,,,,,,
Haiti,Digicel,,,X,X,,DIGICEL,HAITI,372.0,2.0,37202.0,North America and the Caribbean,Haiti,HT,Unigestion Holding S.A.,Digicel,,GSM 1800,DIGICEL
Honduras,HONDUTEL,,,X,,,HONDUTEL,HONDURAS,708.0,30.0,708030.0,South and Central America,Honduras,HN,Empresa Hondureña de Telecomunicaciones,Hondutel,,GSM 1900 / UMTS 1900,HONDUTEL
Honduras,Tigo,,,X,X,X,TIGO,HONDURAS,708.0,2.0,708002.0,South and Central America,Honduras,HN,Celtel,Tigo,,CDMA 850 / GSM 850 / UMTS 850 / LTE 1700,TIGO
Hong Kong,CMHK,,,X,X,X,CMHK,HONG KONG,,,,,,,,,,,
Hong Kong,csl,,,X,X,X,CSL,HONG KONG,,,,,,,,,,,
Hungary,Magyar Telekom,,21630,X,,X,MAGYAR TELEKOM,HUNGARY,,,,,,,,,,,
Hungary,One,,21670,X,,X,ONE,HUNGARY,,,,,,,,,,,
Hungary,Yettel,,21601,X,,X,YETTEL,HUNGARY,,,,,,,,,,,
Iceland,Síminn,,27401,X,X,X,SÍMINN,ICELAND,274.0,31.0,27431.0,Europe,Iceland,IS,Iceland Telecom,Síminn,,,SÍMINN
Iceland,Vodafone,,27402,X,X,X,VODAFONE,ICELAND,274.0,3.0,27403.0,Europe,Iceland,IS,Og fjarskipti hf,Vodafone,,,VODAFONE
India,Airtel,,,X,,X,AIRTEL,INDIA,405.0,55.0,40555.0,Asia and the Middle East,India,IN,Jammu & Kashmir,Airtel,,GSM 900 / UTMS 2100,AIRTEL
India,BSNL,,,X,,X,BSNL,INDIA,,,,,,,,,,,
India,Jio,,,,,X,JIO,INDIA,405.0,860.0,405860.0,Asia and the Middle East,India,IN,Jammu & Kashmir,Jio,,LTE 850 / LTE 1800 / TD-LTE 2300,JIO
India,MTNL,,,X,X,,MTNL,INDIA,,,,,,,,,,,
India,Vi,,,X,,X,VI,INDIA,,,,,,,,,,,
Indonesia,Indosat Ooredoo Hutchison,,"51001, 51021 and 51089",X,,X,INDOSAT OOREDOO HUTCHISON,INDONESIA,,,,,,,,,,,
Indonesia,XLSmart,,"51009, 51011 and 51028",X,,X,XLSMART,INDONESIA,,,,,,,,,,,
Iran,Hamrahe Aval,,,X,,X,HAMRAHE AVAL,IRAN,,,,,,,,,,,
Iran,Irancell,,,X,,X,IRANCELL,IRAN,,,,,,,,,,,
Iran,RighTel,,,,,X,RIGHTEL,IRAN,432.0,21.0,43221.0,Asia and the Middle East,Iran,IR,Social Security Investment Co.,Rightel,,UMTS 900 / UMTS 2100 / LTE 1800,RIGHTEL
Iraq,Asia Cell,,,X,,,ASIA CELL,IRAQ,418.0,0.0,41800.0,Asia and the Middle East,Iraq,IQ,Asia Cell Telecommunications Company,Asia Cell,,GSM 900,ASIA CELL
Iraq,Itisaluna,,,,,,ITISALUNA,IRAQ,418.0,62.0,41862.0,Asia and the Middle East,Iraq,IQ,Itisaluna Wireless CO.,Itisaluna,,CDMA 800 / CDMA 1900,ITISALUNA
Iraq,Korek,,,X,,,KOREK,IRAQ,418.0,40.0,41840.0,Asia and the Middle East,Iraq,IQ,Telecom Ltd,Korek,,GSM 900,KOREK
Iraq,Omnnea,,,,,,OMNNEA,IRAQ,418.0,92.0,41892.0,Asia and the Middle East,Iraq,IQ,Omnnea Wireless,Omnnea,,CDMA,OMNNEA
Iraq,Zain,,,X,,X,ZAIN,IRAQ,418.0,20.0,41820.0,Asia and the Middle East,Iraq,IQ,Zain Iraq,Zain,,GSM 900 / GSM 1800,ZAIN
Iraq,Zain,,,X,,X,ZAIN,IRAQ,418.0,30.0,41830.0,Asia and the Middle East,Iraq,IQ,Zain Iraq,Zain,,GSM 900,ZAIN
Ireland,Three,,"27205 (Three), 27202 (O 2 )",X,X,X,THREE,IRELAND,,,,,,,,,,,
Ireland,eir,,27203,X,X,X,EIR,IRELAND,272.0,7.0,27207.0,Europe,Ireland,IE,Eir Group plc,Eir,,GSM 900 / GSM 1800 / UMTS 2100,EIR
Ireland,eir,,27203,X,X,X,EIR,IRELAND,272.0,8.0,27208.0,Europe,Ireland,IE,Eir Group plc,Eir,,,EIR
Isle of Man,Manx Telecom,,23458,X,X,X,MANX TELECOM,ISLE OF MAN,,,,,,,,,,,
Isle of Man,Sure,,23436,X,X,X,SURE,ISLE OF MAN,,,,,,,,,,,
Italy,Fastweb,,22208,,,X,FASTWEB,ITALY,222.0,8.0,22208.0,Europe,Italy,IT,Fastweb S.p.A.,Fastweb,,MVNO,FASTWEB
Italy,TIM,,22201,X,,X,TIM,ITALY,222.0,43.0,22243.0,Europe,Italy,IT,Telecom Italia S.p.A.,TIM,,5G 3500,TIM
Italy,TIM,,22201,X,,X,TIM,ITALY,222.0,48.0,22248.0,Europe,Italy,IT,Telecom Italia S.p.A.,TIM,,,TIM
Italy,Vodafone Italy,,22210,X,,X,VODAFONE ITALY,ITALY,,,,,,,,,,,
Italy,Wind Tre,,22288 and 22299,X,X,X,WIND TRE,ITALY,,,,,,,,,,,
Ivory Coast,GreenN,,,X,,,GREENN,IVORY COAST,612.0,6.0,61206.0,Africa,Ivory Coast,CI,Oricel,GreenN,,GSM 1800,GREENN
Ivory Coast,Koz,,,X,,,KOZ,IVORY COAST,612.0,4.0,61204.0,Africa,Ivory Coast,CI,Comium Ivory Coast Inc,KoZ,,GSM 900 / GSM 1800,KOZ
Ivory Coast,Mobile Cafe,,,X,,,MOBILE CAFE,IVORY COAST,,,,,,,,,,,
Ivory Coast,Orange,,,X,X,X,ORANGE,IVORY COAST,612.0,3.0,61203.0,Africa,Ivory Coast,CI,Orange,Orange,,GSM 900 / UMTS 2100 / LTE 1800,ORANGE
Ivory Coast,Warid,,,X,,,WARID,IVORY COAST,,,,,,,,,,,
Ivory Coast,YooMee,,,,,X,YOOMEE,IVORY COAST,,,,,,,,,,,
Jamaica,FLOW,,,,X,X,FLOW,JAMAICA,338.0,110.0,338110.0,North America and the Caribbean,Jamaica,JM,Cable & Wireless Communications,FLOW,,,FLOW
Jamaica,FLOW,,,,X,X,FLOW,JAMAICA,338.0,20.0,338020.0,North America and the Caribbean,Jamaica,JM,LIME (Cable & Wireless),FLOW,,,FLOW
Japan,Disney Mobile,,,,X,X,DISNEY MOBILE,JAPAN,,,,,,,,,,,
Japan,IIJmio,,,,,,IIJMIO,JAPAN,440.0,3.0,44003.0,Asia and the Middle East,Japan,JP,Internet Initiative Japan Inc.,IIJmio,,MVNO,IIJMIO
Japan,Rakuten Mobile,,,,,X,RAKUTEN MOBILE,JAPAN,,,,,,,,,,,
Japan,SoftBank Corp. & Ymobile,,,,,X,SOFTBANK CORP. & YMOBILE,JAPAN,,,,,,,,,,,
Japan,au,,,,,X,AU,JAPAN,440.0,50.0,44050.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,52.0,44052.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,53.0,44053.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,54.0,44054.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,70.0,44070.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,71.0,44071.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,72.0,44072.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,73.0,44073.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,74.0,44074.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,75.0,44075.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,76.0,44076.0,Asia and the Middle East,Japan,JP,KDDI Corporation,au,,CDMA2000 850 / CDMA2000 2100 / LTE 700 / LTE 850 / LTE 1500 / LTE 2100 / TD-LTE 3500,AU
Japan,au,,,,,X,AU,JAPAN,440.0,78.0,44078.0,Asia and the Middle East,Japan,JP,Okinawa Cellular Telephone,au,,CDMA2000 850 / CDMA2000 2100,AU
Japan,b-mobile,,,,X,X,B-MOBILE,JAPAN,,,,,,,,,,,
Jersey,Airtel-Vodafone,,23403,X,X,X,AIRTEL-VODAFONE,JERSEY,,,,,,,,,,,
Jersey,JT,,23450,X,X,X,JT,JERSEY,,,,,,,,,,,
Jersey,Sure,,23455,X,X,X,SURE,JERSEY,,,,,,,,,,,
Jordan,Orange Jordan,,,X,X,X,ORANGE JORDAN,JORDAN,,,,,,,,,,,
Jordan,Zain Jordan,,,X,X,X,ZAIN JORDAN,JORDAN,,,,,,,,,,,
Kazakhstan,Forte Mobile,,,X,X,X,FORTE MOBILE,KAZAKHSTAN,,,,,,,,,,,
Kazakhstan,Tele2 Kazakhstan,,40177,X,X,X,TELE2 KAZAKHSTAN,KAZAKHSTAN,,,,,,,,,,,
Kenya,Airtel Kenya,,,X,X,X,AIRTEL KENYA,KENYA,,,,,,,,,,,
Kenya,Jamii Telecommunications,,,,,X,JAMII TELECOMMUNICATIONS,KENYA,,,,,,,,,,,
Kenya,Safaricom,,,X,X,X,SAFARICOM,KENYA,639.0,1.0,63901.0,Africa,Kenya,KE,Safaricom Limited,Safaricom,,,SAFARICOM
Kenya,Telkom Kenya,,,X,X,X,TELKOM KENYA,KENYA,,,,,,,,,,,
Kosovo,Vala,,22101,X,X,X,VALA,KOSOVO,221.0,1.0,22101.0,Europe,Kosovo,XK,Telecom of Kosovo J.S.C.,Vala,,GSM 900 / GSM 1800 / UMTS 900 / LTE 1800,VALA
Kuwait,Ooredoo,,,X,X,X,OOREDOO,KUWAIT,,,,,,,,,,,
Kuwait,Saudi Telecom Company,,,X,X,X,SAUDI TELECOM COMPANY,KUWAIT,,,,,,,,,,,
Kuwait,Zain,,,X,X,X,ZAIN,KUWAIT,,,,,,,,,,,
Kyrgyzstan,Fonex,,43703,,,,FONEX,KYRGYZSTAN,,,,,,,,,,,
Kyrgyzstan,Katel,,,,,,KATEL,KYRGYZSTAN,,,,,,,,,,,
Kyrgyzstan,MegaCom,,43705,X,X,X,MEGACOM,KYRGYZSTAN,437.0,5.0,43705.0,Asia and the Middle East,Kyrgyzstan,KG,Alfa Telecom CJSC,MegaCom,,GSM 900 / GSM 1800 / UMTS 900 / UMTS 2100 / LTE 800 / LTE 1800 / LTE 2100,MEGACOM
Kyrgyzstan,Nexi,,,,,,NEXI,KYRGYZSTAN,,,,,,,,,,,
Kyrgyzstan,O!,,43709,X,X,X,O!,KYRGYZSTAN,437.0,9.0,43709.0,Asia and the Middle East,Kyrgyzstan,KG,NurTelecom LLC,O!,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 800 / LTE 2600,O!
Kyrgyzstan,Saima Telecom,,43710,,,,SAIMA TELECOM,KYRGYZSTAN,,,,,,,,,,,
Kyrgyzstan,Sapat Mobile,,,,,,SAPAT MOBILE,KYRGYZSTAN,,,,,,,,,,,
Kyrgyzstan,iTel,,43711,,,,ITEL,KYRGYZSTAN,,,,,,,,,,,
Laos,Lao Telecom,,,X,X,X,LAO TELECOM,LAOS,,,,,,,,,,,
Laos,TPLUS,,,X,X,,TPLUS,LAOS,,,,,,,,,,,
Latvia,Bitė,,24705,X,X,X,BITĖ,LATVIA,,,,,,,,,,,
Latvia,Triatel,,24703,,,,TRIATEL,LATVIA,247.0,3.0,24703.0,Europe,Latvia,LV,Telekom Baltija,TRIATEL,,CDMA 450,TRIATEL
Latvia,Xomobile,,24709,,,,XOMOBILE,LATVIA,247.0,9.0,24709.0,Europe,Latvia,LV,Camel Mobile,Xomobile,,MVNO,XOMOBILE
Lesotho,Econet Telecom Lesotho,,,X,X,,ECONET TELECOM LESOTHO,LESOTHO,,,,,,,,,,,
Lesotho,Vodacom,,,X,X,X,VODACOM,LESOTHO,651.0,10.0,65110.0,Africa,Lesotho,LS,Vodacom Lesotho (Pty) Ltd,Vodacom,,,VODACOM
Liberia,LTC Mobile,,,,,,LTC MOBILE,LIBERIA,,,,,,,,,,,
Liberia,Lonestar Cell MTN,,,X,,,LONESTAR CELL MTN,LIBERIA,618.0,1.0,61801.0,Africa,Liberia,LR,Lonestar Communications Corporation,Lonestar Cell MTN,,GSM 900 / GSM 1800 / UMTS 2100,LONESTAR CELL MTN
Liberia,Novafone,,,X,X,,NOVAFONE,LIBERIA,618.0,4.0,61804.0,Africa,Liberia,LR,Novafone Inc.,Novafone,,GSM 900 / GSM 1800 / UMTS 2100,NOVAFONE
Liberia,Orange,,,X,X,X,ORANGE,LIBERIA,,,,,,,,,,,
Libya,Almadar Aljadid,,,X,X,X,ALMADAR ALJADID,LIBYA,,,,,,,,,,,
Libya,Libyana,,,X,X,X,LIBYANA,LIBYA,606.0,0.0,60600.0,Africa,Libya,LY,Libyana,Libyana,,GSM 900 / GSM 1800 / UMTS 2100 / LTE 1800,LIBYANA
Liechtenstein,Swisscom FL,,29501,X,X,X,SWISSCOM FL,LIECHTENSTEIN,,,,,,,,,,,
Lithuania,Telia Lietuva,,24601,X,,X,TELIA LIETUVA,LITHUANIA,,,,,,,,,,,
Luxembourg,Luxembourg Online,,27005,,X,,LUXEMBOURG ONLINE,LUXEMBOURG,,,,,,,,,,,
Macau,3 Macau,,,,X,X,3 MACAU,MACAU,,,,,,,,,,,
Macau,CTM,,,,X,X,CTM,MACAU,,,,,,,,,,,
Macau,China Telecom,,,,,X,CHINA TELECOM,MACAU,,,,,,,,,,,
Madagascar,Blueline,,,,,X,BLUELINE,MADAGASCAR,,,,,,,,,,,
Madagascar,Orange,,,X,,X,ORANGE,MADAGASCAR,646.0,2.0,64602.0,Africa,Madagascar,MG,Orange Madagascar S.A.,Orange,,GSM 900 / UMTS 2100 / LTE 1800,ORANGE
Madagascar,Telma Mobile,,,X,X,X,TELMA MOBILE,MADAGASCAR,,,,,,,,,,,
Malawi,Access,,,X,,X,ACCESS,MALAWI,650.0,2.0,65002.0,Africa,Malawi,MW,Access Communications Ltd,Access,,CDMA / LTE 850,ACCESS
Malawi,G-Expresso,,,X,,,G-EXPRESSO,MALAWI,,,,,,,,,,,
Malawi,G-Mobile,,,X,,,G-MOBILE,MALAWI,,,,,,,,,,,
Malawi,Lacell,,,X,,,LACELL,MALAWI,,,,,,,,,,,
Malawi,MTL,,,,,X,MTL,MALAWI,,,,,,,,,,,
Maldives,Ooredoo Maldives,,,X,X,X,OOREDOO MALDIVES,MALDIVES,,,,,,,,,,,
Mali,Moov Africa Malitel,,,X,X,,MOOV AFRICA MALITEL,MALI,,,,,,,,,,,
Mali,Planor,,,X,,,PLANOR,MALI,,,,,,,,,,,
Malta,Epic,,27801,X,X,X,EPIC,MALTA,,,,,,,,,,,
Malta,GO,,27821,X,X,X,GO,MALTA,278.0,30.0,27830.0,Europe,Malta,MT,Mobile Communications Limited,GO,,,GO
Malta,Melita,,27877,,X,X,MELITA,MALTA,278.0,77.0,27877.0,Europe,Malta,MT,Melita,Melita,,UMTS 900 / UMTS 2100 / LTE 800 / LTE 2100,MELITA
Marshall Islands,NTA,,,X,X,X,NTA,MARSHALL ISLANDS,,,,,,,,,,,
