,Country,Operator,Ownership,MCCMNC,Technology,Notes,Includes
22,Bosnia and Herzegovina,HT ERONET,"Federation of Bosnia and Herzegovina (50.10%), Hrvatski Telekom (39.10%), Hrvatska pošta (5.23%), free float (5.27%)",21803,"GSM-900/1800 (GPRS, EDGE), 900/2100 MHz UMTS, HSPA+, HSDPA, HSUPA, DC-HSPA+ 800/1800 MHz LTE, LTE-A, LTE-A Pro VoLTE, ViLTE, eSIM 5G NR (in development)",,
23,Bosnia and Herzegovina,haloo,"Federation of Bosnia and Herzegovina (50.10%), Hrvatski Telekom (39.10%, Hrvatska pošta (5.23%), free float (5.27%)",21803,"GSM-900/1800 (GPRS, EDGE), 900/2100 MHz UMTS, HSPA+, HSDPA, HSUPA, DC-HSPA+ 800/1800 MHz LTE, LTE-A, LTE-A Pro VoLTE, ViLTE, eSIM",,
24,Bulgaria,A1,A1 Group,28401,"GSM-900 (GPRS, EDGE) 900 MHz UMTS, HSDPA, HSPA+ 800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi, eSIM 700/3600 MHz 5G NR",,
25,Bulgaria,Vivacom,United Group,28403,"GSM-900 (GPRS, EDGE) 900 MHz UMTS, HSDPA, HSPA+ 700/800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi, eSIM 1800/3600 MHz 5G NR",,
26,Bulgaria,Yettel,e& PPF Telecom Group,28405,"GSM-900 (GPRS, EDGE) 900 MHz UMTS, HSDPA, HSUPA, HSPA+ 800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, ViLTE, eSIM 700/2600/3600 MHz 5G NR",,
27,Croatia,Hrvatski Telekom,Deutsche Telekom AG (51.7%),21901,"GSM-900 MHz (GPRS, EDGE)  3G shutdown: end of 2024  LTE, LTE-A, LTE-A Pro, VoLTE, VoWiFi, eSIM (postpaid only) 2100/3500 MHz - 5G NR",,
28,Croatia,A1,A1 Group,21910,"GSM-900 MHz (GPRS, EDGE) 900 MHz UMTS, HSDPA, HSPA+ 700/800/1800/2100/2600 MHz LTE, LTE-A, LTE-A Pro, VoLTE (postpaid only), eSIM (postpaid only) 700/3600 MHz - 5G NR",,
29,Croatia,Telemach,United Group,21902,"GSM-900/1800 MHz (GPRS, EDGE) 900/2100 MHz UMTS, HSPA 700/1800/2100/2600 MHz LTE, LTE-A 700/3400-3800 MHz - 5G NR eSIM (postpaid only)",,
30,Cyprus,Cytamobile-Vodafone,Cyta (Government of Cyprus 100%),28001,"900/1800 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi, eSIM 700/3500 MHz 5G NR[33]",,
31,Cyprus,Epic,Monaco Telecom SAM,28010,"900/1800 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA+ 800/1800/2100/2600 MHz LTE, LTE-A VoLTE, eSIM 700/3500 MHz 5G NR",,
32,Cyprus,PrimeTel,PrimeTel PLC (Signal Capital Partners 100%),28020,"900/2100 MHz UMTS, HSPA+ 900/1800 MHz LTE, LTE-A VoLTE, VoWiFi, eSIM (RAN sharing with Epic & roaming on Epic or Cyta when needed)",,
33,Cyprus,Cablenet,Cablenet Communications Systems PLC (GO Malta 63.4%),28022,"800/2600 MHz LTE, LTE-A eSIM (RAN sharing & roaming with Cyta when needed)",,
34,Cyprus,Kuzey Kıbrıs Turkcell,Turkcell A.Ş.,28601,"900 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+  800/1800/2100/2600 MHz LTE, LTE+  VoLTE, VoWiFi, eSIM  5G (testing) [36]",,
35,Cyprus,Telsim Vodafone,Vodafone Turkey A.Ş.,28602,"900 MHz GSM (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+  800/1800/2100/2600 MHz LTE, LTE+  VoLTE, VoWiFi, eSIM  5G (testing) [38]",,
36,Czech Republic,T-Mobile,Deutsche Telekom AG,23001,"GSM-900/1800 MHz (GPRS, EDGE)  700/800/1800/2100/2600 MHz LTE, LTE-A VoLTE, ViLTE, VoWiFi 700/1800/2100/3500 MHz 5G NR",,
37,Czech Republic,O2,PPF N.V.,23002,"GSM-900/1800 MHz (GPRS, EDGE) 700/800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 700/1800/2100 (Prague Metro only) /3500 MHz 5G NR",,
38,Czech Republic,Vodafone,Vodafone Group plc,23003,"GSM-900/1800 MHz (GPRS, EDGE) 800/900/1800/2100/2600 MHz LTE, LTE-A VoLTE, ViLTE, VoWiFi 700/1800/2100/3500 MHz 5G NR",,
39,Denmark,TDC,"Macquarie Group and Danish pension funds (PFA, PKA, ATP)",23801,"GSM-900/1800 (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSPA+ 800/2600 MHz[46] LTE VoLTE 3500 MHz - 5G NR",,
40,Denmark,Telenor,Telenor,23802,"900/1800 GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSDPA, HSPA+ 800/900/1800/2100 MHz LTE VoLTE (shares network with Telia) 3500 MHz - 5G NR",,
41,Denmark,3,"CK Hutchison Holdings (60%), Investor AB (40%)",23806,"900/2100 MHz UMTS, HSDPA, HSPA+ 1800/2100/2600 MHz LTE 3500 MHz - 5G NR VoLTE, VoWiFi  (Roams on TDC's GSM / UMTS / LTE network where 3 does not reach)",,
42,Denmark,Telia,Norlys[50],23820,"900/1800 GSM (GPRS, EDGE) 900/1800/2100/2600 MHz LTE VoLTE (shares network with Telenor)",,
43,Estonia,Telia,Telia Company,24801,"GSM-900/1800 (EDGE) 800/1800/2100/2600 MHz LTE VoLTE 700/3500 MHz - 5G NR 3G (UMTS, HSPA) has been shut down in 2023",,
44,Estonia,Elisa,Elisa,24802,GSM-900/1800 (EDGE) 800/1800/2100/2600 MHz LTE VoLTE 700/3500 MHz - 5G NR,,
45,Estonia,Tele2,Tele2,24803,"GSM-900/1800 (EDGE) 900/2100 MHz UMTS, HSPA 800/1800/2100 MHz LTE 700/3500 MHz - 5G NR",,
46,Faroe Islands,Føroya Tele,Government of Faroe Islands,28801,GSM-900 900/2100 MHz UMTS 1800 MHz LTE,,
47,Faroe Islands,Nema,Nema,28802,GSM-900 2100 MHz UMTS 1800 MHz LTE,,
48,Faroe Islands,Tosa,Tosa,28803,GSM-900 2100 MHz UMTS 1800 MHz LTE,,
49,Finland,Elisa,Elisa,24405 24406 24421,"GSM-900/1800 MHz (EDGE) 900/2100 MHz UMTS, HSPA 800/1800/2600 MHz LTE, LTE-A VoLTE 3500 MHz - 5G NR",,
50,Finland,DNA,Telenor,24403 24404 24412 24413 24436 (SYV[2]),"GSM-900/1800 MHz (EDGE) 900/2100 MHz UMTS, HSPA 700/800/1800/2100/2600 MHz LTE, LTE-A VoLTE, VoWiFi 3500 MHz - 5G NR",,
51,Finland,Telia,Telia Company,24420 24436 (SYV[3]) 24491,"GSM-900/1800 MHz (EDGE) 900/2100 MHz UMTS, HSPA 800/1800/2600 MHz LTE, LTE-A VoLTE 3500 MHz - 5G NR",,
52,Finland,Ålcom,"Mariehamns Telefon, Ålands Telefonandelslag",24414,"GSM-900 MHz (EDGE) 900/2100 MHz UMTS, HSPA 800/1800/2600 MHz LTE, LTE-A",,
53,France,Orange,Orange S.A.,20801,"900/1800 MHz GSM (GPRS, EDGE)  900/2100 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 700/800/1800/2100/2600 MHz LTE, LTE-A 2100/3500 MHz 5G NR VoLTE, VoWiFi",,
54,France,SFR,"Altice (80.4%), free float (19.6%)[59]",20810,"900/1800 MHz GSM (GPRS, EDGE)  900/2100 MHz UMTS, HSPA, HSPA+, DC-HSPA+ 700/800/1800/2100/2600 MHz LTE, LTE-A 2100/3500 MHz 5G NR VoLTE, VoWiFi",,
55,France,Bouygues Telecom,Bouygues Group (90.53%),20820,"900 MHz GSM (GPRS, EDGE)  900/2100 MHz UMTS, HSPA, HSPA+ 700/800/1800/2100/2600 MHz LTE, LTE-A 2100/3500 MHz 5G NR VoLTE, VoWiFi",,
56,France,Free Mobile,Iliad S.A.,20815,"900 MHz GSM (GPRS, EDGE) 900/2100 MHz UMTS, HSPA, HSPA+ (Roaming on Orange 2G/3G when needed, limited to 384 kbit/s download, 384 kbit/s upload) 700/1800/2100/2600 MHz LTE, LTE-A 700/3500 MHz 5G NR VoLTE, VoWiFi",,
57,Georgia,Magticom,International Tellcell LLC,28202,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800/2100 MHz LTE, LTE Advanced, VoLTE 5G is on FDD 700 MHz (N28) with a bandwidth of 20 MHz (2x10MHz), FDD 2600 MHz (N7) with a bandwidth of 60 MHz (2x30MHz) and TDD 3500 MHz (N78) with a bandwidth of 100 MHz. Magticom currently has the biggest 5G coverage in the country.[64]",,
58,Georgia,Silknet,Silk Road Group,28201,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+, CDMA2000, EVDO Rev. A 2300 MHz TD-LTE, LTE Advanced, LTE Advanced Pro 800/900/1800 MHz LTE 5G–2100 MHz (Only in central Tbilisi from Freedom Square to Bagebi). Silknet has not participated in any of the 5G license auctions announced by the GNCC and has chosen to instead use its existing neutral license for 2100 MHz. Silknet currently remains the only MNO in Georgia without 5G-specific licenses and has the smallest 5G coverage.",,
59,Georgia,Cellfie,CBS Group,28204,"GSM-900/1800 MHz (GPRS, EDGE) 2100 MHz UMTS, HSDPA, HSUPA, HSPA, HSPA+, DC-HSPA+ 800/1800 MHz LTE, LTE Advanced, VoLTE, VoWifi coming soon 5G – Currently in skiing resorts Bakuriani and Gudauri, seaside resorts Batumi, Gonio, Kvariati, Shekvetili, Kobuleti, as well as some of Tbilisi's neighbourhoods, such as Didube and Didi Dighomi. There is also coverage in Zugdidi. 5G is on 10 MHz (2X5 MHz) frequency resource, within the Uplink 703 - 708 MHz and Downlink 758 - 763 MHz resources; 50 MHz frequency resource within the 3550-3600 MHz resource. Cellfie also owns licenses for 2100 MHz and 2600 MHz.",,
60,Georgia,Aquafon,Aquafon JSC,28967 (MCC is not listed by ITU),GSM-900/1800 MHz 2100 MHz UMTS  800 MHz LTE,,
61,Georgia,A-Mobile,A-Mobile LLSC,28988 (MCC is not listed by ITU),GSM-900/1800 MHz 2100 MHz UMTS  800/1800 MHz LTE,,
