Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
Comoros,Telma,,,X,,X
Congo,Airtel,,,X,X,X
Congo,Azur,,,X,,
Congo,MTN,,,X,X,X
Cook Islands,Vodafone,,,X,X,X
Costa Rica,Claro,,,X,X,X
Costa Rica,Fullmóvil,,,X,X,
Costa Rica,Kölbi,,,X,X,X
Costa Rica,Liberty,,,X,X,X
Costa Rica,Tuyo Móvil,,,X,X,
Croatia,A1,,21910,X,X,X
Croatia,Hrvatski Telekom,,21901,X,,X
Croatia,Telemach,,21902,X,X,X
Cuba,Cubacel,,,X,X,X
Curaçao,Digicel,,,X,X,X
Curaçao,FLOW,,,X,X,X
Czech Republic,O 2,,23002,X,,X
Czech Republic,T-Mobile,,23001,X,,X
Czech Republic,Vodafone,,23003,X,,X
Democratic Republic of the Congo,Africell,,,X,X,
Democratic Republic of the Congo,Airtel,,,X,X,
Democratic Republic of the Congo,Orange,,,X,X,
Democratic Republic of the Congo,SemaTel,,,X,,
Democratic Republic of the Congo,Smile,,,,,X
Democratic Republic of the Congo,Supercell,,,X,,
Democratic Republic of the Congo,U-Com,,,,,
Democratic Republic of the Congo,Vodacom,,,X,X,
Denmark,3,,23806,X,X,X
Denmark,TDC,,23801,X,X,X
Denmark,Telenor,,23802,X,X,X
Denmark,Telia,,23820,X,,X
Djibouti,Evatis,,,X,X,
Dominica,Digicel,,,X,X,X
Dominica,FLOW,,,X,X,X
Dominican Republic,Claro,,,X,X,X
Dominican Republic,Viva,,,X,,
Dominican Republic,altice,,,X,X,X
Ecuador,Claro,,,X,X,X
Ecuador,Cnt,,,X,X,X
Ecuador,Movistar,,,X,X,X
Ecuador,Tuenti,,,,,
Egypt,Etisalat,,,X,X,X
Egypt,Orange,,,X,X,X
Egypt,Vodafone Egypt,,,X,X,X
Egypt,We,,,X,X,X
El Salvador,Claro,,,X,X,
El Salvador,Digicel,,,X,X,
El Salvador,Movistar,,,X,X,X
El Salvador,RED,,,,,
El Salvador,Tigo,,,X,X,X
Equatorial Guinea,Gecomsa,,,,,
Equatorial Guinea,Muni,,,X,X,
Equatorial Guinea,Orange,,,X,,
Eritrea,Eritel,,,X,,
Estonia,Elisa,,24802,X,,X
Estonia,Tele2,,24803,X,X,X
Estonia,Telia,,24801,X,X,X
Eswatini,Eswatini Mobile,,,,,X
Eswatini,MTN,,,X,X,X
Ethiopia,Ethiotelecom,,,X,X,X
Ethiopia,Safaricom Telecommunications Ethiopia,,,,,
Falkland Islands,Sure,,,X,,
Faroe Islands,Føroya Tele,,28801,X,X,X
Faroe Islands,Nema,,28802,X,X,X
Faroe Islands,Tosa,,28803,X,X,X
Fiji,Digicel,,,X,X,X
Fiji,Vodafone,,,X,X,X
Finland,DNA,,24403 24404 24412 24413 24436 (SYV [2] ),X,X,X
Finland,Elisa,,24405 24406 24421,X,X,X
Finland,Telia,,24420 24436 (SYV [3] ) 24491,X,X,X
Finland,Ålcom,,24414,X,X,X
France,Bouygues Telecom,,20820,X,X,X
France,Free Mobile,,20815,X,X,X
France,Orange,,20801,X,X,X
France,SFR,,20810,X,X,X
France (Saint-Pierre-et-Miquelon),Globatel,,,,,
France (Saint-Pierre-et-Miquelon),SPM Telecom,,30801,X,,
French Polynesia,VINI,,,,X,X
French Polynesia,VITI,,,,,X
French Polynesia,Vodafone,,,,,X
Gabon,Airtel,,,X,X,X
Gabon,Moov Africa Gabon Telecom,,,X,,
Gambia,Africell,,,X,X,X
Gambia,Comium,,,X,,
Gambia,Gamcel,,,X,,
Gambia,Qcell,,,X,X,
Georgia,A-Mobile,,28988 (MCC is not listed by ITU),X,X,X
Georgia,Aquafon,,28967 (MCC is not listed by ITU),X,X,X
Georgia,Cellfie,,28204,X,X,X
Georgia,Magticom,,28202,X,X,X
Georgia,MegaFon,,25002,X,X,X
Georgia,Silknet,,28201,X,X,X
Georgia,,,,,,
Georgia,,,,,,
Germany,1&1,,26223,,,X
Germany,O 2,,26203,X,,X
Germany,Telekom,,26201,X,,X
Germany,Vodafone Germany,,26202,X,,X
Ghana,AirtelTigo,,,,,
Ghana,Glo,,,X,X,
Ghana,MTN,,,X,X,X
Ghana,Vodafone Ghana,,,X,X,X
Gibraltar,Gibtelecom,,26601,X,X,X
Greece,COSMOTE,,"20201, 20202",X,,X
Greece,NOVA,,"20209 (Q-TELECOM), 20210 (NOVA)",X,,X
Greece,Vodafone,,"20205 (Vodafone), 20214 (CYTA Hellas)",X,,X
Greenland,tusass,,29001,X,X,X
Grenada,Digicel,,,X,X,X
Grenada,FLOW,,,X,X,X
"Guadeloupe, Martinique and French Guiana (Guyane)",Digicel,,,X,X,X
"Guadeloupe, Martinique and French Guiana (Guyane)",IEC Telecom,,,X,X,X
"Guadeloupe, Martinique and French Guiana (Guyane)",Orange Caraïbe,,,X,X,X
"Guadeloupe, Martinique and French Guiana (Guyane)",Outremer Telecom,,,X,X,X
"Guadeloupe, Martinique and French Guiana (Guyane)",SFR Caraïbe,,,X,X,X
Guam,Docomo Pacific,,,X,X,X
Guam,GTA,,,X,X,X
Guam,IT&E and Iconnect,,,,X,X
Guatemala,Claro,,,X,X,
Guatemala,Tigo,,,X,X,X
Guernsey,Airtel-Vodafone,,23403,X,X,X
Guernsey,JT,,23450,X,X,X
Guernsey,Sure,,23455,X,X,X
Guinea,Cellcom Guinée,,,X,X,
Guinea,Intercel,,,X,,
Guinea,MTN,,,X,X,
Guinea,Orange,,,X,,
Guinea,Sotelgui,,,X,,
Guinea-Bissau,Guinetel,,,X,,
Guinea-Bissau,MTN,,,X,X,X
Guinea-Bissau,Orange,,,X,,X
Guyana,Digicel,,,X,X,X
Guyana,gtt,,,X,,
Haiti,Digicel,,,X,X,
Haiti,NATCOM,,,X,X,X
Honduras,Claro,,,X,X,X
