Country,Operator,Brand,PLMN,tech_2g,tech_3g,tech_lte
Thailand,Mojo 3G,,,,X,
Thailand,MyWorld 3G,,,,X,
Thailand,NT Mobile,,,,X,X
Thailand,OPEN SIM i-mobile,,,,X,
Thailand,Penguin,,,,X,
Thailand,Redone  ),,,,X,X
Thailand,Tune Talk,,,,X,
Thailand,i-Kool 3G,,,,X,
Thailand,imobile-3GX,,,,X,
Thailand,my by NT,,,,X,X
Timor-Leste,Telemor,,,X,X,X
Timor-Leste,Telkomcel,,,X,X,X
Timor-Leste,Timor Telecom,,,X,X,X
Togo,Moov Africa Togo,,,X,,
Togo,Togocel,,,X,X,
Tonga,Digicel,,,X,,X
Tonga,TCC,,,X,X,
Tonga,Wantok,,,X,X,
Trinidad and Tobago,Digicel,,,X,X,X
Trinidad and Tobago,bmobile,,,X,X,X
Tunisia,Ooredoo,,,X,X,X
Tunisia,Orange,,,X,X,X
Tunisia,Tunisie Telecom,,,X,X,X
Turkey,Turkcell,,,X,X,X
Turkey,Turkcell,,,X,X,X
Turkey,Türk Telekom,,,X,X,X
Turkey,Türk Telekom,,,X,X,X
Turkey,Vodafone,,,X,X,X
Turkey,Vodafone Turkey,,,X,X,X
Turkmenistan,AȘTU,,,,,
Turkmenistan,TM CELL,,,X,X,X
Turks and Caicos Islands,Digicel,,,X,X,X
Turks and Caicos Islands,FLOW,,,X,X,X
Tuvalu,TTC,,,X,,X
Uganda,Airtel Uganda,,,X,X,
Uganda,Lycamobile,,,,,
Uganda,MTN Uganda,,,X,X,X
Uganda,Smile Telecom,,,,,
Uganda,UTel,,,X,X,
Ukraine,Intertelecom,,25504,,,
Ukraine,Kyivstar,,25503,X,X,X
Ukraine,PEOPLEnet,,25521,,,
Ukraine,TriMob,,25507,,X,
Ukraine,Vodafone,,25501,X,X,X
Ukraine,lifecell,,25506,X,X,X
United Arab Emirates,Etisalat,,,X,X,X
United Arab Emirates,du,,,X,X,X
United Kingdom,EE,,23430 and 23433,X,,X
United Kingdom,O2,,23410,X,X,X
United Kingdom,Three,,23420,,X,X
United Kingdom,Vodafone,,23415,X,,X
United States,AT&T,,,,,X
United States,Boost Mobile,,,,,
United States,T-Mobile,,,X,,X
United States,U.S. Cellular,,,,,X
United States,Verizon,,,,,X
Uruguay,Antel,,,X,X,X
Uruguay,Claro,,,X,X,X
Uruguay,Movistar,,,X,X,X
Uzbekistan,Beeline,,,X,X,X
Uzbekistan,Mobi.UZ,,,X,X,X
Uzbekistan,Perfectum,,,,,
Uzbekistan,UCell,,,X,X,X
Uzbekistan,Uzmobile,,,,,
Vanuatu,AIL,,,X,,
Vanuatu,Digicel,,,X,X,X
Vanuatu,Vodafone Vanuatu,,,X,,
Vanuatu,WanTok,,,,,X
Venezuela,Digitel GSM,,,X,X,X
Venezuela,Movilnet,,,X,X,X
Venezuela,Movistar,,,X,X,X
Vietnam,MobiFone,,,,X,X
Vietnam,Vietnamobile,,,,X,
Vietnam,Viettel,,,,X,X
Vietnam,Vinaphone,,,,X,X
Yemen,Sabafon,,,X,,
Yemen,Y Telecom,,,X,,
Yemen,YOU,,,X,,
Yemen,Yemen Mobile,,,,,X
Zambia,Airtel,,,X,X,X
Zambia,MTN,,,X,X,X
Zambia,Zamtel,,,X,X,
Zimbabwe,Econet,,,X,X,X
Zimbabwe,NetOne,,,X,X,X
Zimbabwe,telecel,,,X,X,
