carrier_name,country,CC,NDC,country_upper,carrier_name_upper
O2,Argentina,54.0,2227,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2243,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2244,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2266,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2267,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2272,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2286,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2292,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2344,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,237,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2392,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2478,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2657,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2921,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2922,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2946,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2953,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3327,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3454,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3466,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3471,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3476,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3489,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3496,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3497,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,351,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,353,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3533,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3547,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3573,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3711,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3725,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3731,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3741,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3781,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3782,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,383,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3844,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3855,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3877,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,07,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,220,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,221,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2223,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2261,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2283,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2326,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,260,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,264,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2656,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2903,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2942,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2945,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2966,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3329,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3385,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3388,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,341,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,342,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3438,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3447,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3522,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3564,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3582,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3583,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3584,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3718,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3756,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3772,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3774,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3786,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,379,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,381,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3861,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3868,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3892,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2224,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2241,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2242,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2264,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2268,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2281,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2285,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2302,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2334,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2343,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2394,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2395,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2477,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2648,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,280,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2923,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2925,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2931,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2932,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2936,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,2982,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,299,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3409,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3437,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3442,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3445,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,345,ARGENTINA,O2 ARGENTINA
O2,Argentina,54.0,3467,ARGENTINA,O2 ARGENTINA
