MCC,MNC,PLMN,Region,Country,ISO,Operator,Brand,PLMNCode,2G,GPRS/3G,LTE,NetworkId,NetworkName,Source
616.0,2.0,61602.0,Africa,Benin,BJ,Telecel Benin,Moov,BEN02,YES,YES,,moov_benin,Moov,system
616.0,7.0,61607,,Benin,,,SBIN Benin,BEN07,YES,YES,YES,sbin_benin_benin,SBIN Benin,system
616.0,4.0,61604,,Benin,,,Bell Benin Communications (BBCOM),BENBB,YES,0,0,bell_benin_communications_(bbcom)_benin,Bell Benin Communications (BBCOM),system
616.0,3.0,61603,,Benin,,,Spacetel-Benin,BENSP,YES,YES,N.A,spacetel-benin_benin,Spacetel-Benin,system
613.0,2.0,61302.0,Africa,Burkina Faso,BF,Orange Burkina Faso,Orange,BFACT,YES,YES,YES,orange_burkina_faso,Orange,system
613.0,1.0,61301,,Burkina faso,,,Onatel,BFAON,YES,YES,0,onatel_burkina_faso,Onatel,system
470.0,2.0,47002,,Bangladesh,,,Robi Axiata Limited,BGDAK,YES,YES,YES,robi_axiata_limited_bangladesh,Robi Axiata Limited,system
470.0,3.0,47003.0,Asia and the Middle East,Bangladesh,BD,Banglalink Digital Communications Ltd.,Banglalink,BGDBL,YES,YES,YES,banglalink_bangladesh,Banglalink,system
470.0,1.0,47001.0,Asia and the Middle East,Bangladesh,BD,Grameenphone Ltd.,Grameenphone,BGDGP,YES,YES,YES,grameenphone_bangladesh,Grameenphone,system
284.0,1.0,28401.0,Europe,Bulgaria,BG,A1 Bulgaria,A1,BGR01,YES,YES,YES,a1_bulgaria,A1,system
284.0,5.0,28405.0,Europe,Bulgaria,BG,Telenor (Bulgaria),Telenor,BGRCM,YES,YES,YES,telenor_bulgaria,Telenor,system
284.0,3.0,28403,,Bulgaria,,,Vivacom (Telemach) Bulgaria,BGRVA,YES,YES,YES,vivacom_(telemach)_bulgaria_bulgaria,Vivacom (Telemach) Bulgaria,system
426.0,5.0,42605.0,Asia and the Middle East,Bahrain,BH,Bahrain Telecommunications Company,Batelco,BHRB2,YES,,,batelco_bahrain,Batelco,system
426.0,1.0,42601.0,Asia and the Middle East,Bahrain,BH,Bahrain Telecommunications Company,Batelco,BHRBT,YES,YES,YES,batelco_bahrain,Batelco,system
426.0,2.0,42602.0,Asia and the Middle East,Bahrain,BH,Zain Bahrain,zain BH,BHRMV,YES,YES,YES,zain_bh_bahrain,zain BH,system
