NetworkId,NetworkName,Rate,Routage,Source
cvmovel_cape_verde,CVMOVEL,100,Bilateral,system
t+_cape_verde,T+,HLR BARRING,Comfone,system
claro_costa_rica,Claro,10,Comfone,system
kölbi_ice_costa_rica,Kölbi ICE,HLR BARRING,Bilateral,system
movistar_costa_rica,movistar,90,Bilateral,system
cubacel_cuba,CUBACEL,,,system
flow_cayman_islands_(uk),FLOW,,,system
cytamobile-vodafone_cyprus,Cytamobile-Vodafone,,,system
primetel_cyprus,PrimeTel,20,Bilateral,system
epic_cyprus,Epic,80,Bilateral,system
vodafone_czech_republic,Vodafone,90,Orange Hub,system
o2_czech_republic,O2,0+,Bilateral,system
t-mobile_czech_republic,T-Mobile,10,Bilateral,system
telekom_germany,Telekom,0+,Bilateral,system
vodafone_germany,Vodafone,80,Orange Hub,system
o2_germany,O2,20,Bilateral,system
evatis_djibouti,Evatis,,,system
flow_dominica,FLOW,,,system
telenor_denmark,Telenor,10,Bilateral,system
3_denmark,3,90,Bilateral,system
telia_denmark,Telia,0+,Bilateral,system
tdc_denmark,TDC,0+,Bilateral,system
claro_dominican_republic,Claro,,,system
mobilis_algeria,Mobilis,90,Bilateral,system
djezzy_algeria,Djezzy,0+,Bilateral,system
ooredoo_algeria,Ooredoo,10,Bilateral,system
cnt_mobile_ecuador,CNT Mobile,,,system
movistar_ecuador,Movistar,,,system
claro_ecuador,Claro,,,system
orange_egypt,Orange,90,Orange Hub,system
etisalat_egypt,Etisalat,0,Bilateral,system
vodafone_egypt,Vodafone,10,Bilateral,system
vodafone_spain,Vodafone,10,Orange Hub,system
digi_spain,DIGI,0,Comfone,system
orange_spain,Orange,90,Orange Hub,system
movistar_spain,Movistar,0+,Bilateral,system
yoigo_spain,Yoigo,0,Bilateral,system
telia_estonia,Telia,10,Bilateral,system
tele2_estonia,Tele2,90,Bilateral,system
elisa_estonia,Elisa,0+,Bilateral,system
mtn_ethiopia,MTN,HLR BARRING,Bilateral,system
safaricom_ethiopia_ethiopia,Safaricom Ethiopia,100,Bilateral,system
dna_finland,DNA,90,Bilateral,system
ålcom_finland,Ålcom,HLR BARRING,Bilateral,system
elisa_finland,Elisa,0+,Bilateral,system
dna_finland,DNA,,,system
telia_finland,Telia,10,Bilateral,system
digicel_fiji,Digicel,,,system
orange_france,Orange,85,Bilateral,system
sfr_france,SFR,0+,Bilateral,system
bouygues_france,Bouygues,0+,Bilateral,system
digicel_french_antilles_(france),Digicel,HLR BARRING,Bilateral,system
free_mobile_france,Free Mobile,15,Bilateral,system
vini_french_polynesia_(france),Vini,HLR BARRING,Comfone,system
faroese_telecom_faroe_islands,Faroese Telecom,,,system
hey_faroe_islands,Hey,,,system
libertis_gabon,Libertis,,,system
azur_gabon,Azur,,,system
airtel_gabon,Airtel,,,system
moov_gabon,Moov,,,system
o2_(uk)_united_kingdom,O2 (UK),0,Bilateral,system
sure_ltd_uk,SURE Ltd,HLR BARRING,Comfone,system
3_united_kingdom,3,20,Comfone,system
jt_guernsey_(uk),JT,HLR BARRING,Bilateral,system
jt_jersey_(uk),JT,HLR BARRING,Bilateral,system
jt_united_kingdom,JT,HLR BARRING,Bilateral,system
t-mobile_uk_united_kingdom,T-Mobile UK,0+,Bilateral,system
