VPMN Public Code,Networks,Rate,Routage
DZAA1,ATM MOBILIS,90,Bilateral
DZAOT,Djezzy Algeria,0+,Bilateral
DZAWT,wataniya nejma algérie,10,Bilateral
ECUAL,CNT Mobile,,
ECUOT,Movistar,,
ECUPG,Claro,,
EGYAR,Mobinil Egypt,90,Orange Hub
EGYEM,Etisalat Misr,0,Bilateral
EGYMS,vodafone Egypt ,10,Bilateral
ESPAT,Vodafone Spain,10,Orange Hub
ESPDI,DIGI,0,Comfone
ESPRT,Orange Espana SA,90,Orange Hub
ESPTE,"Telefonica Moviles España, S.A.",0+,Bilateral
ESPXF,Xfera Moviles S.A.,0,Bilateral
ESTEM,Telia (AS EMT),10,Bilateral
ESTRB,Tele2 Estonia,90,Bilateral
ESTRE,Elisa Estonia,0+,Bilateral
ETH01,Ethio Telecom,HLR BARRING,Bilateral
ETH02,Safaricom Ethiopia,100,Bilateral
FIN2G,DNA Finland,90,Bilateral
FINAM,Alands Telekommunikation Ab,HLR BARRING,Bilateral
FINRL,Elisa Finland,0+,Bilateral
FINTA,DNA,,
FINTF,Telia Sonera Finland,10,Bilateral
FJIDP,Digicel,,
FRAF1,Orange France,85,Bilateral
FRAF2,SFR,0+,Bilateral
FRAF3,Bouygues Telecom,0+,Bilateral
FRAF4,Digicel Antilles françaises Guyane,HLR BARRING,Bilateral
FRAFM,Free,15,Bilateral
FRATK,Onati S.A.S.,HLR BARRING,Comfone
FROFT,Faroese Telecom,,
FROKA,Hey,,
GAB01,Libertis,,
GABAZ,Azur,,
GABCT,Airtel,,
GABTL,Moov,,
GBRCN,Virgin Media O2,0,Bilateral
GBRGT,SURE Ltd,HLR BARRING,Comfone
GBRHU,Hutchison H3G UK,20,Comfone
GBRJT,JT (Jersey) Limited,HLR BARRING,Bilateral
GBRME,EE Limited UK,0+,Bilateral
GBRMT,Manx Telecom,HLR BARRING,Comfone
GBROR,EE Limited UK,0+,Bilateral
GBRVF,Vodafone UK,80,Orange Hub
GEOGC,Geocell,,
GEOMT,Beeline,,
GHAGM,Globacom,,
GHAGT,Vodafone Ghana ,95,Orange Hub
GHAMT,Airtel (Tigo) Ghana ,HLR BARRING,Bilateral
GHASC,MTN,,
GHASC ,MTN Ghana (Scancom),5,
GHAZN,AirtelTigo,,
GIBGT,GibTel,,
GINAG,MTN Guinee (Areeba),10,Orange Hub
GINGS,Orange Guinee,90,Orange Hub
GLP01,Orange Caraibe,100,Orange Hub
GLPDT,Dauphin Telecom (Amigo GSM),HLR BARRING,Comfone
GMBAC,Africell,,
GMBQC,QCell,,
GNB03,Orange Bissau,90,Orange Hub
GNBSB,MTN Guinee Bissau (Spacetel),10,Orange Hub
GNQHT,Muni,,
GRCCO,T Mobile greece,10,Bilateral
GRCCT,Cyta Hellas,,
GRCPF,Vodafone Panafon Greece,90,Orange Hub
GRCSH,Wind,,
GRDCW,FLOW,,
GRLTG,TELE Greenland A/S,,
GTMCM,Comunicaciones Celulares S.A.,HLR BARRING,Comfone
GTMSC,"Telecomunicaciones de Guatemala, . (TELGUA)",100,Comfone
GTMTG,movistar,,
GUMDP,Docomo,,
GUYUM,Digicel,,
HKGH3,3,,
HKGHT,3 (2G),,
HKGM3,PCCW Mobile (3G),,
HKGMC,PCCW Mobile (2G),,
HKGNW,New World Mobility,,
HKGPP,CMCC HK,,
HKGSM,SmarTone Mobile Communications Limited,20,Bilateral
HKGTC,CSL Hong Kong,80,Orange Hub
HND02,"Telefónica Celular, S.A. (CELTEL)  ",HLR BARRING,Comfone
HNDDC,Digicel,,
HNDME,Servicios de Comunicaciones de Honduras,100,Comfone
HRVCN,Hrvatski Telekom (T-Mobile) ,20,Comfone
HRVT2,Telemach Croatia Ltd (Tele2) Croatia,HLR BARRING,Bilateral
HRVVI,A1 Hrvatska (Vipnet d.o.o) Croatia,80,Bilateral
HTICL,Voila,,
HTIVT,Natcom,,
HUNH1,Yettel Hungary,0+,Bilateral
HUNH2,Telekom Hungary (T-Mobile),10,Bilateral
HUNVR,Vodafone Hungary,90,Orange Hub
IDN89,H3G Indonesia,20,Bilateral
IDNEX,XL,,
IDNIM,IM3,,
IDNLT,AXIS,,
IDNSL,PT Indosat Tbk,80,Comfone
IDNTS,Telkomcel Indonesia,HLR BARRING,Bilateral
IND02,Aircel,,
IND03,AIRCEL,,
IND04,AIRCEL,,
IND05,AIRCEL,,
IND06,AIRCEL,,
IND07,IDEA,,
IND09,AIRCEL,,
IND10,AirTel,,
IND11,AirTel,,
IND12,AirTel,,
IND14,AirTel,,
IND15,AirTel,,
IND16,Airtel,,
IND17,AIRCEL,,
IND18,AIRCEL,,
IND19,AIRCEL,,
IND20,AIRCEL,,
IND21,AIRCEL,,
IND22,AIRCEL,,
IND23,AIRCEL,,
IND24,AIRCEL,,
IND25,AIRCEL,,
IND26,AIRCEL,,
IND27,AIRCEL,,
IND28,AIRCEL,,
IND29,AIRCEL,,
INDA1,AirTel,,
INDA2,AirTel,,
INDA5,AirTel,,
INDA7,AirTel,,
INDA8,AirTel,,
INDA9,AirTel,,
INDAC,Aircel,,
INDAT,AirTel,,
INDBI,IDEA,,
INDBK,Vodafone India,,
INDBL,AirTel,,
INDBM,Vodafone India,,
INDBO,IDEA,,
INDBT,Vodafone India,,
INDCC,Vodafone India,,
INDDL,DOLPHIN,,
INDE1,Vodafone India,,
INDEH,IDEA,,
INDEK,IDEA,,
INDEU,IDEA,,
INDF1,Vodafone India,,
INDHM,Vodafone India,,
INDIB,IDEA,,
INDID,IDEA,,
INDIK,IDEA,,
INDIM,IDEA,,
INDIO,IDEA,,
INDIT,IDEA,,
INDIW,IDEA,,
INDJ1,Jio,,
INDJ2,Jio,,
INDJ3,Jio,,
INDJ4,Jio,,
INDJ5,Jio,,
INDJ6,Jio,,
INDJ7,Jio,,
INDJ8,Airtel,,
INDJ9,Jio,,
INDJH,Airtel,,
INDJL,Jio,,
INDJM,Jio,,
INDJN,Jio,,
INDJO,Jio,,
INDJP,Jio,,
INDJQ,Jio,,
INDJR,Jio,,
INDJS,Jio,,
INDJT,Jio,,
INDJU,Jio,,
INDJV,Jio,,
INDJW,Jio,,
INDJX,Jio,,
INDMB,DOLPHIN,,
INDMP,IDEA,,
INDMT,AirTel,,
INDRC,Aircel,,
INDRM,Reliance,,
INDSK,IDEA,,
INDSP,IDEA,,
INDT0,TATA DOCOMO,,
INDT1,TATA DOCOMO,,
INDT2,TATA DOCOMO,,
INDT3,TATA DOCOMO,,
INDT4,TATA DOCOMO,,
INDT5,TATA DOCOMO,,
INDT6,TATA DOCOMO,,
INDT7,TATA DOCOMO,,
INDT8,TATA DOCOMO,,
INDT9,TATA DOCOMO,,
INDTB,TATA DOCOMO,,
INDTD,TATA DOCOMO,,
INDTG,TATA DOCOMO,,
INDTH,TATA DOCOMO,,
INDTK,TATA DOCOMO,,
INDTM,TATA DOCOMO,,
INDTO,TATA DOCOMO,,
INDTP,TATA DOCOMO,,
INDTR,TATA DOCOMO,,
INDWB,cellone,,
IRLDF,Hutchison Ireland,0+,Bilateral
IRLEC,Vodafone Ireland,100,Orange Hub
IRLH3,3,,
IRLME,Meteor Ireland ,0,Comfone
IRN11,IR-TCI (Hamrah-e-Avval),,
IRNMI,MTN Irancell,,
IRNTT,Rightel,,
IRQAC,Asia Cell,,
ISLNO,Nova,,
ISLPS,Síminn,,
ISLTL,Vodafone,,
ISLVW,Viking,,
ISR01,Partner,,
ISRCL,Cellcom,,
ISRMS,Hot Mobile,,
ISRPL,Pelephone,,
ITAFM,Iliad Italy,65,Bilateral
ITAGT,TIM-GOS,HLR BARRING,Bilateral
ITAH3,3 Italia,,
ITAOM,Vodafone Italy,30,Orange Hub
ITASI,Telecom Italia SpA,5,Bilateral
ITAWI,WIND,0,Bilateral
JAMCW,FLOW,,
JAMDC,Digicel Bermuda,,
JORFL,zain ,HLR BARRING,Bilateral
JORMC,Orange Jordanie,100,Orange Hub
JORUM,umniah,HLR BARRING,Bilateral
JPNDO,NTT DOCOMO,10,Bilateral
JPNJP,SoftBank Mobile Japan,90,Bilateral
JPNKI,au,,
K0001,IPKO,,
KAZ77,Mobile Telecom-Service LLP,HLR BARRING,Bilateral
KAZKT,KaR-Tel,100,Comfone
KAZKZ,K'Cell ,HLR BARRING,Bilateral
KENEC,yu,,
KENKC,Airtel,,
KENSA,Safaricom,,
KENTK,Telkom,,
KGZ01,Beeline,,
KHMCC,qb,,
KHMGM,Cellcard,,
KHMVC,Metfone,,
KIRKL,Kiribati - ATH,,
KNACW,FLOW,,
KORKF,KT Korea,HLR BARRING,Bilateral
KORLU,LG U+,,
KORSK,SK Korea ,100,Bilateral
KWTKT,Kuwait Telecom Company ,10,Bilateral
KWTMT,Zain Kuwait,90,Bilateral
KWTNM,Wataniya Telecom Kuwait,HLR BARRING,Bilateral
LAOAS,Unitel,,
LAOET,ETL,,
LAOTC,LaoTel,,
LAOTL,Beeline,,
LBNFL,Alfa MIC1,0,Bilateral
LBNLC,MIC 2 Touch Lebanon,100,Bilateral
LBR07,Orange (Cellcom) Liberia ,90,Bilateral
