Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Ghana,AirtelTigo,Government of Ghana,,,,,,ghana_airteltigo
Ghana,Glo,Globacom,,X,X,,,ghana_glo
Guinea,Orange,Orange S.A. (52.2%),,X,,,,guinea_orange
Guinea,MTN,MTN (75%),,X,X,,formerly Areeba,guinea_mtn
Guinea,Cellcom Guinée,Cellcom Telecommunications Ltd[61],,X,X,,,guinea_cellcom_guinée
Guinea,Intercel,Telecel Guinee SARL,,X,,,,guinea_intercel
Guinea,Sotelgui,"Telekom Malaysia, government",,X,,,,guinea_sotelgui
Guinea-Bissau,MTN,MTN Group,,X,X,X,,guinea-bissau_mtn
Guinea-Bissau,Orange,Orange S.A. (52.2%),,X,,X,,guinea-bissau_orange
Guinea-Bissau,Guinetel,Guinea Telecom,,X,,,,guinea-bissau_guinetel
Iran,Hamrahe Aval,Telecommunication Company of Iran,,X,,X,,iran_hamrahe_aval
Iran,Irancell,Iran Electronic Development Company (51%) MTN Group (49%),,X,,X,,iran_irancell
Iran,RighTel,Social Security Investment Company,,,,X,,iran_rightel
Iraq,Zain,Zain Group (71.67%),,X,,X,,iraq_zain
Iraq,Asia Cell,Ooredoo (30%),,X,,,,iraq_asia_cell
Iraq,Korek,Korek Telecom Ltd.,,X,,,,iraq_korek
Iraq,Omnnea,Omnnea,,,,,,iraq_omnnea
Iraq,Itisaluna,Itisaluna,,X,,,,iraq_itisaluna
Israel,Cellcom,"DIC (41.77%), Public (58.23%)",,X,X,X,,israel_cellcom
Israel,Partner,"S.B. Israel Telecom (30.4%), exclusive Israeli shareholders (5%), Public (64.6%)",,X,X,X,,israel_partner
Israel,Pelephone,Bezeq,,,X,X,,israel_pelephone
Israel,Hot Mobile,HOT,,,X,X,,israel_hot_mobile
Israel,Golan Telecom,ELCO Group,,X,X,X,,israel_golan_telecom
Israel,XFONE,Marathon Telecom Ltd,,,,X,,israel_xfone
Israel,Rami Levy,Rami Levy Hashikma Marketing,,,X,X,using Pelephone,israel_rami_levy
Israel,HomeCellular,,,X,X,X,using Cellcom,israel_homecellular
Israel,019 Mobile,,,X,X,X,using Partner,israel_019_mobile
Israel,Cellact,Cellact Communication,,,X,X,using Pelephone,israel_cellact
Ivory Coast,Orange,"Orange S.A. (85%), Comafrique (15%)",,X,X,X,,ivory coast_orange
Ivory Coast,MTN,"MTN (64.7%), Planor (25.3%), Teylium group (10%)",,X,X,X,,ivory coast_mtn
Ivory Coast,Moov,Etisalat,,X,X,,,ivory coast_moov
Ivory Coast,Koz,Comium (licence revoqued)[72],,X,,,,ivory coast_koz
Ivory Coast,GreenN,LAP Oricel (licence revoqued)[72],,X,,,,ivory coast_greenn
Ivory Coast,Warid,Warid Telecom (licence revoqued)[72],,X,,,,ivory coast_warid
Ivory Coast,Mobile Cafe,Aircomm (licence revoqued)[72],,X,,,,ivory coast_mobile_cafe
Ivory Coast,YooMee,YooMee,,,,X,,ivory coast_yoomee
Jordan,Zain Jordan,Zain Group,,X,X,X,,jordan_zain_jordan
Jordan,Orange Jordan,Orange S.A.,,X,X,X,,jordan_orange_jordan
Jordan,Umniah,Batelco,,X,X,X,,jordan_umniah
Kenya,Safaricom,Vodacom (35%)  Govt of Kenya (35%)  Vodafone Group plc (5%)  Public Float (25%),,X,X,X,,kenya_safaricom
Kenya,Airtel Kenya,Bharti Airtel (80%),,X,X,X,formerly Zain,kenya_airtel_kenya
Kenya,Telkom Kenya,Government of Kenya[76],,X,X,X,formerly Orange,kenya_telkom_kenya
Kenya,Jamii Telecommunications,Jamii Telecommunications Limited,,,,X,Faiba 4G,kenya_jamii_telecommunications
Kuwait,Zain,Zain Group,,X,X,X,,kuwait_zain
Kuwait,Ooredoo,Ooredoo (52.5%),,X,X,X,formerly Wataniya,kuwait_ooredoo
Kuwait,Saudi Telecom Company,STC (26%),,X,X,X,formerly Viva Kuwait,kuwait_saudi_telecom_company
Lebanon,touch,government - management contract: Zain Group,,X,X,X,,lebanon_touch
Lebanon,Alfa,government - management contract: Orascom Telecom,,X,X,X,,lebanon_alfa
Lesotho,Vodacom,"Vodacom (80%), Sekha-Metsi Consortium (20%)",,X,X,X,,lesotho_vodacom
Lesotho,Econet Telecom Lesotho,Econet Ezi Cel Lesotho (Pty),,X,X,,,lesotho_econet_telecom_lesotho
Liberia,Lonestar Cell MTN,MTN (60%),,X,,,,liberia_lonestar_cell_mtn
Liberia,Orange,Orange Côte d'Ivoire (formerly owned by Cellcom Telecommunications),,X,X,X,,liberia_orange
Liberia,Novafone,Comium Services BVI,,X,X,,formerly Comium,liberia_novafone
Liberia,LTC Mobile,Liberia Telecommunications Corporation,,,,,,liberia_ltc_mobile
Libya,Libyana,State-owned via LPTIC,,X,X,X,,libya_libyana
Libya,Almadar Aljadid,State-owned via LPTIC,,X,X,X,,libya_almadar_aljadid
Madagascar,Airtel,Bharti Airtel,,X,X,X,,madagascar_airtel
Madagascar,Telma Mobile,"Distacom Group, Telma SA, Hiridjee group",,X,X,X,,madagascar_telma_mobile
Madagascar,Orange,Orange S.A. (40.01%),,X,,X,,madagascar_orange
Madagascar,Blueline,Gulfsat,,,,X,,madagascar_blueline
Malawi,Airtel,Bharti Airtel,,X,X,X,formerly Zain,malawi_airtel
Malawi,TNM,"Malawi Telecommunications Limited, Telekom Malaysia",,X,X,X,,malawi_tnm
Malawi,MTL,"Press Corporation, NICO, Malawi Government",,,,X,Malawi Telecommunications Limited,malawi_mtl
Malawi,Access,,,X,,X,,malawi_access
