Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
France,Free Mobile,Iliad S.A.,20815,X,X,X,,france_free_mobile
Georgia,Magticom,International Tellcell LLC,28202,X,X,X,,georgia_magticom
Georgia,Silknet,Silk Road Group,28201,X,X,X,formerly Geocell,georgia_silknet
Georgia,Cellfie,CBS Group,28204,X,X,X,formerly Beeline,georgia_cellfie
Georgia,Aquafon,Aquafon JSC,28967 (MCC is not listed by ITU),X,X,X,,georgia_aquafon
Georgia,A-Mobile,A-Mobile LLSC,28988 (MCC is not listed by ITU),X,X,X,,georgia_a-mobile
Georgia,MegaFon,CJSC Ostelkom (branding licence agreement with MegaFon)[66],25002,X,X,X,,georgia_megafon
Germany,Telekom,Deutsche Telekom AG,26201,X,,X,"formerly D1 DeTeMobil, T-Mobile",germany_telekom
Germany,O2,"Telefónica S.A. (96.8%), free float (3.2%)",26203,X,,X,formerly VIAG Interkom | • Includes the previous E-Plus network.,germany_o2
Germany,Vodafone Germany,Vodafone Group plc,26202,X,,X,formerly D2 Mannesmann,germany_vodafone_germany
Germany,1&1,"United Internet AG (78.32%), free float (18.26%), TGW Logistics Group (3.00%), others (0,42 %)",26223,,,X,,germany_1&1
Gibraltar,Gibtelecom,Government of Gibraltar,26601,X,X,X,,gibraltar_gibtelecom
Greece,COSMOTE,OTE A.E. (Deutsche Telekom AG 54.5%),"20201, 20202",X,,X,,greece_cosmote
Greece,Vodafone,Vodafone Group (100%),"20205 (Vodafone), 20214 (CYTA Hellas)",X,,X,formerly Panafon | • Includes the previous CYTA Hellas network.,greece_vodafone
Greece,NOVA,United Group B.V.,"20209 (Q-TELECOM), 20210 (NOVA)",X,,X,"formerly TELESTET, TIM, WIND | • Includes the previous Q-TELECOM network.",greece_nova
Guernsey,Sure,Batelco,23455,X,X,X,,guernsey_sure
Guernsey,JT,JT Group,23450,X,X,X,,guernsey_jt
Guernsey,Airtel-Vodafone,Batelco,23403,X,X,X,,guernsey_airtel-vodafone
Hungary,Magyar Telekom,"Deutsche Telekom AG (61.39%), free float (40.79%)[71]",21630,X,,X,"formerly Westel 900, Westel, T-Mobile",hungary_magyar_telekom
Hungary,Yettel,e& PPF Telecom Group,21601,X,,X,"formerly Pannon GSM, Pannon, Telenor HU",hungary_yettel
Hungary,One,4iG (70.5%) and Government of Hungary (29.5%)[72],21670,X,,X,formerly Vodafone,hungary_one
Iceland,Síminn,Síminn,27401,X,X,X,formerly Landssíminn,iceland_síminn
Iceland,Nova,Nova,27411,,X,X,,iceland_nova
Iceland,Vodafone,Sýn,27402,X,X,X,"formerly Og Vodafone, Íslandssími",iceland_vodafone
Ireland,Three,CK Hutchison Holdings,"27205 (Three), 27202 (O2)",X,X,X, | • Includes the previous O2 network,ireland_three
Ireland,Vodafone,Vodafone Group plc,27201,X,X,X,formerly Eircell,ireland_vodafone
Ireland,eir,"Iliad (31.6%), NJJ (32.9%)[75]",27203,X,X,X,formerly Meteor,ireland_eir
Isle of Man,Manx Telecom,Basalt Investment Partners,23458,X,X,X,,isle of man_manx_telecom
Isle of Man,Sure,Batelco,23436,X,X,X,,isle of man_sure
Italy,Wind Tre,CK Hutchison Holdings,22288 and 22299,X,X,X,formerly 3 Italy and Wind,italy_wind_tre
Italy,TIM,TIM Group,22201,X,,X,formerly SIP,italy_tim
Italy,Vodafone Italy,Swisscom,22210,X,,X,formerly Omnitel,italy_vodafone_italy
Italy,Iliad,Iliad Group,22250,,X,X,,italy_iliad
Italy,Fastweb,Swisscom,22208,,,X,,italy_fastweb
Jersey,JT,JT Group,23450,X,X,X,,jersey_jt
Jersey,Sure,Batelco,23455,X,X,X,,jersey_sure
Jersey,Airtel-Vodafone,Batelco,23403,X,X,X,,jersey_airtel-vodafone
Kosovo,Vala,Government of Kosovo,22101,X,X,X,,kosovo_vala
Kosovo,Ipko,Telekom Slovenije,22102,X,X,X,,kosovo_ipko
Latvia,LMT,"Telia (49%), Tet (Possessor (51%) and Telia (49%)) (23%), Latvian State Radio and Television Centre (LVRTC) (23%), Possessor (5%)",24701,X,X,X,,latvia_lmt
Latvia,Tele2,Tele2,24702,X,X,X,,latvia_tele2
Latvia,Bitė,Providence Equity Partners,24705,X,X,X,,latvia_bitė
Latvia,Triatel,,24703,,X,,,latvia_triatel
Latvia,Xomobile,,24709,,,,,latvia_xomobile
Liechtenstein,FL1 [de],State-owned,29505,X,X,X,formerly Mobilkom Liechtenstein AG,liechtenstein_fl1 [de]
Liechtenstein,7acht,Salt Mobile,29502,X,X,X,formerly Orange FL,liechtenstein_7acht
Liechtenstein,Swisscom FL,Swisscom,29501,X,X,X,,liechtenstein_swisscom_fl
Lithuania,Tele2,Tele2,24603,X,,X,,lithuania_tele2
Lithuania,Telia Lietuva,Telia Company,24601,X,,X,"formerly Omnitel, Teo LT",lithuania_telia_lietuva
Lithuania,Bitė,Providence Equity Partners,24602 24608 • includes the previous Mezon network.,X,,X, | • includes the previous Mezon network.,lithuania_bitė
Luxembourg,Orange,Orange Belgium,27099,X,X,X,,luxembourg_orange
Luxembourg,Tango,Proximus Group,27077,X,X,X,,luxembourg_tango
Luxembourg,POST,POST Luxembourg,27001,X,X,X,,luxembourg_post
Luxembourg,Luxembourg Online,Luxembourg Online,27005,,X,,,luxembourg_luxembourg_online
Malta,Epic,Monaco Telecom,27801,X,X,X,"formerly Telecell, Vodafone",malta_epic
Malta,GO,"Tunisie Telecom (65.42%), public (34.58%)",27821,X,X,X,formerly MALTACOM,malta_go
Malta,Melita,EQT AB  (pending sale to Goldman Sachs Alternatives[91]),27877,,X,X,,malta_melita
Moldova,Orange,Orange S.A. (94.3%),25901,X,X,X,,moldova_orange
Moldova,Moldcell,CG Corp Global[94],25902,X,X,X,,moldova_moldcell
Moldova,Moldtelecom,Moldtelecom,259032590525999,,X,X,,moldova_moldtelecom
Moldova,Interdnestrcom operating in Transnistria region only,Sheriff,25906,,,X,,moldova_interdnestrcom_operating_in_transnistria_region_only
Monaco,Monaco Telecom,"NJJ 55%, Société Nationale de Financement 45%",21210,X,X,X,,monaco_monaco_telecom
Montenegro,m:tel,"51% Telekom Srbija, 49% Telekom Srpske",29703,X,X,X,,montenegro_m:tel
Montenegro,Crnogorski Telekom,"Hrvatski Telekom (76.53%) (Deutsche Telekom AG 60.49%), free float (23.47%)",29702,X,,X,,montenegro_crnogorski_telekom
