Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Kyrgyzstan,iTel,,,,,,,kyrgyzstan_itel
Kyrgyzstan,Saima Telecom,,,,,,,kyrgyzstan_saima_telecom
Laos,Unitel,"Lao Asia Telecommunication State Enterprise (LAT) (51%), Viettel Global (49%)[74]",,X,X,X,,laos_unitel
Laos,Lao Telecom,"Government of Lao P.D.R. (51%), Shennington Investments (Thaicom) (49%)[76]",,X,X,X,,laos_lao_telecom
Laos,TPLUS,Government of Lao P.D.R. (100%)[77],,X,X,,,laos_tplus
Laos,ETL,Jiafu Holdings (51%)  Government of Lao P.D.R. (49%)[78],,X,X,,,laos_etl
Macau,CTM,CITIC Telecom International (99%) Correios de Macau (1%),,,,,,macau_ctm
Macau,China Telecom,Government of China,,,,,,macau_china_telecom
Macau,3 Macau,Hutchison Telecom,,,,,,macau_3_macau
Malaysia,CelcomDigi,Major shareholders: Axiata Group Berhad (33.1%) Telenor (33.1%) Employees Provident Fund (Malaysia) (9%)[91],,,,X,,malaysia_celcomdigi
Malaysia,Maxis,"Major shareholders: BGSM Equity (62%) (itself co-owned by Ananda Krishnan via Usaha Tegas (37%), Harapan Nusantara (""a discretionary trust for bumiputra object(ives)"")[93] (30%), Saudi Telecom Company (25%)[94]",,,,X,,malaysia_maxis
Malaysia,U Mobile,ST Telemedia (35%) U Television Sdn Bhd (21%) Ibrahim Ismail of Johor (15%) MPHB Capital Bhd (6%),,,,X,,malaysia_u_mobile
Malaysia,Yes,YTL Communications (a unit of publicly listed YTL Corporation),,,,X,,malaysia_yes
Malaysia,Unifi Mobile,Telekom Malaysia,,,,X,,malaysia_unifi_mobile
Malaysia,Digital Nasional Berhad,Ministry of Finance (Malaysia),,,,X,DNB,malaysia_digital_nasional_berhad
Malaysia,Redtone,Berjaya Corporation Berhad,,,,,,malaysia_redtone
Malaysia,ALTEL,Puncak Semangat Sdn Bhd (owned by Syed Mokhtar Al-Bukhary).,,,,X,,malaysia_altel
Malaysia,XOX,XOX,,,,,uses Celcom,malaysia_xox
Malaysia,redONE,Gurtaj Singh (37.71%) Celcom(35%),,,,,uses Celcom,malaysia_redone
Malaysia,Tune Talk,Gurtaj Singh (37.71%) CelcomDigi (35%),,,,,uses Celcom,malaysia_tune_talk
Malaysia,HelloSIM,Merchantrade Asia,,,,,uses Celcom,malaysia_hellosim
Malaysia,SpeakOut,Pavo Communications,,,,,uses DiGi,malaysia_speakout
Malaysia,MY Evolution,M2M services in Asia[99],,,,,uses DiGi,malaysia_my_evolution
Malaysia,Telin Malaysia,"Telin Malaysia. Telin Malaysia is a joint venture (JV) company between Compudyne Telecommunication Systems Sdn. Bhd and PT Telin, a company fully owned by PT. Telekomunikasi Indonesia (Telkom).[100]",,,,,Kartu As,malaysia_telin_malaysia
Malaysia,mCalls,Partnership between Pavo Communications and DiGi.[101],,,,,uses DiGi,malaysia_mcalls
Maldives,Dhiraagu,Dhiraagu,,X,X,X,,maldives_dhiraagu
Maldives,Ooredoo Maldives,Ooredoo,,X,X,X,,maldives_ooredoo_maldives
Marshall Islands,NTA,MINTA,,X,X,X,,marshall islands_nta
"Micronesia, Federated States of",FSM Telecom,FSMTC,,X,X,,,"micronesia, federated states of_fsm_telecom"
Mongolia,Mobicom,"KDDI, Sumitomo Corporation, Newcom Group",,X,X,X,,mongolia_mobicom
Mongolia,Unitel,MCS Group,,X,X,X,,mongolia_unitel
Mongolia,Skytel,"Altai Holdings, Shunkhlai Group",,,X,,,mongolia_skytel
Mongolia,G-Mobile,,,,X,,,mongolia_g-mobile
Myanmar,MPT,"State-owned, KDDI, Sumitomo Corporation",,X,X,X,,myanmar_mpt
Myanmar,ATOM,M1 Group,,X,X,X,Formerly Telenor,myanmar_atom
Myanmar,Ooredoo,Nine communications,,X,X,X,,myanmar_ooredoo
Myanmar,Mytel,Viettel (49%) Star High Telecom (28%) Myanmar National Telecom Holding (23%)[111],,X,,X,,myanmar_mytel
Nauru,Digicel,Digicel Pacific Ltd.,,X,X,X,,nauru_digicel
Nepal,Nepal Telecom,Nepal Doorsanchar Company Ltd.,,X,X,X,,nepal_nepal_telecom
Nepal,Ncell,Spectrlite UK Limited (80%) [117],,X,X,X,,nepal_ncell
Nepal,SmartCell,Smart Private Telcom Limited,,X,,X,,nepal_smartcell
New Caledonia,Mobilis,Office des Postes et Télécommunications de Nouvelle-Calédonie,,X,X,X,,new caledonia_mobilis
New Zealand,One NZ,Infratil Limited,,X,X,X,"formerly Vodafone NZ, BellSouth",new zealand_one_nz
New Zealand,Spark,Public (NZX: SPK),,,X,X,formerly Telecom,new zealand_spark
New Zealand,2degrees,Voyage Australia Pty Limited[122],,,X,X,,new zealand_2degrees
New Zealand,Mobile virtual network operators,Mobile virtual network operators,,,,,,new zealand_mobile_virtual_network_operators
New Zealand,Compass Mobile[123],Compass Communications,,,X,X,using Spark,new zealand_compass_mobile[123]
New Zealand,Kogan Mobile,Kogan.com (ASX: KGN),,X,X,X,using One NZ,new zealand_kogan_mobile
New Zealand,Slingshot Mobile,Voyage Australia Pty Limited,,,X,X,using Spark,new zealand_slingshot_mobile
New Zealand,Skinny,Spark (NZX: SPK),,,X,X,using Spark,new zealand_skinny
New Zealand,Warehouse Mobile[124],The Warehouse Group (NZX: TWG),,,X,X,using 2degrees,new zealand_warehouse_mobile[124]
