Country,Operator,Ownership,MCCMNC,2G,GPRS/3G,4G,Notes,OperatorId
Curaçao,FLOW,Liberty Latin America (100%)[33][34],,X,X,X,,curaçao_flow
Dominica,Digicel,Digicel,,X,X,X,,dominica_digicel
Dominica,FLOW,Liberty Latin America[2],,X,X,X,,dominica_flow
Dominican Republic,Claro,América Móvil (100%)[5],,X,X,X,formerly CODETEL,dominican republic_claro
Dominican Republic,altice,Altice Hispaniola,,X,X,X,formerly Orange and Tricom,dominican republic_altice
Dominican Republic,Viva,Trilogy International Partners,,X,X,,,dominican republic_viva
Ecuador,Claro,América Móvil (100%)[5],,X,X,X,,ecuador_claro
Ecuador,Movistar,Telefónica (100%)[6],,X,X,X,,ecuador_movistar
Ecuador,Cnt,"Corporación Nacional de Telecomunicaciones, CNT EP",,X,X,X,,ecuador_cnt
Ecuador,Tuenti[82],Tuenti Ecuador[83],,,,,using Movistar network,ecuador_tuenti[82]
El Salvador,Tigo,Millicom (100%)[86](Atlas Investissement (NJJ) 41.8%)[87],,X,X,X,,el salvador_tigo
El Salvador,Claro,América Móvil (95.8%)[5],,X,X,,,el salvador_claro
El Salvador,Movistar,"Telefónica (59.58%),[6] Corporación Multi Inversiones (40%)[90]",,X,X,X,,el salvador_movistar
El Salvador,Digicel,Digicel,,X,X,,,el salvador_digicel
El Salvador,RED,Intelfon,,,,,,el salvador_red
Falkland Islands,Sure[92],Batelco,,X,,,,falkland islands_sure[92]
France (Saint-Pierre-et-Miquelon),SPM Telecom[93],"Orange S.A. (70%), Landry (30%)",,X,,,,france (saint-pierre-et-miquelon)_spm_telecom[93]
France (Saint-Pierre-et-Miquelon),Globatel,,,,,,,france (saint-pierre-et-miquelon)_globatel
Greenland,tusass,TELE Greenland,,X,X,X,formerly TELE Greenland,greenland_tusass
Grenada,FLOW,Liberty Latin America[2],,X,X,X,,grenada_flow
Grenada,Digicel,Digicel (100%)[19],,X,X,X,,grenada_digicel
"Guadeloupe, Martinique and French Guiana (Guyane)",Orange Caraïbe[98],Orange S.A.,,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_orange_caraïbe[98]"
"Guadeloupe, Martinique and French Guiana (Guyane)",Digicel,Digicel (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_digicel"
"Guadeloupe, Martinique and French Guiana (Guyane)",SFR Caraïbe [fr][99],Numericable (Altice),,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_sfr_caraïbe [fr][99]"
"Guadeloupe, Martinique and French Guiana (Guyane)",Outremer Telecom,Outremer Telecom (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_outremer_telecom"
"Guadeloupe, Martinique and French Guiana (Guyane)",IEC Telecom,IEC Telecom (100%)[19],,X,X,X,,"guadeloupe, martinique and french guiana (guyane)_iec_telecom"
Guatemala,Tigo,Millicom (Altas Investissement (NJJ) 29.1%)[103](55%)[104],,X,X,X,,guatemala_tigo
Guatemala,Claro,América Móvil (99.3%)[5],,X,X,,,guatemala_claro
Guyana,Digicel,Digicel,,X,X,X,,guyana_digicel
