<mgsvp;
ORDERED
<

ACT     MSCBC2                    AD-288  TIME 250306 1324  CLUSTER

MT MOBILE SUBSCRIBER SURVEY RESULT

HLRADDR             NSUB       NSUBA
4-491700600127             4          3
4-85290184006              1          1
4-882470000001001         18         14
4-33191491720343           8          7
4-48881109012           1653       1449
4-79112009901              9          7
4-447953700233             6          6
4-33191393490260          16         13
4-447802002330            26         15
4-33191491720168           8          8
4-491760003009            10          9
4-8613334113000            6          3
4-491700600145             7          7
4-353857000880             9          6
4-491700600136             6          6
4-447802002262             3          3
4-447953700253             3          3
4-33191393490332          30         27
4-37256100083              8          6
4-447488200125            29         28
4-201059968207             5          5
4-436760172100            41         17
4-41794992105            178          0
4-447782000228             4          4
4-33609009917             30         22
4-491760003033            45         36
4-447782000116             4          2
4-38161067                 4          4
4-550027102006             3          0
4-201059968202             5          4
4-905590000201             4          3
4-33191346560173          14         10
4-491700600113             7          6
4-96139960265             17         14
4-35699418500             28         17
4-447953700208            14         11
4-352021100056            30         25
4-40770000027             10         10
4-48602003042              4          3
4-33191491720145           5          5
4-19703769833             55         21
4-919892123847             8          7
4-447782000246             3          2
4-33689002871             22         16
4-33609009910             40         31
4-40770000029             11         10
4-966575486140            29         25
4-393358815162            11          8
4-33191393490271           6          4
4-33191222400020         271        209
4-919816001268             7          3
4-254722500122             8          8
4-447802002263             2          2
4-33695000380              4          4
4-66923012503              3          3
4-30971460011              3          3
4-4540699830              11          9
4-33609009913             27         19
4-249912090007            14          9
4-33191393490266          16         14
4-212602790326            85         65
4-4237902650               3          0
4-491700600117             6          6
4-905590000233             2          1
4-33191243840013          42         37
4-33191356940085         205         84
4-201059968076             6          5
4-491700600306            16         11
4-33191393490323          16         14
4-19703769842             77         47
4-905590000234             2          2
4-33191491720342           6          5
4-447802002746             9          7
4-447953700242             2          2
4-19703769808             35         21
4-447953700217            17         14
4-38268000904              3          3
4-8614796380000            2          2
4-33191417880087          27         21
4-33191491720167           9          9
4-447488200126            31         27
4-331911514420010          7          6
4-352061000230             4          2
4-355680200025             4          4
4-33191485010104           4          3
4-13603399653             10          2
4-33191485010395           6          4
4-421949901074             1          1
4-33191393490276          14         12
4-254722500117             9          5
4-8618516404521            2          0
4-8618405110000            1          1
4-4790000950              10         10
4-8613436740000            7          5
4-491760003014            12         10
4-97477920100             28         21
4-46707000303              2          2
4-16363848772              1          1
4-336110000099413          1          1
4-34642200027             14         12
4-447802002737            10         10
4-33191393490265          10          6
4-491700600104             3          3
4-33191485010107           4          3
4-3319120120520            3          3
4-491700600303            11         11
4-393358815112            14         13
4-491700600108             4          4
4-12404492438              4          1
4-491760003021             5          3
4-491700600305             8          8
4-4792001159               6          5
4-33191485010086           5          3
4-905329346000            26         24
4-352091000110             6          6
4-8617875170000            1          1
4-19039326956              1          0
4-298249070                1          1
4-861556508428             2          2
4-420733087402             2          2
4-48881109082              3          2
4-447953700220             4          4
4-324750007320406          6          6
4-491760007032             3          1
4-639180009009             3          1
4-35677794012              7          6
4-3319120120439            5          3
4-3319120120444            4          3
4-491700600110             9          8
4-33191393490331          41         35
4-33191393490218          15         12
4-882285000001104          2          0
4-94785000060              3          3
4-3319120120471            1          1
4-62816081125              7          2
4-16473840081             58         45
4-46731260001              8          8
4-905590000271             1          1
4-919831029100             3          2
4-254722500118             7          4
4-6281107162              10          7
4-40770000025             11          9
4-639180008991             1          0
4-353830000250            23         22
4-33609009911             34         23
4-491760003012            12         12
4-491700600146             4          3
4-79262004640             15         14
4-639180009004             8          3
4-959790000058             3          2
4-491700600150             4          3
4-917021075029             3          2
4-491700600106             4          3
4-639180009006             3          0
4-4792001162              13         12
4-447953700231             6          5
4-639180009007             2          2
4-861476740000             1          1
4-33191393490251          12         10
4-37256100200              2          0
4-447782000225             2          0
4-8613747431000            1          1
4-491760003011             7          6
4-33191393490281          14         12
4-16363848769              4          3
4-447953700202            13         12
4-3319120120411            3          3
4-33191905420195           3          1
4-4792001160               6          5
4-491760003002             9          8
4-33191393490249          14         13
4-33191905420283           1          1
4-324750004055602         50         41
4-882285000001111          1          1
4-8614773950000            1          1
4-33191346560153           9          9
4-31624000285              6          6
4-33191346070740           3          2
4-33191485010082           7          5
4-48601000065              1          0
4-861958457000             3          3
4-33191346560152          12          9
4-97336019910              9          7
4-34642200028              9          7
4-639180009019             5          0
4-447953700254             7          7
4-491760003013             5          4
4-46707000300              4          4
4-33191346560139          13         11
4-33191491720341           5          5
4-46707000400             10         10
4-48881109132              4          4
4-919434399241             1          0
4-37069899882              1          1
4-491700600317             4          2
4-33609009905             27         22
4-420733087404             2          2
4-19703769832             37         18
4-33191491720099           7          6
4-3319120120437            4          4
4-33191233240056          16         12
4-358508771121             1          1
4-33191346070467          33         26
4-79167494207              3          3
4-491760003008            10         10
4-8613745908000            4          2
4-33609009908             34         22
4-353830000041             1          0
4-331914219050004          1          1
4-33609009904             34         29
4-3859812009               2          1
4-491700600304            14         12
4-79167494179              2          1
4-316530860010            11          9
4-8613641130000            7          6
4-8614770870000            1          1
4-491700600102             4          4
4-8614715240000            1          1
4-491700600129             7          5
4-14054729191              1          1
4-550119102004             2          0
4-33689008525             27         25
4-40766000110              4          3
4-491760003006             6          6
4-33689008886             23         20
4-491700600159             8          5
4-33191346070458           5          1
4-919890064505             5          2
4-33191346560146          14         12
4-491760003032            55         47
4-8615083420000            2          1
4-201059968074             6          5
4-33191346560181          11          7
4-3319120120436            4          4
4-421903002027             1          1
4-331911514420006          3          2
4-46705003208              4          3
4-33689008126              4          4
4-447953700248             3          3
4-201059968086             1          0
4-491760003019             8          7
4-861304765000             1          1
4-201059968081             7          7
4-242055005047             3          3
4-491700600131             3          3
4-491700600132             4          1
4-8613344181000            8          5
4-491700600103             7          5
4-8614778640000            1          0
4-3319120120505            2          1
4-3319120120506            4          4
4-447953700227             3          2
4-9613488801               1          0
4-447802002738             4          4
4-33191491720338           7          6
4-14054729228              1          1
4-33191393490264          17         14
4-7921960097220            1          1
4-351960995063             5          4
4-491700600155            10          7
4-41794992015            110         96
4-491700600112             8          6
4-447953700223             7          7
4-201059968089             3          1
4-46705003203              2          1
4-447953700255             5          4
4-14047259018              1          1
4-7921960096490            7          6
4-92300010596              1          1
4-447953700211            15         10
4-33191243810046           6          4
4-447782000117             4          3
4-491700600114             6          6
4-393358840745650          2          2
4-22670900007             45         39
4-436990041202            36         25
4-331914206080026         11         11
4-79126313232              3          3
4-639180009008             3          1
4-324750007321214          5          5
4-79167494178              1          1
4-861476742000             3          2
4-491700600156             9          7
4-8190542114853            2          2
4-33191346560162           7          4
4-79167494223              1          1
4-919847097353             1          1
4-19703769809            117         31
4-33191346560160           6          5
4-79167494206              2          2
4-4367603034000            2          2
4-861562647000             1          1
4-8190542114872            1          1
4-33191491720169          10          7
4-491700600154             5          5
4-491760003016             8          7
4-33191687770018           1          1
4-447488200537             3          3
4-447782000231             2          1
4-33191485010414           6          5
4-46708000000             15         14
4-13603399694             68         20
4-447953700230             9          8
4-33609009907             29         24
4-8617844940000            1          1
4-79167494229              2          2
4-639170000358            10          4
4-31624000286              8          8
4-33191346070455           9          2
4-254722500116             4          3
4-491760003017            11         11
4-8613334262000           10          8
4-447953700226             8          8
4-79126313131              3          3
4-491760003015            12         10
4-966510248400             9          9
4-919897050310             2          2
4-79167494208              3          3
4-33191355690015           1          0
4-971550930009            76         65
4-393205800014            16         10
4-393533000027            12         11
4-48881109062            309        257
4-393358911006             4          4
4-491700600101             2          2
4-62816081124              2          2
4-37129899920              1          0
4-4367603033000            3          3
4-79184790015              5          3
4-358402001004             3          3
4-8618450500000            1          0
4-491700600316             5          5
4-639180008986             2          1
4-331912290124021          2          2
4-331911514420007         28         21
4-447953700244             3          3
4-905590000272             4          3
4-883130000008205          1          1
4-33609009916             34         29
4-244950170020             2          2
4-3319127820096            6          6
4-14047259037              1          0
4-97339600862              8          8
4-46707000233            102         90
4-79167494175              1          1
4-324750007315415          8          7
4-33191316540275           6          3
4-447782001260             1          1
4-491700600111             6          5
4-491700600135             5          4
4-33191905420357           3          2
4-447953700204            21         18
4-33191346070451          11          7
4-861562611000             4          4
4-491700600128             4          2
4-79639741154              1          1
4-447802002736             2          1
4-9595930072               2          2
4-882285000001110          3          0
4-861320018010             1          1
4-33191491720143          10         10
4-79167494118              1          1
4-66923010450              3          1
4-79167494224              3          3
4-79167494173              1          1
4-33191491720149           9          7
4-447953700222             5          4
4-79167494188              2          2
4-79112009905              4          4
4-33191905420285           1          0
4-31624000281              5          5
4-19037029905              1          1
4-8614741040000            3          3
4-33660005110              1          1
4-46707000276              9          6
4-21650000057              2          2
4-8613564840000            1          1
4-994550000205             3          1
4-79167494201              4          3
4-33191491720174           9          9
4-491700600160             6          5
4-994550000226             2          0
4-491700600307             3          3
4-33191211920001           2          2
4-14054729334              1          1
4-3319120120442            4          3
4-919849005532             9          5
4-639170000337             6          2
4-8618361240000            1          1
4-9477000338               1          0
4-351960995062             2          2
4-3725098027               5          5
4-33191491720171           8          6
4-3548900088               5          4
4-919840011921             4          3
4-436990071206            10         10
4-33191590350057           5          5
4-491700600151             4          4
4-201059968073             4          3
4-905590000231             1          1
4-447953700232             2          2
4-33191905420193           2          1
4-48602003040             11         11
4-447953700212            13         12
4-8613452410000            1          1
4-48601000068              3          3
4-21650000050              3          3
4-254722500119             8          7
4-351960995064             7          5
4-33689008888             16         12
4-56982999055              3          1
4-821080010585             9          7
4-491700600138             6          6
4-8615114930000            1          1
4-436760182223             2          0
4-639180009001             2          0
4-639170000369            13          4
4-919893581560             2          2
4-819066519778             1          1
4-8613436470000            1          0
4-12085978686              1          1
4-79014951192              3          3
4-33191316540267           1          1
4-33191229970017           1          1
4-201059968205             3          2
4-48881109022             28         22
4-33191491720130           4          4
4-8613441762               2          2
4-38641003602              5          3
4-331919687700003          5          5
4-447782000248             1          0
4-639180008992             1          1
4-66923016504              1          1
4-8613772450000            2          2
4-16135000212              3          2
4-77050000030              1          0
4-33191485010108           8          1
4-48601000067              2          0
4-19039326968              1          0
4-639180009005             1          0
4-12085978677              3          3
4-861476741000             2          2
4-3725509930               2          2
4-331913736910002          3          3
4-4237902670              75          1
4-79184790003              5          4
4-33689008062              2          1
4-331912290195042          8          6
4-3319120120513            5          5
4-33191491720141           8          7
4-13603399696             19          1
4-393533000026             9          6
4-447953700229             4          4
4-46705003204              4          4
4-447559499030           284        257
4-77050000026              3          3
4-33191316540366           1          0
4-21650000098         829175     783715
4-33191491720124           7          7
4-212661000746            35         29
4-861854911000             1          1
4-14054729221              2          2
4-8619816540000            1          1
4-48601000071              3          3
4-33191306940031          14         10
4-3319120120509            4          3
4-33191245950030           3          2
4-14054729342              1          0
4-33191905420192           1          1
4-33689008256            195        158
4-447953700210            14         11
4-12404492441              4          3
4-905590000235             3          2
4-861960341474             1          1
4-358447981200             5          5
4-6281107164               4          2
4-8190542119851            7          6
4-917016075020             1          0
4-31624000282              9          8
4-919895000041             6          4
4-491760003004             8          6
4-491700600133            11          9
4-14054729353              3          3
4-491700600118             4          4
4-447953700239             2          2
4-447782000242             2          2
4-79016481192             18         16
4-905590000228             2          2
4-254722500121             7          6
4-12404492443              1          1
4-32475002529              1          1
4-3319120120434            7          7
4-22899999765              7          5
4-33689002900             27         20
4-861958464000             1          1
4-447953700221             2          2
4-79222900242              2          2
4-491700600144             4          2
4-8613460450000            1          1
4-97455589703              1          1
4-882285000001112          3          0
4-48601000062              2          2
4-79167494228              1          1
4-861300013103             2          0
4-201059968083             3          1
4-447782000113             3          3
4-491700600109             4          3
4-14047259009              1          1
4-31653099570              1          0
4-436760182221             3          3
